"","[1,1]","[1,2]","[2,1]","[2,2]"
"1",41,3,17,56
"2",40,3,18,56
"3",40,3,18,56
"4",40,3,18,56
"5",40,3,18,56
"6",41,3,17,56
"7",40,3,18,56
"8",40,3,18,56
"9",41,3,17,56
"10",40,3,18,56
"11",40,3,18,56
"12",41,3,17,56
"13",40,3,18,56
"14",42,3,16,56
"15",40,3,18,56
"16",40,3,18,56
"17",41,3,17,56
"18",40,3,18,56
"19",40,3,18,56
"20",40,3,18,56
"21",42,3,16,56
"22",40,3,18,56
"23",41,3,17,56
"24",41,3,17,56
"25",41,3,17,56
"26",42,3,16,56
"27",41,3,17,56
"28",41,3,17,56
"29",40,3,18,56
"30",41,3,17,56
"31",40,3,18,56
"32",40,3,18,56
"33",42,3,16,56
"34",40,3,18,56
"35",41,3,17,56
"36",40,3,18,56
"37",41,3,17,56
"38",40,3,18,56
"39",41,3,17,56
"40",41,3,17,56
"41",41,3,17,56
"42",40,3,18,56
"43",41,3,17,56
"44",40,3,18,56
"45",40,3,18,56
"46",40,3,18,56
"47",41,3,17,56
"48",40,3,18,56
"49",41,3,17,56
"50",42,3,16,56
"51",40,3,18,56
"52",40,3,18,56
"53",40,3,18,56
"54",41,3,17,56
"55",40,3,18,56
"56",40,3,18,56
"57",40,3,18,56
"58",41,3,17,56
"59",41,3,17,56
"60",41,3,17,56
"61",41,3,17,56
"62",40,3,18,56
"63",40,3,18,56
"64",41,3,17,56
"65",42,3,16,56
"66",41,3,17,56
"67",40,3,18,56
"68",40,3,18,56
"69",40,3,18,56
"70",40,3,18,56
"71",41,3,17,56
"72",41,3,17,56
"73",41,3,17,56
"74",40,3,18,56
"75",40,3,18,56
"76",40,3,18,56
"77",40,3,18,56
"78",41,3,17,56
"79",40,3,18,56
"80",40,3,18,56
"81",41,3,17,56
"82",41,3,17,56
"83",40,3,18,56
"84",40,3,18,56
"85",40,3,18,56
"86",40,3,18,56
"87",41,3,17,56
"88",41,3,17,56
"89",40,3,18,56
"90",40,3,18,56
"91",41,3,17,56
"92",40,3,18,56
"93",40,3,18,56
"94",40,3,18,56
"95",40,3,18,56
"96",40,3,18,56
"97",41,3,17,56
"98",40,3,18,56
"99",40,3,18,56
"100",40,3,18,56
