"","actual class","predicted class","N","median P(diving)"
"Mus_musculus","0","0","0","0.06"
"Rattus_rattus","0","0","0","0.16"
"Hemiechinus_azurites","0","2","100","0.64"
"Uncia_uncia","0","0","0","0.41"
"Lama_guanicoe","0","0","0","0.08"
"Elomeryx_borbonicus_","0","0","0","0.26"
"Hexaprotodon_garyam","2","2","100","0.7"
"Giraffa_camelopardalis","0","0","0","0.27"
"Dama_dama","0","0","0","0.2"
"Placodontia_indet_1","2","2","100","0.96"
"Protochampsidae","2","0","0","0.21"
"Spinosaurus_.11",NA,"0","0","0.43"
"Spinosaurus_.10",NA,"0","0","0.47"
"Spinosaurus_.9",NA,"2","100","0.96"
"Spinosaurus_.8",NA,"2","100","0.94"
"Spinosaurus_.7",NA,"2","100","0.9"
"Spinosaurus_.6",NA,"2","100","0.83"
"Spinosaurus_.5",NA,"2","100","0.98"
"Spinosaurus_.4",NA,"2","100","0.96"
"Spinosaurus_.3",NA,"2","100","0.94"
"Spinosaurus_.2",NA,"2","100","0.89"
"Spinosaurus_.1",NA,"2","100","0.81"
"Spinosaurus_",NA,"2","100","0.98"
"Baryonyx.3",NA,"2","100","0.76"
"Baryonyx.2",NA,"2","100","0.89"
"Baryonyx.1",NA,"2","100","0.95"
"Suchomimus.3",NA,"0","0","0.28"
"Suchomimus.2",NA,"0","0","0.46"
"Suchomimus.1",NA,"0","0","0.27"
"Suchomimus",NA,"0","0","0.45"
"Baryonyx",NA,"2","100","0.95"
"Phalacrocorax_harrisi","2","0","0","0.3"
