"","[1,1]","[1,2]","[2,1]","[2,2]"
"1",33,4,19,49
"2",33,4,19,49
"3",33,4,19,49
"4",33,4,19,49
"5",33,4,19,49
"6",33,4,19,49
"7",33,4,19,49
"8",33,4,19,49
"9",33,4,19,49
"10",33,4,19,49
"11",33,4,19,49
"12",33,4,19,49
"13",33,4,19,49
"14",33,4,19,49
"15",33,4,19,49
"16",33,4,19,49
"17",33,4,19,49
"18",33,4,19,49
"19",33,4,19,49
"20",33,4,19,49
"21",33,4,19,49
"22",33,4,19,49
"23",33,4,19,49
"24",33,4,19,49
"25",33,4,19,49
"26",33,4,19,49
"27",33,4,19,49
"28",33,4,19,49
"29",33,4,19,49
"30",33,4,19,49
"31",33,4,19,49
"32",33,4,19,49
"33",33,4,19,49
"34",33,4,19,49
"35",33,4,19,49
"36",33,4,19,49
"37",33,4,19,49
"38",33,4,19,49
"39",33,4,19,49
"40",33,4,19,49
"41",33,4,19,49
"42",33,4,19,49
"43",33,4,19,49
"44",33,4,19,49
"45",33,4,19,49
"46",33,4,19,49
"47",33,4,19,49
"48",33,4,19,49
"49",33,4,19,49
"50",33,4,19,49
"51",33,4,19,49
"52",33,4,19,49
"53",33,4,19,49
"54",33,4,19,49
"55",33,4,19,49
"56",33,4,19,49
"57",33,4,19,49
"58",33,4,19,49
"59",33,4,19,49
"60",33,4,19,49
"61",33,4,19,49
"62",33,4,19,49
"63",33,4,19,49
"64",33,4,19,49
"65",33,4,19,49
"66",33,4,19,49
"67",33,4,19,49
"68",33,4,19,49
"69",33,4,19,49
"70",33,4,19,49
"71",33,4,19,49
"72",33,4,19,49
"73",33,4,19,49
"74",33,4,19,49
"75",33,4,19,49
"76",33,4,19,49
"77",33,4,19,49
"78",33,4,19,49
"79",33,4,19,49
"80",33,4,19,49
"81",33,4,19,49
"82",33,4,19,49
"83",33,4,19,49
"84",33,4,19,49
"85",33,4,19,49
"86",33,4,19,49
"87",33,4,19,49
"88",33,4,19,49
"89",33,4,19,49
"90",33,4,19,49
"91",33,4,19,49
"92",33,4,19,49
"93",33,4,19,49
"94",33,4,19,49
"95",33,4,19,49
"96",33,4,19,49
"97",33,4,19,49
"98",33,4,19,49
"99",33,4,19,49
"100",33,4,19,49
