"","actual class","predicted class","N","median P(diving)"
"Plesiosaurus","2","2","100","0.97"
"Spinosaurus_.11",NA,"0","0","0.47"
"Spinosaurus_.10",NA,"0","48","0.5"
"Spinosaurus_.9",NA,"2","100","0.96"
"Spinosaurus_.8",NA,"2","100","0.94"
"Spinosaurus_.7",NA,"2","100","0.9"
"Spinosaurus_.6",NA,"2","100","0.835"
"Spinosaurus_.5",NA,"2","100","0.98"
"Spinosaurus_.4",NA,"2","100","0.95"
"Spinosaurus_.3",NA,"2","100","0.93"
"Spinosaurus_.2",NA,"2","100","0.89"
"Spinosaurus_.1",NA,"2","100","0.82"
"Spinosaurus_",NA,"2","100","0.98"
"Baryonyx.3",NA,"2","100","0.78"
"Baryonyx.2",NA,"2","100","0.89"
"Baryonyx.1",NA,"2","100","0.95"
"Suchomimus.3",NA,"0","0","0.33"
"Suchomimus.2",NA,"2","98","0.51"
"Suchomimus.1",NA,"0","0","0.32"
"Suchomimus",NA,"0","0","0.49"
"Baryonyx",NA,"2","100","0.94"
