Nothosaurus_sp., {{100, {{46, 10, 9, 35}, 1.0}}}
Baryonyx.1, {{100, {{46, 10, 9, 35}, 0.96}}}
Spinosaurus.3, {{100, {{46, 10, 9, 35}, 0.97}}}
Spinosaurus.2, {{100, {{46, 10, 9, 35}, 0.99}}}
Spinosaurus.1, {{5, {{46, 10, 9, 35}, 0.96}}, {95, {{46, 10, 9, 35}, 0.95}}}
Baryonyx, {{100, {{46, 10, 9, 35}, 0.99}}}
Spinosaurus, {{100, {{46, 10, 9, 35}, 0.99}}}
Zaglossus_bruijni, {{15, {{46, 10, 9, 35}, 0.05}}, {85, {{46, 10, 9, 35}, 0.04}}}
Choloepus_didactylus, {{100, {{46, 10, 9, 35}, 0.16}}}
Microgale_thomasi, {{100, {{46, 10, 9, 35}, 0.16}}}
Desmana_moschata, {{100, {{46, 10, 9, 35}, 0.87}}}
Noemys_fodies, {{100, {{46, 10, 9, 35}, 0.57}}}
Vulpes_vulpes, {{100, {{46, 10, 9, 35}, 0.07}}}
Martes_martes, {{100, {{46, 10, 9, 35}, 0.16}}}
Tapirus_terrestris, {{100, {{46, 10, 9, 35}, 0.76}}}
Rhinocerus_unicornis, {{3, {{46, 10, 9, 35}, 0.85}}, {97, {{46, 10, 9, 35}, 0.86}}}
Ovis_aries, {{100, {{46, 10, 9, 35}, 0.25}}}
Hemitragus_jayakari, {{94, {{46, 10, 9, 35}, 0.2}}, {6, {{46, 10, 9, 35}, 0.21}}}
Platecarpus_sp., {{45, {{49, 8, 9, 35}, 0.95}}, {55, {{49, 8, 9, 35}, 0.94}}}
Baryonyx.1, {{100, {{49, 8, 9, 35}, 0.97}}}
Spinosaurus.3, {{100, {{49, 8, 9, 35}, 0.97}}}
Spinosaurus.2, {{100, {{49, 8, 9, 35}, 1.0}}}
Spinosaurus.1, {{100, {{49, 8, 9, 35}, 0.96}}}
Baryonyx, {{100, {{49, 8, 9, 35}, 1.0}}}
Spinosaurus, {{96, {{49, 8, 9, 35}, 0.99}}, {4, {{49, 8, 9, 35}, 1.0}}}
Spheniscus_humboldti, {{100, {{49, 8, 9, 35}, 0.94}}}
Perameles_nasuta, {{32, {{49, 8, 9, 35}, 0.24}}, {68, {{49, 8, 9, 35}, 0.25}}}
Tenrec_ecaudatus, {{100, {{49, 8, 9, 35}, 0.33}}}
Gorilla_gorilla, {{100, {{49, 8, 9, 35}, 0.04}}}
Myocastor_coypus, {{100, {{49, 8, 9, 35}, 0.19}}}
Erinaceus_europaeus, {{100, {{49, 8, 9, 35}, 0.1}}}
Crocidura_russula, {{100, {{49, 8, 9, 35}, 0.12}}}
Lutra_vulgaris, {{100, {{49, 8, 9, 35}, 0.93}}}
Balaenoptera_brydei, {{69, {{49, 8, 9, 35}, 0.24}}, {31, {{49, 8, 9, 35}, 0.25}}}
Orcinus_orca, {{100, {{49, 8, 9, 35}, 0.97}}}
Metriorhynchid_indet., {{100, {{48, 9, 9, 34}, 0.42}}}
Crocodylus_niloticus, {{100, {{48, 9, 9, 34}, 0.99}}}
Baryonyx.1, {{100, {{48, 9, 9, 34}, 0.98}}}
Spinosaurus.3, {{100, {{48, 9, 9, 34}, 0.98}}}
Spinosaurus.2, {{100, {{48, 9, 9, 34}, 1.0}}}
Spinosaurus.1, {{100, {{48, 9, 9, 34}, 0.98}}}
Baryonyx, {{100, {{48, 9, 9, 34}, 1.0}}}
Spinosaurus, {{100, {{48, 9, 9, 34}, 1.0}}}
Struthio_camelus, {{100, {{48, 9, 9, 34}, 0.19}}}
Strigiops_habroptilus, {{100, {{48, 9, 9, 34}, 0.12}}}
Phalacrocorax_harris, {{8, {{48, 9, 9, 34}, 0.87}}, {92, {{48, 9, 9, 34}, 0.86}}}
Monodelphis_domestica, {{27, {{48, 9, 9, 34}, 0.12}}, {73, {{48, 9, 9, 34}, 0.13}}}
Paleoparadoxia_sp, {{100, {{48, 9, 9, 34}, 1.0}}}
Dasyprocta__punctata, {{100, {{48, 9, 9, 34}, 0.03}}}
Ursus_spelaeus, {{100, {{48, 9, 9, 34}, 0.93}}}
Camelus_bactrianus, {{2, {{48, 9, 9, 34}, 0.28}}, {98, {{48, 9, 9, 34}, 0.29}}}
Dorudon, {{100, {{48, 9, 9, 34}, 0.99}}}
Delphinapterus_leucas, {{32, {{48, 9, 9, 34}, 0.96}}, {68, {{48, 9, 9, 34}, 0.97}}}
Neusticosaurus, {{45, {{50, 9, 8, 34}, 1.0}}, {55, {{49, 9, 9, 34}, 1.0}}}
Baryonyx.1, {{45, {{50, 9, 8, 34}, 0.97}}, {55, {{49, 9, 9, 34}, 0.97}}}
Spinosaurus.3, {{45, {{50, 9, 8, 34}, 0.97}}, {55, {{49, 9, 9, 34}, 0.97}}}
Spinosaurus.2, {{45, {{50, 9, 8, 34}, 1.0}}, {55, {{49, 9, 9, 34}, 1.0}}}
Spinosaurus.1, {{45, {{50, 9, 8, 34}, 0.96}}, {55, {{49, 9, 9, 34}, 0.96}}}
Baryonyx, {{45, {{50, 9, 8, 34}, 1.0}}, {55, {{49, 9, 9, 34}, 1.0}}}
Spinosaurus, {{45, {{50, 9, 8, 34}, 0.99}}, {55, {{49, 9, 9, 34}, 0.99}}}
Caloenas_nicobarica, {{45, {{50, 9, 8, 34}, 0.34}}, {55, {{49, 9, 9, 34}, 0.34}}}
Macropus_rufus, {{45, {{50, 9, 8, 34}, 0.6}}, {55, {{49, 9, 9, 34}, 0.6}}}
Behemotops_katsuiei, {{45, {{50, 9, 8, 34}, 0.97}}, {55, {{49, 9, 9, 34}, 0.97}}}
Castor_fiber, {{45, {{50, 9, 8, 34}, 0.92}}, {55, {{49, 9, 9, 34}, 0.92}}}
Arvicola_amphibius, {{45, {{50, 9, 8, 34}, 0.06}}, {55, {{49, 9, 9, 34}, 0.06}}}
Hemiechinus_azurites, {{45, {{50, 9, 8, 34}, 0.11}}, {55, {{49, 9, 9, 34}, 0.11}}}
Felis_silvestris, {{45, {{50, 9, 8, 34}, 0.17}}, {55, {{49, 9, 9, 34}, 0.17}}}
Panthera_leo_persica, {{45, {{50, 9, 8, 34}, 0.08}}, {55, {{49, 9, 9, 34}, 0.08}}}
Choeropsis_liberiensis, {{45, {{50, 9, 8, 34}, 0.67}}, {55, {{49, 9, 9, 34}, 0.67}}}
Basilosaurus, {{7, {{50, 9, 8, 34}, 1.0}}, {5, {{49, 9, 9, 34}, 1.0}}, {38, {{50, 9, 8, 34}, 0.99}}, {50, {{49, 9, 9, 34}, 0.99}}}
Carentonosaurus_mineaui, {{100, {{50, 9, 7, 35}, 0.99}}}
Baryonyx.1, {{100, {{50, 9, 7, 35}, 0.98}}}
Spinosaurus.3, {{83, {{50, 9, 7, 35}, 0.99}}, {17, {{50, 9, 7, 35}, 0.98}}}
Spinosaurus.2, {{100, {{50, 9, 7, 35}, 1.0}}}
