Tylosaurus_sp., {{100, {{50, 8, 7, 35}, 0.88}}}
Metriorhynchid_indet., {{100, {{50, 8, 7, 35}, 0.35}}}
Baryonyx.1, {{100, {{50, 8, 7, 35}, 0.98}}}
Spinosaurus.3, {{100, {{50, 8, 7, 35}, 0.98}}}
Spinosaurus.2, {{100, {{50, 8, 7, 35}, 1.0}}}
Spinosaurus.1, {{100, {{50, 8, 7, 35}, 0.97}}}
Baryonyx, {{100, {{50, 8, 7, 35}, 1.0}}}
Spinosaurus, {{100, {{50, 8, 7, 35}, 1.0}}}
Apteryx_owenii, {{22, {{50, 8, 7, 35}, 0.51}}, {78, {{50, 8, 7, 35}, 0.52}}}
Rhynchocyon_petersi, {{100, {{50, 8, 7, 35}, 0.21}}}
Galagoides_demidovii, {{100, {{50, 8, 7, 35}, 0.01}}}
Myoprocta_pratti, {{100, {{50, 8, 7, 35}, 0.02}}}
Castor_fiber, {{56, {{50, 8, 7, 35}, 0.93}}, {44, {{50, 8, 7, 35}, 0.94}}}
Taxidea_taxus, {{87, {{50, 8, 7, 35}, 0.28}}, {13, {{50, 8, 7, 35}, 0.29}}}
Neovison_vison, {{1, {{50, 8, 7, 35}, 0.23}}, {99, {{50, 8, 7, 35}, 0.24}}}
Tapirus_terrestris, {{100, {{50, 8, 7, 35}, 0.72}}}
Orcinus_orca, {{100, {{50, 8, 7, 35}, 0.98}}}
Rangifer_tarandus, {{100, {{50, 8, 7, 35}, 0.56}}}
Nothosaurus_sp., {{100, {{47, 8, 9, 37}, 1.0}}}
Baryonyx.1, {{100, {{47, 8, 9, 37}, 0.95}}}
Spinosaurus.3, {{100, {{47, 8, 9, 37}, 0.95}}}
Spinosaurus.2, {{100, {{47, 8, 9, 37}, 0.99}}}
Spinosaurus.1, {{100, {{47, 8, 9, 37}, 0.94}}}
Baryonyx, {{100, {{47, 8, 9, 37}, 0.99}}}
Spinosaurus, {{100, {{47, 8, 9, 37}, 0.99}}}
Monodelphis_domestica, {{100, {{47, 8, 9, 37}, 0.22}}}
Didelphis_sp., {{83, {{47, 8, 9, 37}, 0.04}}, {17, {{47, 8, 9, 37}, 0.03}}}
Choloepus_didactylus, {{100, {{47, 8, 9, 37}, 0.09}}}
Behemotops_katsuiei, {{100, {{47, 8, 9, 37}, 0.96}}}
Rattus_rattus, {{100, {{47, 8, 9, 37}, 0.42}}}
Apodemus_sp., {{86, {{47, 8, 9, 37}, 0.16}}, {14, {{47, 8, 9, 37}, 0.15}}}
Genetta_genetta, {{100, {{47, 8, 9, 37}, 0.17}}}
Tremarctos_ornatus, {{100, {{47, 8, 9, 37}, 0.7}}}
Tapirus_indicus, {{100, {{47, 8, 9, 37}, 0.16}}}
Balaenoptera_brydei, {{2, {{47, 8, 9, 37}, 0.26}}, {98, {{47, 8, 9, 37}, 0.25}}}
Ceresiosaurus, {{100, {{47, 9, 9, 35}, 1.0}}}
Mollesaurus, {{6, {{47, 9, 9, 35}, 0.8}}, {94, {{47, 9, 9, 35}, 0.81}}}
Clidastes_sp., {{66, {{47, 9, 9, 35}, 0.86}}, {34, {{47, 9, 9, 35}, 0.87}}}
Platecarpus_sp., {{100, {{47, 9, 9, 35}, 0.93}}}
Baryonyx.1, {{100, {{47, 9, 9, 35}, 0.96}}}
Spinosaurus.3, {{100, {{47, 9, 9, 35}, 0.97}}}
Spinosaurus.2, {{100, {{47, 9, 9, 35}, 0.99}}}
Spinosaurus.1, {{59, {{47, 9, 9, 35}, 0.96}}, {41, {{47, 9, 9, 35}, 0.95}}}
Baryonyx, {{100, {{47, 9, 9, 35}, 0.99}}}
Spinosaurus, {{100, {{47, 9, 9, 35}, 0.99}}}
Perameles_nasuta, {{100, {{47, 9, 9, 35}, 0.23}}}
Procavia_capensis, {{100, {{47, 9, 9, 35}, 0.11}}}
Mammuthus_primigenius, {{3, {{47, 9, 9, 35}, 0.31}}, {97, {{47, 9, 9, 35}, 0.32}}}
Desmostylus_hesperus, {{100, {{47, 9, 9, 35}, 0.26}}}
Lepus_europaeus, {{100, {{47, 9, 9, 35}, 0.32}}}
Equus_caballus, {{100, {{47, 9, 9, 35}, 0.4}}}
Ceratotherium_simum, {{81, {{47, 9, 9, 35}, 0.48}}, {19, {{47, 9, 9, 35}, 0.49}}}
Cervus_elaphus_canadensis, {{100, {{47, 9, 9, 35}, 0.04}}}
Baryonyx.1, {{100, {{49, 9, 10, 33}, 0.98}}}
Spinosaurus.3, {{100, {{49, 9, 10, 33}, 0.98}}}
Spinosaurus.2, {{100, {{49, 9, 10, 33}, 1.0}}}
Spinosaurus.1, {{100, {{49, 9, 10, 33}, 0.97}}}
Baryonyx, {{100, {{49, 9, 10, 33}, 1.0}}}
Spinosaurus, {{100, {{49, 9, 10, 33}, 1.0}}}
Tachyglossus_aculeatus_setosus, {{100, {{49, 9, 10, 33}, 0.13}}}
Zaglossus_bruijni, {{5, {{49, 9, 10, 33}, 0.03}}, {95, {{49, 9, 10, 33}, 0.02}}}
Orycteropus_afer, {{100, {{49, 9, 10, 33}, 0.07}}}
Trichechus_manatus, {{100, {{49, 9, 10, 33}, 1.0}}}
Ashoroa_laticosta, {{100, {{49, 9, 10, 33}, 0.99}}}
Galemys_pyrenaicus, {{100, {{49, 9, 10, 33}, 0.02}}}
Felis_silvestris, {{100, {{49, 9, 10, 33}, 0.15}}}
Nanophoca_vitulinoides, {{100, {{49, 9, 10, 33}, 0.99}}}
Enhydra_lutris, {{55, {{49, 9, 10, 33}, 0.96}}, {45, {{49, 9, 10, 33}, 0.97}}}
Choeropsis_liberiensis, {{100, {{49, 9, 10, 33}, 0.68}}}
Rodhocetus, {{92, {{49, 9, 10, 33}, 0.99}}, {8, {{49, 9, 10, 33}, 0.98}}}
Dallasaurus_turneri, {{100, {{48, 8, 9, 36}, 0.34}}}
Baryonyx.1, {{100, {{48, 8, 9, 36}, 0.98}}}
Spinosaurus.3, {{100, {{48, 8, 9, 36}, 0.98}}}
Spinosaurus.2, {{100, {{48, 8, 9, 36}, 1.0}}}
Spinosaurus.1, {{100, {{48, 8, 9, 36}, 0.97}}}
Baryonyx, {{100, {{48, 8, 9, 36}, 1.0}}}
Spinosaurus, {{100, {{48, 8, 9, 36}, 1.0}}}
Struthio_camelus, {{100, {{48, 8, 9, 36}, 0.2}}}
Dasyprocta__punctata, {{100, {{48, 8, 9, 36}, 0.03}}}
Arvicola_amphibius, {{100, {{48, 8, 9, 36}, 0.04}}}
Desmana_moschata, {{2, {{48, 8, 9, 36}, 0.89}}, {98, {{48, 8, 9, 36}, 0.88}}}
Euroscaptor_micrura, {{57, {{48, 8, 9, 36}, 0.15}}, {43, {{48, 8, 9, 36}, 0.16}}}
Vulpes_vulpes, {{11, {{48, 8, 9, 36}, 0.03}}, {89, {{48, 8, 9, 36}, 0.04}}}
Lutra_vulgaris, {{100, {{48, 8, 9, 36}, 0.92}}}
Dorudon, {{100, {{48, 8, 9, 36}, 0.99}}}
Bison_bonasus, {{79, {{48, 8, 9, 36}, 0.03}}, {21, {{48, 8, 9, 36}, 0.04}}}
Hemitragus_jayakari, {{90, {{48, 8, 9, 36}, 0.14}}, {10, {{48, 8, 9, 36}, 0.13}}}
Crocodylus_sp., {{100, {{50, 9, 9, 33}, 0.99}}}
Baryonyx.1, {{100, {{50, 9, 9, 33}, 0.98}}}
Spinosaurus.3, {{92, {{50, 9, 9, 33}, 0.99}}, {8, {{50, 9, 9, 33}, 0.98}}}
Spinosaurus.2, {{100, {{50, 9, 9, 33}, 1.0}}}
Spinosaurus.1, {{100, {{50, 9, 9, 33}, 0.98}}}
Baryonyx, {{100, {{50, 9, 9, 33}, 1.0}}}
Spinosaurus, {{100, {{50, 9, 9, 33}, 1.0}}}
Spheniscus_humboldti, {{100, {{50, 9, 9, 33}, 0.96}}}
Ornithorhynchus_anatinus, {{100, {{50, 9, 9, 33}, 0.96}}}
Macropus_rufus, {{100, {{50, 9, 9, 33}, 0.57}}}
Tenrec_ecaudatus, {{100, {{50, 9, 9, 33}, 0.29}}}
Dugong_dugon, {{100, {{50, 9, 9, 33}, 1.0}}}
Sciurus_vulgaris, {{10, {{50, 9, 9, 33}, 0.09}}, {90, {{50, 9, 9, 33}, 0.1}}}
Phoca_vitulina, {{100, {{50, 9, 9, 33}, 0.0}}}
Hippopotamus_amphibius, {{100, {{50, 9, 9, 33}, 0.93}}}
Lissodelphis_borealis, {{100, {{50, 9, 9, 33}, 0.56}}}
Ovis_aries, {{100, {{50, 9, 9, 33}, 0.13}}}
Baryonyx.1, {{100, {{47, 9, 9, 36}, 0.97}}}
Spinosaurus.3, {{92, {{47, 9, 9, 36}, 0.98}}, {8, {{47, 9, 9, 36}, 0.97}}}
Spinosaurus.2, {{100, {{47, 9, 9, 36}, 1.0}}}
Spinosaurus.1, {{1, {{47, 9, 9, 36}, 0.96}}, {99, {{47, 9, 9, 36}, 0.97}}}
Baryonyx, {{100, {{47, 9, 9, 36}, 1.0}}}
Spinosaurus, {{100, {{47, 9, 9, 36}, 1.0}}}
Atlantisia_rogersi, {{24, {{47, 9, 9, 36}, 0.35}}, {76, {{47, 9, 9, 36}, 0.36}}}
Aptenodytes_patagonicus, {{100, {{47, 9, 9, 36}, 0.69}}}
Vombatus_ursinus, {{100, {{47, 9, 9, 36}, 0.89}}}
Gorilla_gorilla, {{100, {{47, 9, 9, 36}, 0.04}}}
Myocastor_coypus, {{100, {{47, 9, 9, 36}, 0.19}}}
Erinaceus_europaeus, {{29, {{47, 9, 9, 36}, 0.09}}, {71, {{47, 9, 9, 36}, 0.1}}}
Canis_lupus, {{100, {{47, 9, 9, 36}, 0.12}}}
Martes_martes, {{100, {{47, 9, 9, 36}, 0.12}}}
Monodon_monoceros, {{24, {{47, 9, 9, 36}, 0.72}}, {76, {{47, 9, 9, 36}, 0.73}}}
Delphinapterus_leucas, {{100, {{47, 9, 9, 36}, 0.96}}}
Bison_bison, {{100, {{47, 9, 9, 36}, 0.34}}}
Serpianosaurus, {{100, {{45, 10, 9, 37}, 1.0}}}
Crocodylus_niloticus, {{100, {{45, 10, 9, 37}, 0.99}}}
Baryonyx.1, {{100, {{45, 10, 9, 37}, 0.98}}}
Spinosaurus.3, {{100, {{45, 10, 9, 37}, 0.98}}}
Spinosaurus.2, {{100, {{45, 10, 9, 37}, 1.0}}}
Spinosaurus.1, {{100, {{45, 10, 9, 37}, 0.97}}}
Baryonyx, {{100, {{45, 10, 9, 37}, 1.0}}}
Spinosaurus, {{86, {{45, 10, 9, 37}, 0.99}}, {14, {{45, 10, 9, 37}, 1.0}}}
Casuarius_casuarius, {{10, {{45, 10, 9, 37}, 0.26}}, {90, {{45, 10, 9, 37}, 0.25}}}
Caloenas_nicobarica, {{100, {{45, 10, 9, 37}, 0.35}}}
Elephas_maximus, {{100, {{45, 10, 9, 37}, 0.07}}}
Crocidura_russula, {{100, {{45, 10, 9, 37}, 0.09}}}
Martes_foina, {{100, {{45, 10, 9, 37}, 0.18}}}
Rhinoceros_sondaicus, {{100, {{45, 10, 9, 37}, 0.96}}}
Rhinocerus_unicornis, {{97, {{45, 10, 9, 37}, 0.88}}, {3, {{45, 10, 9, 37}, 0.87}}}
Camelus_bactrianus, {{67, {{45, 10, 9, 37}, 0.42}}, {33, {{45, 10, 9, 37}, 0.41}}}
Sus_scrofa, {{79, {{45, 10, 9, 37}, 0.09}}, {21, {{45, 10, 9, 37}, 0.08}}}
Baryonyx.1, {{100, {{47, 10, 9, 35}, 0.97}}}
Spinosaurus.3, {{100, {{47, 10, 9, 35}, 0.98}}}
Spinosaurus.2, {{100, {{47, 10, 9, 35}, 1.0}}}
Spinosaurus.1, {{1, {{47, 10, 9, 35}, 0.96}}, {99, {{47, 10, 9, 35}, 0.97}}}
Baryonyx, {{100, {{47, 10, 9, 35}, 1.0}}}
Spinosaurus, {{64, {{47, 10, 9, 35}, 0.99}}, {36, {{47, 10, 9, 35}, 1.0}}}
Eudyptes_chrysocome, {{100, {{47, 10, 9, 35}, 0.92}}}
Phalacrocorax_harris, {{100, {{47, 10, 9, 35}, 0.84}}}
Microgale_thomasi, {{4, {{47, 10, 9, 35}, 0.15}}, {96, {{47, 10, 9, 35}, 0.14}}}
Cercopithecus_mona, {{100, {{47, 10, 9, 35}, 0.02}}}
Hydromys_chrysogaster, {{100, {{47, 10, 9, 35}, 0.81}}}
Hemiechinus_azurites, {{100, {{47, 10, 9, 35}, 0.09}}}
Ursus_spelaeus, {{31, {{47, 10, 9, 35}, 0.93}}, {69, {{47, 10, 9, 35}, 0.92}}}
Callophoca_obscura, {{26, {{47, 10, 9, 35}, 0.65}}, {74, {{47, 10, 9, 35}, 0.64}}}
Mustela_nivalis, {{100, {{47, 10, 9, 35}, 0.28}}}
Giraffa_camelopardalis, {{80, {{47, 10, 9, 35}, 0.09}}, {20, {{47, 10, 9, 35}, 0.1}}}
Aepyceros_melampus, {{96, {{47, 10, 9, 35}, 0.34}}, {4, {{47, 10, 9, 35}, 0.35}}}
Neusticosaurus, {{100, {{48, 10, 9, 34}, 1.0}}}
Carentonosaurus_mineaui, {{100, {{48, 10, 9, 34}, 0.99}}}
Baryonyx.1, {{100, {{48, 10, 9, 34}, 0.97}}}
Spinosaurus.3, {{100, {{48, 10, 9, 34}, 0.97}}}
Spinosaurus.2, {{5, {{48, 10, 9, 34}, 1.0}}, {95, {{48, 10, 9, 34}, 0.99}}}
Spinosaurus.1, {{100, {{48, 10, 9, 34}, 0.96}}}
Baryonyx, {{100, {{48, 10, 9, 34}, 0.99}}}
Spinosaurus, {{100, {{48, 10, 9, 34}, 0.99}}}
Strigiops_habroptilus, {{15, {{48, 10, 9, 34}, 0.15}}, {85, {{48, 10, 9, 34}, 0.16}}}
Dasyurus_maculatus, {{100, {{48, 10, 9, 34}, 0.5}}}
Paleoparadoxia_sp, {{100, {{48, 10, 9, 34}, 0.99}}}
