Dallasaurus_turneri, {{100, {{46, 9, 10, 35}, 0.37}}}
Platecarpus_sp., {{100, {{46, 9, 10, 35}, 0.94}}}
Crocodylus_niloticus, {{100, {{46, 9, 10, 35}, 0.99}}}
Baryonyx.1, {{100, {{46, 9, 10, 35}, 0.97}}}
Spinosaurus.3, {{100, {{46, 9, 10, 35}, 0.98}}}
Spinosaurus.2, {{100, {{46, 9, 10, 35}, 1.0}}}
Spinosaurus.1, {{100, {{46, 9, 10, 35}, 0.97}}}
Baryonyx, {{100, {{46, 9, 10, 35}, 1.0}}}
Spinosaurus, {{8, {{46, 9, 10, 35}, 0.99}}, {92, {{46, 9, 10, 35}, 1.0}}}
Struthio_camelus, {{98, {{46, 9, 10, 35}, 0.19}}, {2, {{46, 9, 10, 35}, 0.2}}}
Strigiops_habroptilus, {{100, {{46, 9, 10, 35}, 0.12}}}
Aptenodytes_patagonicus, {{100, {{46, 9, 10, 35}, 0.67}}}
Choloepus_didactylus, {{100, {{46, 9, 10, 35}, 0.08}}}
Rhynchocyon_petersi, {{100, {{46, 9, 10, 35}, 0.22}}}
Cercopithecus_mona, {{100, {{46, 9, 10, 35}, 0.02}}}
Dasyprocta__punctata, {{100, {{46, 9, 10, 35}, 0.03}}}
Choeropsis_liberiensis, {{100, {{46, 9, 10, 35}, 0.6}}}
Ovis_aries, {{100, {{46, 9, 10, 35}, 0.15}}}
Baryonyx.1, {{100, {{49, 9, 9, 34}, 0.98}}}
Spinosaurus.3, {{100, {{49, 9, 9, 34}, 0.98}}}
Spinosaurus.2, {{100, {{49, 9, 9, 34}, 1.0}}}
Spinosaurus.1, {{100, {{49, 9, 9, 34}, 0.97}}}
Baryonyx, {{100, {{49, 9, 9, 34}, 1.0}}}
Spinosaurus, {{100, {{49, 9, 9, 34}, 1.0}}}
Atlantisia_rogersi, {{100, {{49, 9, 9, 34}, 0.37}}}
Monodelphis_domestica, {{100, {{49, 9, 9, 34}, 0.17}}}
Macropus_rufus, {{32, {{49, 9, 9, 34}, 0.61}}, {68, {{49, 9, 9, 34}, 0.6}}}
Ashoroa_laticosta, {{100, {{49, 9, 9, 34}, 0.99}}}
Castor_fiber, {{100, {{49, 9, 9, 34}, 0.95}}}
Tremarctos_ornatus, {{86, {{49, 9, 9, 34}, 0.74}}, {14, {{49, 9, 9, 34}, 0.75}}}
Phoca_vitulina, {{36, {{49, 9, 9, 34}, 0.01}}, {64, {{49, 9, 9, 34}, 0.0}}}
Martes_foina, {{100, {{49, 9, 9, 34}, 0.18}}}
Lutra_vulgaris, {{100, {{49, 9, 9, 34}, 0.95}}}
Rodhocetus, {{100, {{49, 9, 9, 34}, 0.99}}}
Orcinus_orca, {{100, {{49, 9, 9, 34}, 0.98}}}
Nothosaurus_sp., {{100, {{49, 9, 7, 35}, 1.0}}}
Mollesaurus, {{100, {{49, 9, 7, 35}, 0.87}}}
Baryonyx.1, {{97, {{49, 9, 7, 35}, 0.98}}, {3, {{49, 9, 7, 35}, 0.97}}}
Spinosaurus.3, {{100, {{49, 9, 7, 35}, 0.98}}}
Spinosaurus.2, {{100, {{49, 9, 7, 35}, 1.0}}}
Spinosaurus.1, {{100, {{49, 9, 7, 35}, 0.97}}}
Baryonyx, {{100, {{49, 9, 7, 35}, 1.0}}}
Spinosaurus, {{100, {{49, 9, 7, 35}, 1.0}}}
Zaglossus_bruijni, {{100, {{49, 9, 7, 35}, 0.02}}}
Apodemus_sp., {{100, {{49, 9, 7, 35}, 0.06}}}
Galemys_pyrenaicus, {{86, {{49, 9, 7, 35}, 0.01}}, {14, {{49, 9, 7, 35}, 0.02}}}
Noemys_fodies, {{100, {{49, 9, 7, 35}, 0.53}}}
Vulpes_vulpes, {{100, {{49, 9, 7, 35}, 0.04}}}
Martes_martes, {{2, {{49, 9, 7, 35}, 0.1}}, {98, {{49, 9, 7, 35}, 0.11}}}
Ceratotherium_simum, {{100, {{49, 9, 7, 35}, 0.6}}}
Delphinapterus_leucas, {{100, {{49, 9, 7, 35}, 0.96}}}
Rangifer_tarandus, {{100, {{49, 9, 7, 35}, 0.64}}}
Hemitragus_jayakari, {{100, {{49, 9, 7, 35}, 0.14}}}
Neusticosaurus, {{100, {{52, 8, 7, 34}, 1.0}}}
Metriorhynchid_indet., {{100, {{52, 8, 7, 34}, 0.38}}}
Baryonyx.1, {{100, {{52, 8, 7, 34}, 0.98}}}
Spinosaurus.3, {{56, {{52, 8, 7, 34}, 0.99}}, {44, {{52, 8, 7, 34}, 0.98}}}
Spinosaurus.2, {{100, {{52, 8, 7, 34}, 1.0}}}
Spinosaurus.1, {{100, {{52, 8, 7, 34}, 0.98}}}
Baryonyx, {{100, {{52, 8, 7, 34}, 1.0}}}
Spinosaurus, {{100, {{52, 8, 7, 34}, 1.0}}}
Spheniscus_humboldti, {{100, {{52, 8, 7, 34}, 0.96}}}
Trichechus_manatus, {{100, {{52, 8, 7, 34}, 1.0}}}
Desmostylus_hesperus, {{100, {{52, 8, 7, 34}, 0.21}}}
Diplomesodon_pulchellum, {{100, {{52, 8, 7, 34}, 0.28}}}
Ursus_spelaeus, {{98, {{52, 8, 7, 34}, 0.93}}, {2, {{52, 8, 7, 34}, 0.94}}}
Rhinoceros_sondaicus, {{100, {{52, 8, 7, 34}, 0.97}}}
Basilosaurus, {{100, {{52, 8, 7, 34}, 1.0}}}
Monodon_monoceros, {{100, {{52, 8, 7, 34}, 0.71}}}
Giraffa_camelopardalis, {{100, {{52, 8, 7, 34}, 0.05}}}
Clidastes_sp., {{2, {{46, 10, 10, 35}, 0.88}}, {98, {{46, 10, 10, 35}, 0.87}}}
Baryonyx.1, {{100, {{46, 10, 10, 35}, 0.97}}}
Spinosaurus.3, {{100, {{46, 10, 10, 35}, 0.97}}}
Spinosaurus.2, {{61, {{46, 10, 10, 35}, 0.99}}, {39, {{46, 10, 10, 35}, 1.0}}}
Spinosaurus.1, {{100, {{46, 10, 10, 35}, 0.96}}}
Baryonyx, {{74, {{46, 10, 10, 35}, 0.99}}, {26, {{46, 10, 10, 35}, 1.0}}}
Spinosaurus, {{100, {{46, 10, 10, 35}, 0.99}}}
Caloenas_nicobarica, {{100, {{46, 10, 10, 35}, 0.34}}}
Eudyptes_chrysocome, {{100, {{46, 10, 10, 35}, 0.91}}}
Ornithorhynchus_anatinus, {{100, {{46, 10, 10, 35}, 0.92}}}
Orycteropus_afer, {{100, {{46, 10, 10, 35}, 0.08}}}
Paleoparadoxia_sp, {{100, {{46, 10, 10, 35}, 0.99}}}
Galagoides_demidovii, {{100, {{46, 10, 10, 35}, 0.02}}}
Rattus_rattus, {{100, {{46, 10, 10, 35}, 0.33}}}
Mustela_nivalis, {{100, {{46, 10, 10, 35}, 0.3}}}
Camelus_bactrianus, {{61, {{46, 10, 10, 35}, 0.34}}, {39, {{46, 10, 10, 35}, 0.35}}}
Bison_bonasus, {{100, {{46, 10, 10, 35}, 0.04}}}
Crocodylus_sp., {{100, {{47, 9, 10, 35}, 0.98}}}
Baryonyx.1, {{100, {{47, 9, 10, 35}, 0.97}}}
Spinosaurus.3, {{100, {{47, 9, 10, 35}, 0.97}}}
Spinosaurus.2, {{100, {{47, 9, 10, 35}, 1.0}}}
Spinosaurus.1, {{100, {{47, 9, 10, 35}, 0.96}}}
Baryonyx, {{100, {{47, 9, 10, 35}, 1.0}}}
Spinosaurus, {{100, {{47, 9, 10, 35}, 0.99}}}
Phalacrocorax_harris, {{44, {{47, 9, 10, 35}, 0.84}}, {56, {{47, 9, 10, 35}, 0.83}}}
Microgale_thomasi, {{83, {{47, 9, 10, 35}, 0.15}}, {17, {{47, 9, 10, 35}, 0.16}}}
Procavia_capensis, {{100, {{47, 9, 10, 35}, 0.11}}}
Mammuthus_primigenius, {{100, {{47, 9, 10, 35}, 0.37}}}
Myoprocta_pratti, {{98, {{47, 9, 10, 35}, 0.03}}, {2, {{47, 9, 10, 35}, 0.04}}}
Myocastor_coypus, {{98, {{47, 9, 10, 35}, 0.2}}, {2, {{47, 9, 10, 35}, 0.21}}}
