Metriorhynchid_indet., {{97, {{47, 9, 7, 37}, 0.28}}, {3, {{47, 9, 7, 37}, 0.27}}}
Baryonyx.1, {{100, {{47, 9, 7, 37}, 0.98}}}
Spinosaurus.3, {{100, {{47, 9, 7, 37}, 0.98}}}
Spinosaurus.2, {{100, {{47, 9, 7, 37}, 1.0}}}
Spinosaurus.1, {{86, {{47, 9, 7, 37}, 0.98}}, {14, {{47, 9, 7, 37}, 0.97}}}
Baryonyx, {{100, {{47, 9, 7, 37}, 1.0}}}
Spinosaurus, {{100, {{47, 9, 7, 37}, 1.0}}}
Atlantisia_rogersi, {{100, {{47, 9, 7, 37}, 0.34}}}
Didelphis_sp., {{100, {{47, 9, 7, 37}, 0.01}}}
Orycteropus_afer, {{100, {{47, 9, 7, 37}, 0.02}}}
Erinaceus_europaeus, {{100, {{47, 9, 7, 37}, 0.05}}}
Hemiechinus_azurites, {{100, {{47, 9, 7, 37}, 0.05}}}
Genetta_genetta, {{100, {{47, 9, 7, 37}, 0.07}}}
Ursus_spelaeus, {{100, {{47, 9, 7, 37}, 0.93}}}
Phoca_vitulina, {{100, {{47, 9, 7, 37}, 0.0}}}
Taxidea_taxus, {{1, {{47, 9, 7, 37}, 0.26}}, {99, {{47, 9, 7, 37}, 0.25}}}
Enhydra_lutris, {{100, {{47, 9, 7, 37}, 0.97}}}
Hemitragus_jayakari, {{42, {{47, 9, 7, 37}, 0.07}}, {58, {{47, 9, 7, 37}, 0.06}}}
Ceresiosaurus, {{100, {{46, 10, 10, 35}, 1.0}}}
Tylosaurus_sp., {{83, {{46, 10, 10, 35}, 0.85}}, {17, {{46, 10, 10, 35}, 0.86}}}
Baryonyx.1, {{100, {{46, 10, 10, 35}, 0.96}}}
Spinosaurus.3, {{100, {{46, 10, 10, 35}, 0.97}}}
Spinosaurus.2, {{100, {{46, 10, 10, 35}, 0.99}}}
Spinosaurus.1, {{85, {{46, 10, 10, 35}, 0.95}}, {15, {{46, 10, 10, 35}, 0.96}}}
Baryonyx, {{100, {{46, 10, 10, 35}, 0.99}}}
Spinosaurus, {{100, {{46, 10, 10, 35}, 0.99}}}
Caloenas_nicobarica, {{99, {{46, 10, 10, 35}, 0.36}}, {1, {{46, 10, 10, 35}, 0.35}}}
Paleoparadoxia_sp, {{100, {{46, 10, 10, 35}, 0.99}}}
Desmana_moschata, {{100, {{46, 10, 10, 35}, 0.87}}}
Euroscaptor_micrura, {{100, {{46, 10, 10, 35}, 0.24}}}
Vulpes_vulpes, {{100, {{46, 10, 10, 35}, 0.07}}}
Martes_martes, {{100, {{46, 10, 10, 35}, 0.16}}}
Equus_caballus, {{100, {{46, 10, 10, 35}, 0.48}}}
Camelus_bactrianus, {{100, {{46, 10, 10, 35}, 0.38}}}
Sus_scrofa, {{100, {{46, 10, 10, 35}, 0.09}}}
Nothosaurus_sp., {{100, {{50, 9, 9, 32}, 1.0}}}
Clidastes_sp., {{93, {{50, 9, 9, 32}, 0.89}}, {7, {{50, 9, 9, 32}, 0.88}}}
Baryonyx.1, {{100, {{50, 9, 9, 32}, 0.97}}}
Spinosaurus.3, {{100, {{50, 9, 9, 32}, 0.97}}}
Spinosaurus.2, {{100, {{50, 9, 9, 32}, 1.0}}}
