Nothosaurus_sp., {{100, 1.0}}
Tylosaurus_sp., {{91, 0.88}, {9, 0.87}}
Baryonyx.1, {{66, 0.98}, {34, 0.97}}
Spinosaurus.3, {{100, 0.98}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.97}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 0.99}}
Struthio_camelus, {{98, 0.26}, {2, 0.27}}
Atlantisia_rogersi, {{100, 0.29}}
Ashoroa_laticosta, {{88, 0.98}, {12, 0.99}}
Gorilla_gorilla, {{100, 0.08}}
Arvicola_amphibius, {{97, 0.06}, {3, 0.05}}
Lutra_vulgaris, {{100, 0.91}}
Equus_caballus, {{49, 0.53}, {51, 0.54}}
Ceratotherium_simum, {{96, 0.67}, {4, 0.68}}
Camelus_bactrianus, {{9, 0.45}, {91, 0.46}}
Sus_scrofa, {{100, 0.1}}
Neusticosaurus, {{100, 1.0}}
Baryonyx.1, {{100, 0.97}}
Spinosaurus.3, {{100, 0.98}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.97}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{78, 0.99}, {22, 1.0}}
Apteryx_owenii, {{100, 0.52}}
Monodelphis_domestica, {{100, 0.16}}
Perameles_nasuta, {{100, 0.25}}
Rattus_rattus, {{100, 0.31}}
Noemys_fodies, {{100, 0.62}}
Diplomesodon_pulchellum, {{100, 0.29}}
Neovison_vison, {{100, 0.3}}
Rhinoceros_sondaicus, {{100, 0.96}}
Basilosaurus, {{100, 1.0}}
Bison_bonasus, {{100, 0.04}}
Baryonyx.1, {{99, 0.98}, {1, 0.99}}
Spinosaurus.3, {{100, 0.99}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.98}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Phalacrocorax_harris, {{100, 0.83}}
Didelphis_sp., {{100, 0.01}}
Procavia_capensis, {{3, 0.07}, {97, 0.06}}
Myocastor_coypus, {{100, 0.14}}
Galemys_pyrenaicus, {{100, 0.01}}
Canis_lupus, {{71, 0.1}, {29, 0.09}}
Vulpes_vulpes, {{100, 0.02}}
Nanophoca_vitulinoides, {{100, 1.0}}
Enhydra_lutris, {{100, 0.97}}
Rhinocerus_unicornis, {{100, 0.89}}
Cervus_elaphus_canadensis, {{100, 0.03}}
Capreolus_capreolus, {{100, 0.0}}
Mollesaurus, {{100, 0.81}}
Carentonosaurus_mineaui, {{100, 0.99}}
Dallasaurus_turneri, {{100, 0.39}}
Baryonyx.1, {{100, 0.97}}
Spinosaurus.3, {{83, 0.98}, {17, 0.97}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.97}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Strigiops_habroptilus, {{100, 0.12}}
Macropus_rufus, {{100, 0.51}}
Orycteropus_afer, {{100, 0.04}}
Behemotops_katsuiei, {{10, 0.96}, {90, 0.97}}
Desmostylus_hesperus, {{99, 0.2}, {1, 0.19}}
Erinaceus_europaeus, {{2, 0.07}, {98, 0.08}}
Delphinapterus_leucas, {{51, 0.95}, {49, 0.96}}
Rangifer_tarandus, {{100, 0.55}}
Baryonyx.1, {{100, 0.97}}
Spinosaurus.3, {{100, 0.97}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.96}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 0.99}}
Ornithorhynchus_anatinus, {{98, 0.94}, {2, 0.95}}
Dasyurus_maculatus, {{100, 0.51}}
Tenrec_ecaudatus, {{36, 0.34}, {64, 0.35}}
Microgale_thomasi, {{100, 0.18}}
Trichechus_manatus, {{100, 1.0}}
Elephas_maximus, {{100, 0.03}}
Dasyprocta__punctata, {{100, 0.04}}
Apodemus_sp., {{100, 0.11}}
Tapirus_indicus, {{100, 0.15}}
Tapirus_terrestris, {{99, 0.74}, {1, 0.75}}
Orcinus_orca, {{100, 0.97}}
Metriorhynchid_indet., {{100, 0.38}}
Crocodylus_niloticus, {{100, 0.99}}
Baryonyx.1, {{100, 0.98}}
Spinosaurus.3, {{100, 0.98}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.98}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Aptenodytes_patagonicus, {{100, 0.69}}
Choloepus_didactylus, {{100, 0.06}}
Castor_fiber, {{98, 0.94}, {2, 0.93}}
Felis_silvestris, {{1, 0.1}, {99, 0.11}}
Panthera_leo_persica, {{100, 0.03}}
Tremarctos_ornatus, {{67, 0.69}, {33, 0.7}}
Ursus_spelaeus, {{100, 0.93}}
Monodon_monoceros, {{100, 0.71}}
Giraffa_camelopardalis, {{100, 0.06}}
Ceresiosaurus, {{100, 1.0}}
Platecarpus_sp., {{100, 0.95}}
Crocodylus_sp., {{100, 0.98}}
Baryonyx.1, {{100, 0.97}}
Spinosaurus.3, {{38, 0.98}, {62, 0.97}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{18, 0.96}, {82, 0.97}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Spheniscus_humboldti, {{76, 0.94}, {24, 0.95}}
Tachyglossus_aculeatus_setosus, {{100, 0.11}}
Hemiechinus_azurites, {{100, 0.08}}
Genetta_genetta, {{100, 0.1}}
Phoca_vitulina, {{100, 0.0}}
Martes_martes, {{100, 0.11}}
Choeropsis_liberiensis, {{100, 0.61}}
Lissodelphis_borealis, {{100, 0.54}}
Baryonyx.1, {{100, 0.95}}
Spinosaurus.3, {{100, 0.95}}
Spinosaurus.2, {{100, 0.99}}
Spinosaurus.1, {{100, 0.94}}
Baryonyx, {{100, 0.99}}
Spinosaurus, {{100, 0.99}}
Casuarius_casuarius, {{100, 0.21}}
Caloenas_nicobarica, {{100, 0.33}}
Galagoides_demidovii, {{100, 0.03}}
Myoprocta_pratti, {{100, 0.05}}
Sciurus_vulgaris, {{100, 0.18}}
Callophoca_obscura, {{99, 0.63}, {1, 0.62}}
Martes_foina, {{100, 0.22}}
Mustela_nivalis, {{100, 0.37}}
Balaenoptera_brydei, {{100, 0.29}}
Ovis_aries, {{100, 0.21}}
Hemitragus_jayakari, {{100, 0.17}}
Baryonyx.1, {{100, 0.97}}
Spinosaurus.3, {{100, 0.98}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.97}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 0.99}}
Zaglossus_bruijni, {{100, 0.03}}
Vombatus_ursinus, {{100, 0.88}}
Rhynchocyon_petersi, {{100, 0.28}}
Mammuthus_primigenius, {{33, 0.4}, {67, 0.41}}
Hydromys_chrysogaster, {{100, 0.81}}
Desmana_moschata, {{100, 0.9}}
Euroscaptor_micrura, {{1, 0.22}, {99, 0.23}}
Crocidura_russula, {{100, 0.11}}
Rodhocetus, {{100, 0.98}}
Dorudon, {{100, 0.99}}
Bison_bison, {{2, 0.4}, {98, 0.39}}
Serpianosaurus, {{100, 1.0}}
Clidastes_sp., {{11, 0.88}, {89, 0.89}}
Baryonyx.1, {{1, 0.98}, {99, 0.97}}
Spinosaurus.3, {{100, 0.98}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.97}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{97, 0.99}, {3, 1.0}}
Eudyptes_chrysocome, {{100, 0.92}}
Dugong_dugon, {{100, 0.99}}
Paleoparadoxia_sp, {{100, 0.99}}
Cercopithecus_mona, {{100, 0.03}}
Lepus_europaeus, {{100, 0.34}}
Taxidea_taxus, {{35, 0.36}, {65, 0.35}}
Hippopotamus_amphibius, {{100, 0.9}}
Aepyceros_melampus, {{100, 0.34}}
Capra_aegagrus, {{36, 0.69}, {64, 0.7}}
