Baryonyx.1, {{100, 0.98}}
Spinosaurus.3, {{100, 0.98}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.97}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Strigiops_habroptilus, {{100, 0.11}}
Aptenodytes_patagonicus, {{100, 0.68}}
Eudyptes_chrysocome, {{100, 0.92}}
Microgale_thomasi, {{100, 0.13}}
Mammuthus_primigenius, {{76, 0.42}, {24, 0.41}}
Paleoparadoxia_sp, {{100, 1.0}}
Gorilla_gorilla, {{100, 0.05}}
Ursus_spelaeus, {{100, 0.94}}
Taxidea_taxus, {{100, 0.37}}
Neovison_vison, {{100, 0.29}}
Tapirus_terrestris, {{100, 0.78}}
Choeropsis_liberiensis, {{100, 0.68}}
Mollesaurus, {{100, 0.81}}
Carentonosaurus_mineaui, {{100, 1.0}}
Baryonyx.1, {{100, 0.98}}
Spinosaurus.3, {{100, 0.98}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{5, 0.98}, {95, 0.97}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Casuarius_casuarius, {{1, 0.13}, {99, 0.14}}
Trichechus_manatus, {{100, 1.0}}
Galagoides_demidovii, {{100, 0.01}}
Rattus_rattus, {{100, 0.28}}
Phoca_vitulina, {{100, 0.0}}
Callophoca_obscura, {{100, 0.56}}
Sus_scrofa, {{100, 0.02}}
Aepyceros_melampus, {{100, 0.23}}
Ovis_aries, {{100, 0.1}}
Baryonyx.1, {{100, 0.97}}
Spinosaurus.3, {{97, 0.98}, {3, 0.97}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{9, 0.96}, {91, 0.97}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{77, 0.99}, {23, 1.0}}
Phalacrocorax_harris, {{100, 0.84}}
Macropus_rufus, {{100, 0.57}}
Dugong_dugon, {{100, 0.99}}
Procavia_capensis, {{11, 0.1}, {89, 0.11}}
Elephas_maximus, {{100, 0.04}}
Cercopithecus_mona, {{100, 0.02}}
Dasyprocta__punctata, {{100, 0.04}}
Canis_lupus, {{100, 0.13}}
Tremarctos_ornatus, {{100, 0.72}}
Ceratotherium_simum, {{100, 0.56}}
Balaenoptera_brydei, {{100, 0.3}}
Monodon_monoceros, {{86, 0.73}, {14, 0.74}}
Baryonyx.1, {{100, 0.96}}
Spinosaurus.3, {{44, 0.96}, {56, 0.97}}
Spinosaurus.2, {{100, 0.99}}
Spinosaurus.1, {{100, 0.95}}
Baryonyx, {{100, 0.99}}
Spinosaurus, {{100, 0.99}}
Orycteropus_afer, {{100, 0.07}}
Tenrec_ecaudatus, {{100, 0.36}}
Desmostylus_hesperus, {{3, 0.28}, {97, 0.29}}
Myoprocta_pratti, {{100, 0.04}}
Euroscaptor_micrura, {{100, 0.26}}
Erinaceus_europaeus, {{100, 0.12}}
Rhinocerus_unicornis, {{100, 0.84}}
Hippopotamus_amphibius, {{100, 0.9}}
Lissodelphis_borealis, {{5, 0.58}, {95, 0.57}}
Delphinapterus_leucas, {{50, 0.95}, {50, 0.96}}
Giraffa_camelopardalis, {{54, 0.1}, {46, 0.09}}
Neusticosaurus, {{100, 1.0}}
Metriorhynchid_indet., {{100, 0.37}}
Baryonyx.1, {{100, 0.97}}
Spinosaurus.3, {{100, 0.97}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.96}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 0.99}}
Spheniscus_humboldti, {{100, 0.94}}
Hemiechinus_azurites, {{45, 0.09}, {55, 0.08}}
Felis_silvestris, {{4, 0.13}, {96, 0.14}}
