Metriorhynchid_indet., {{97, 0.28}, {3, 0.27}}
Baryonyx.1, {{100, 0.98}}
Spinosaurus.3, {{100, 0.98}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{86, 0.98}, {14, 0.97}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Atlantisia_rogersi, {{100, 0.34}}
Didelphis_sp., {{100, 0.01}}
Orycteropus_afer, {{100, 0.02}}
Erinaceus_europaeus, {{100, 0.05}}
Hemiechinus_azurites, {{100, 0.05}}
Genetta_genetta, {{100, 0.07}}
Ursus_spelaeus, {{100, 0.93}}
Phoca_vitulina, {{100, 0.0}}
Taxidea_taxus, {{1, 0.26}, {99, 0.25}}
Enhydra_lutris, {{100, 0.97}}
Hemitragus_jayakari, {{42, 0.07}, {58, 0.06}}
Ceresiosaurus, {{100, 1.0}}
Tylosaurus_sp., {{83, 0.85}, {17, 0.86}}
Baryonyx.1, {{100, 0.96}}
Spinosaurus.3, {{100, 0.97}}
Spinosaurus.2, {{100, 0.99}}
Spinosaurus.1, {{85, 0.95}, {15, 0.96}}
Baryonyx, {{100, 0.99}}
Spinosaurus, {{100, 0.99}}
Caloenas_nicobarica, {{99, 0.36}, {1, 0.35}}
Paleoparadoxia_sp, {{100, 0.99}}
Desmana_moschata, {{100, 0.87}}
Euroscaptor_micrura, {{100, 0.24}}
Vulpes_vulpes, {{100, 0.07}}
Martes_martes, {{100, 0.16}}
Equus_caballus, {{100, 0.48}}
Camelus_bactrianus, {{100, 0.38}}
Sus_scrofa, {{100, 0.09}}
Nothosaurus_sp., {{100, 1.0}}
Clidastes_sp., {{7, 0.88}, {93, 0.89}}
Baryonyx.1, {{100, 0.97}}
Spinosaurus.3, {{100, 0.97}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{99, 0.96}, {1, 0.97}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 0.99}}
Aptenodytes_patagonicus, {{100, 0.7}}
Spheniscus_humboldti, {{100, 0.94}}
Trichechus_manatus, {{100, 1.0}}
Crocidura_russula, {{100, 0.12}}
Panthera_leo_persica, {{8, 0.04}, {92, 0.05}}
Canis_lupus, {{100, 0.12}}
Mustela_nivalis, {{100, 0.31}}
Basilosaurus, {{100, 0.99}}
Balaenoptera_brydei, {{100, 0.25}}
Delphinapterus_leucas, {{100, 0.95}}
Baryonyx.1, {{63, 0.96}, {37, 0.97}}
Spinosaurus.3, {{100, 0.97}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.96}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 0.99}}
Monodelphis_domestica, {{23, 0.18}, {77, 0.19}}
Tenrec_ecaudatus, {{12, 0.36}, {88, 0.35}}
Desmostylus_hesperus, {{100, 0.28}}
Nanophoca_vitulinoides, {{100, 0.99}}
Martes_foina, {{100, 0.19}}
Neovison_vison, {{95, 0.33}, {5, 0.32}}
Tapirus_terrestris, {{71, 0.76}, {29, 0.75}}
Hippopotamus_amphibius, {{47, 0.91}, {53, 0.9}}
Giraffa_camelopardalis, {{100, 0.09}}
Cervus_elaphus_canadensis, {{100, 0.04}}
Capra_aegagrus, {{100, 0.72}}
Crocodylus_sp., {{100, 0.98}}
Baryonyx.1, {{100, 0.97}}
Spinosaurus.3, {{24, 0.98}, {76, 0.97}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{90, 0.96}, {10, 0.97}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 0.99}}
Struthio_camelus, {{100, 0.21}}
Ornithorhynchus_anatinus, {{100, 0.93}}
Tachyglossus_aculeatus_setosus, {{100, 0.14}}
