Baryonyx.1, {{100, {{57, 6, 1, 28}, 1.0}}}
Spinosaurus.3, {{100, {{57, 6, 1, 28}, 1.0}}}
Spinosaurus.2, {{100, {{57, 6, 1, 28}, 1.0}}}
Spinosaurus.1, {{100, {{57, 6, 1, 28}, 1.0}}}
Baryonyx, {{100, {{57, 6, 1, 28}, 1.0}}}
Spinosaurus, {{100, {{57, 6, 1, 28}, 1.0}}}
Baryonyx.1, {{100, {{56, 5, 2, 29}, 1.0}}}
Spinosaurus.3, {{100, {{56, 5, 2, 29}, 1.0}}}
Spinosaurus.2, {{100, {{56, 5, 2, 29}, 1.0}}}
Spinosaurus.1, {{100, {{56, 5, 2, 29}, 1.0}}}
Baryonyx, {{100, {{56, 5, 2, 29}, 1.0}}}
Spinosaurus, {{100, {{56, 5, 2, 29}, 1.0}}}
Baryonyx.1, {{100, {{53, 6, 5, 28}, 0.99}}}
Spinosaurus.3, {{100, {{53, 6, 5, 28}, 0.99}}}
Spinosaurus.2, {{100, {{53, 6, 5, 28}, 1.0}}}
Spinosaurus.1, {{100, {{53, 6, 5, 28}, 0.99}}}
Baryonyx, {{100, {{53, 6, 5, 28}, 1.0}}}
Spinosaurus, {{100, {{53, 6, 5, 28}, 1.0}}}
Baryonyx.1, {{100, {{55, 8, 3, 26}, 0.98}}}
Spinosaurus.3, {{100, {{55, 8, 3, 26}, 0.98}}}
Spinosaurus.2, {{100, {{55, 8, 3, 26}, 1.0}}}
Spinosaurus.1, {{100, {{55, 8, 3, 26}, 0.97}}}
Baryonyx, {{100, {{55, 8, 3, 26}, 1.0}}}
Spinosaurus, {{100, {{55, 8, 3, 26}, 1.0}}}
Baryonyx.1, {{100, {{46, 9, 12, 25}, 0.9}}}
Spinosaurus.3, {{99, {{46, 9, 12, 25}, 0.9}}, {1, {{46, 9, 12, 25}, 0.91}}}
Spinosaurus.2, {{100, {{46, 9, 12, 25}, 0.99}}}
Spinosaurus.1, {{47, {{46, 9, 12, 25}, 0.9}}, {53, {{46, 9, 12, 25}, 0.91}}}
Baryonyx, {{100, {{46, 9, 12, 25}, 0.99}}}
Spinosaurus, {{100, {{46, 9, 12, 25}, 0.99}}}
Baryonyx.1, {{100, {{54, 6, 4, 28}, 0.99}}}
Spinosaurus.3, {{100, {{54, 6, 4, 28}, 0.99}}}
Spinosaurus.2, {{100, {{54, 6, 4, 28}, 1.0}}}
Spinosaurus.1, {{100, {{54, 6, 4, 28}, 0.99}}}
Baryonyx, {{100, {{54, 6, 4, 28}, 1.0}}}
