{{100, {57, 6, 1, 28}}}
{{100, {56, 5, 2, 29}}}
{{100, {53, 6, 5, 28}}}
{{100, {55, 8, 3, 26}}}
{{100, {46, 9, 12, 25}}}
{{100, {54, 6, 4, 28}}}
{{100, {51, 5, 7, 29}}}
{{100, {54, 4, 4, 30}}}
{{100, {57, 3, 1, 31}}}
{{100, {54, 3, 4, 31}}}
{{100, {54, 8, 4, 26}}}
{{100, {55, 6, 3, 28}}}
{{100, {55, 5, 3, 29}}}
{{100, {49, 7, 9, 27}}}
{{100, {54, 8, 4, 26}}}
{{100, {52, 8, 6, 26}}}
{{100, {55, 6, 3, 28}}}
{{100, {53, 9, 5, 25}}}
{{100, {52, 3, 6, 31}}}
{{100, {51, 8, 7, 26}}}
{{100, {57, 6, 1, 28}}}
{{100, {56, 7, 2, 27}}}
{{100, {55, 7, 3, 27}}}
{{100, {51, 6, 7, 28}}}
{{100, {56, 8, 2, 26}}}
{{100, {56, 5, 2, 29}}}
{{100, {56, 5, 2, 29}}}
{{100, {55, 6, 3, 28}}}
{{100, {55, 3, 3, 31}}}
{{100, {55, 9, 3, 25}}}
{{100, {52, 4, 6, 30}}}
{{100, {55, 8, 3, 26}}}
{{100, {56, 7, 2, 27}}}
{{100, {56, 4, 2, 30}}}
{{100, {55, 9, 3, 25}}}
{{100, {51, 8, 7, 26}}}
{{100, {53, 6, 5, 28}}}
{{100, {54, 8, 4, 26}}}
{{100, {54, 4, 4, 30}}}
{{100, {50, 7, 8, 27}}}
{{100, {56, 4, 2, 30}}}
{{100, {54, 6, 4, 28}}}
{{100, {55, 6, 3, 28}}}
{{100, {52, 7, 6, 27}}}
{{100, {55, 4, 3, 30}}}
{{100, {52, 8, 6, 26}}}
{{100, {53, 8, 5, 26}}}
{{100, {52, 9, 6, 25}}}
{{100, {53, 8, 5, 26}}}
{{100, {53, 5, 5, 29}}}
{{100, {52, 6, 6, 28}}}
{{100, {53, 5, 5, 29}}}
{{100, {55, 4, 3, 30}}}
{{100, {56, 3, 2, 31}}}
{{100, {54, 5, 4, 29}}}
{{100, {51, 8, 7, 26}}}
{{100, {54, 7, 4, 27}}}
{{100, {57, 4, 1, 30}}}
{{100, {51, 7, 7, 27}}}
{{100, {54, 6, 4, 28}}}
{{100, {54, 7, 4, 27}}}
{{100, {58, 6, 0, 28}}}
{{100, {54, 4, 4, 30}}}
{{100, {58, 3, 0, 31}}}
{{100, {53, 6, 5, 28}}}
{{100, {51, 9, 7, 25}}}
{{100, {55, 3, 3, 31}}}
{{100, {55, 8, 3, 26}}}
{{100, {55, 4, 3, 30}}}
{{100, {56, 2, 2, 32}}}
{{100, {56, 7, 2, 27}}}
{{100, {50, 10, 8, 24}}}
{{100, {56, 5, 2, 29}}}
{{100, {56, 4, 2, 30}}}
{{100, {54, 10, 4, 24}}}
{{100, {58, 3, 0, 31}}}
{{3, {56, 5, 2, 29}}, {97, {56, 2, 2, 32}}}
{{100, {54, 9, 4, 25}}}
{{100, {53, 5, 5, 29}}}
{{100, {52, 6, 6, 28}}}
{{100, {54, 6, 4, 28}}}
{{100, {52, 7, 6, 27}}}
{{100, {57, 7, 1, 27}}}
{{100, {58, 3, 0, 31}}}
{{100, {47, 11, 11, 23}}}
{{100, {55, 10, 3, 24}}}
{{100, {58, 3, 0, 31}}}
{{100, {53, 4, 5, 30}}}
{{100, {56, 6, 2, 28}}}
{{56, {54, 6, 4, 28}}, {44, {54, 8, 4, 26}}}
{{100, {55, 5, 3, 29}}}
{{100, {56, 6, 2, 28}}}
{{100, {57, 5, 1, 29}}}
{{100, {51, 6, 7, 28}}}
{{24, {56, 5, 2, 29}}, {76, {56, 6, 2, 28}}}
{{100, {57, 6, 1, 28}}}
{{100, {54, 4, 4, 30}}}
{{100, {55, 5, 3, 29}}}
{{100, {56, 8, 2, 26}}}
{{100, {49, 5, 9, 29}}}
{{100, {56, 4, 2, 30}}}
{{100, {56, 6, 2, 28}}}
{{100, {56, 3, 2, 31}}}
{{100, {49, 5, 9, 29}}}
{{100, {57, 7, 1, 27}}}
{{100, {56, 6, 2, 28}}}
{{100, {54, 4, 4, 30}}}
{{100, {47, 10, 11, 24}}}
{{100, {51, 6, 7, 28}}}
{{100, {49, 5, 9, 29}}}
