Ceresiosaurus, {{99, {{47, 6, 5, 24}, 1.0}}, {1, {{48, 6, 4, 24}, 1.0}}}
Carentonosaurus_mineaui, {{99, {{47, 6, 5, 24}, 1.0}}, {1, {{48, 6, 4, 24}, 1.0}}}
Baryonyx.1, {{99, {{47, 6, 5, 24}, 0.98}}, {1, {{48, 6, 4, 24}, 0.98}}}
Spinosaurus.3, {{1, {{47, 6, 5, 24}, 0.99}}, {1, {{48, 6, 4, 24}, 0.99}}, {98, {{47, 6, 5, 24}, 0.98}}}
Spinosaurus.2, {{99, {{47, 6, 5, 24}, 1.0}}, {1, {{48, 6, 4, 24}, 1.0}}}
Spinosaurus.1, {{99, {{47, 6, 5, 24}, 0.98}}, {1, {{48, 6, 4, 24}, 0.98}}}
Baryonyx, {{99, {{47, 6, 5, 24}, 1.0}}, {1, {{48, 6, 4, 24}, 1.0}}}
Spinosaurus, {{99, {{47, 6, 5, 24}, 1.0}}, {1, {{48, 6, 4, 24}, 1.0}}}
Paleoparadoxia_sp, {{99, {{47, 6, 5, 24}, 1.0}}, {1, {{48, 6, 4, 24}, 1.0}}}
Gorilla_gorilla, {{99, {{47, 6, 5, 24}, 0.0}}, {1, {{48, 6, 4, 24}, 0.0}}}
Dasyprocta__punctata, {{99, {{47, 6, 5, 24}, 0.0}}, {1, {{48, 6, 4, 24}, 0.0}}}
Hemiechinus_azurites, {{99, {{47, 6, 5, 24}, 0.02}}, {1, {{48, 6, 4, 24}, 0.02}}}
Panthera_leo_persica, {{99, {{47, 6, 5, 24}, 0.0}}, {1, {{48, 6, 4, 24}, 0.0}}}
Martes_foina, {{1, {{48, 6, 4, 24}, 0.05}}, {62, {{47, 6, 5, 24}, 0.05}}, {37, {{47, 6, 5, 24}, 0.06}}}
Sus_scrofa, {{99, {{47, 6, 5, 24}, 0.0}}, {1, {{48, 6, 4, 24}, 0.0}}}
Dorudon, {{99, {{47, 6, 5, 24}, 1.0}}, {1, {{48, 6, 4, 24}, 1.0}}}
Baryonyx.1, {{100, {{48, 5, 4, 26}, 1.0}}}
Spinosaurus.3, {{100, {{48, 5, 4, 26}, 1.0}}}
Spinosaurus.2, {{100, {{48, 5, 4, 26}, 1.0}}}
Spinosaurus.1, {{100, {{48, 5, 4, 26}, 1.0}}}
Baryonyx, {{100, {{48, 5, 4, 26}, 1.0}}}
Spinosaurus, {{100, {{48, 5, 4, 26}, 1.0}}}
Strigiops_habroptilus, {{100, {{48, 5, 4, 26}, 0.01}}}
Spheniscus_humboldti, {{100, {{48, 5, 4, 26}, 1.0}}}
Monodelphis_domestica, {{100, {{48, 5, 4, 26}, 0.01}}}
Dasyurus_maculatus, {{53, {{48, 5, 4, 26}, 0.22}}, {47, {{48, 5, 4, 26}, 0.23}}}
Microgale_thomasi, {{100, {{48, 5, 4, 26}, 0.01}}}
Arvicola_amphibius, {{100, {{48, 5, 4, 26}, 0.0}}}
Taxidea_taxus, {{100, {{48, 5, 4, 26}, 0.05}}}
Rodhocetus, {{100, {{48, 5, 4, 26}, 1.0}}}
Ovis_aries, {{100, {{48, 5, 4, 26}, 0.0}}}
Nothosaurus_sp., {{100, {{49, 6, 2, 25}, 1.0}}}
Baryonyx.1, {{43, {{49, 6, 2, 25}, 1.0}}, {57, {{49, 6, 2, 25}, 0.99}}}
Spinosaurus.3, {{100, {{49, 6, 2, 25}, 1.0}}}
Spinosaurus.2, {{100, {{49, 6, 2, 25}, 1.0}}}
Spinosaurus.1, {{100, {{49, 6, 2, 25}, 0.99}}}
Baryonyx, {{100, {{49, 6, 2, 25}, 1.0}}}
Spinosaurus, {{100, {{49, 6, 2, 25}, 1.0}}}
Aptenodytes_patagonicus, {{100, {{49, 6, 2, 25}, 0.7}}}
Macropus_rufus, {{100, {{49, 6, 2, 25}, 0.38}}}
Noemys_fodies, {{100, {{49, 6, 2, 25}, 0.72}}}
Genetta_genetta, {{42, {{49, 6, 2, 25}, 0.02}}, {58, {{49, 6, 2, 25}, 0.01}}}
Tremarctos_ornatus, {{100, {{49, 6, 2, 25}, 0.64}}}
Martes_martes, {{57, {{49, 6, 2, 25}, 0.02}}, {43, {{49, 6, 2, 25}, 0.01}}}
Giraffa_camelopardalis, {{100, {{49, 6, 2, 25}, 0.0}}}
Aepyceros_melampus, {{97, {{49, 6, 2, 25}, 0.09}}, {3, {{49, 6, 2, 25}, 0.08}}}
Capra_aegagrus, {{100, {{49, 6, 2, 25}, 0.63}}}
Baryonyx.1, {{100, {{46, 6, 5, 26}, 0.99}}}
Spinosaurus.3, {{100, {{46, 6, 5, 26}, 0.99}}}
Spinosaurus.2, {{100, {{46, 6, 5, 26}, 1.0}}}
Spinosaurus.1, {{100, {{46, 6, 5, 26}, 0.99}}}
Baryonyx, {{100, {{46, 6, 5, 26}, 1.0}}}
Spinosaurus, {{100, {{46, 6, 5, 26}, 1.0}}}
Struthio_camelus, {{100, {{46, 6, 5, 26}, 0.01}}}
Orycteropus_afer, {{100, {{46, 6, 5, 26}, 0.0}}}
Tenrec_ecaudatus, {{14, {{46, 6, 5, 26}, 0.15}}, {86, {{46, 6, 5, 26}, 0.14}}}
Apodemus_sp., {{30, {{46, 6, 5, 26}, 0.03}}, {70, {{46, 6, 5, 26}, 0.02}}}
Crocidura_russula, {{34, {{46, 6, 5, 26}, 0.03}}, {66, {{46, 6, 5, 26}, 0.04}}}
Diplomesodon_pulchellum, {{99, {{46, 6, 5, 26}, 0.34}}, {1, {{46, 6, 5, 26}, 0.33}}}
Lutra_vulgaris, {{47, {{46, 6, 5, 26}, 0.99}}, {53, {{46, 6, 5, 26}, 0.98}}}
Basilosaurus, {{100, {{46, 6, 5, 26}, 1.0}}}
Cervus_elaphus_canadensis, {{100, {{46, 6, 5, 26}, 0.0}}}
Crocodylus_niloticus, {{100, {{51, 3, 2, 27}, 1.0}}}
Baryonyx.1, {{100, {{51, 3, 2, 27}, 1.0}}}
Spinosaurus.3, {{100, {{51, 3, 2, 27}, 1.0}}}
Spinosaurus.2, {{100, {{51, 3, 2, 27}, 1.0}}}
Spinosaurus.1, {{100, {{51, 3, 2, 27}, 1.0}}}
Baryonyx, {{100, {{51, 3, 2, 27}, 1.0}}}
Spinosaurus, {{100, {{51, 3, 2, 27}, 1.0}}}
Caloenas_nicobarica, {{100, {{51, 3, 2, 27}, 0.0}}}
Rhynchocyon_petersi, {{100, {{51, 3, 2, 27}, 0.0}}}
Sciurus_vulgaris, {{100, {{51, 3, 2, 27}, 0.0}}}
Myocastor_coypus, {{100, {{51, 3, 2, 27}, 0.0}}}
Galemys_pyrenaicus, {{100, {{51, 3, 2, 27}, 0.0}}}
