Baryonyx.1, {{100, {{45, 5, 4, 28}, 0.99}}}
Spinosaurus.3, {{100, {{45, 5, 4, 28}, 0.99}}}
Spinosaurus.2, {{100, {{45, 5, 4, 28}, 1.0}}}
Spinosaurus.1, {{100, {{45, 5, 4, 28}, 0.99}}}
Baryonyx, {{100, {{45, 5, 4, 28}, 1.0}}}
Spinosaurus, {{100, {{45, 5, 4, 28}, 1.0}}}
Casuarius_casuarius, {{100, {{45, 5, 4, 28}, 0.02}}}
Caloenas_nicobarica, {{1, {{45, 5, 4, 28}, 0.09}}, {99, {{45, 5, 4, 28}, 0.1}}}
Strigiops_habroptilus, {{100, {{45, 5, 4, 28}, 0.02}}}
Dasyurus_maculatus, {{100, {{45, 5, 4, 28}, 0.3}}}
Lepus_europaeus, {{100, {{45, 5, 4, 28}, 0.11}}}
Dasyprocta__punctata, {{100, {{45, 5, 4, 28}, 0.0}}}
Myoprocta_pratti, {{100, {{45, 5, 4, 28}, 0.0}}}
Taxidea_taxus, {{99, {{45, 5, 4, 28}, 0.09}}, {1, {{45, 5, 4, 28}, 0.08}}}
Camelus_bactrianus, {{100, {{45, 5, 4, 28}, 0.02}}}
Choeropsis_liberiensis, {{100, {{45, 5, 4, 28}, 0.37}}}
Baryonyx.1, {{100, {{50, 5, 3, 25}, 1.0}}}
Spinosaurus.3, {{100, {{50, 5, 3, 25}, 1.0}}}
Spinosaurus.2, {{100, {{50, 5, 3, 25}, 1.0}}}
Spinosaurus.1, {{100, {{50, 5, 3, 25}, 1.0}}}
Baryonyx, {{100, {{50, 5, 3, 25}, 1.0}}}
Spinosaurus, {{100, {{50, 5, 3, 25}, 1.0}}}
Phalacrocorax_harris, {{100, {{50, 5, 3, 25}, 0.97}}}
Trichechus_manatus, {{100, {{50, 5, 3, 25}, 1.0}}}
Cercopithecus_mona, {{100, {{50, 5, 3, 25}, 0.0}}}
Hydromys_chrysogaster, {{100, {{50, 5, 3, 25}, 0.94}}}
Ursus_spelaeus, {{100, {{50, 5, 3, 25}, 0.99}}}
