Crocodylus_niloticus, {{100, {{48, 6, 3, 25}, 1.0}}}
Baryonyx.1, {{100, {{48, 6, 3, 25}, 1.0}}}
Spinosaurus.3, {{100, {{48, 6, 3, 25}, 1.0}}}
Spinosaurus.2, {{100, {{48, 6, 3, 25}, 1.0}}}
Spinosaurus.1, {{94, {{48, 6, 3, 25}, 0.99}}, {6, {{48, 6, 3, 25}, 1.0}}}
Baryonyx, {{100, {{48, 6, 3, 25}, 1.0}}}
Spinosaurus, {{100, {{48, 6, 3, 25}, 1.0}}}
Caloenas_nicobarica, {{73, {{48, 6, 3, 25}, 0.09}}, {27, {{48, 6, 3, 25}, 0.1}}}
Aptenodytes_patagonicus, {{10, {{48, 6, 3, 25}, 0.72}}, {90, {{48, 6, 3, 25}, 0.71}}}
Tachyglossus_aculeatus_setosus, {{100, {{48, 6, 3, 25}, 0.01}}}
Hemiechinus_azurites, {{97, {{48, 6, 3, 25}, 0.0}}, {3, {{48, 6, 3, 25}, 0.01}}}
Vulpes_vulpes, {{100, {{48, 6, 3, 25}, 0.0}}}
Tremarctos_ornatus, {{100, {{48, 6, 3, 25}, 0.61}}}
Basilosaurus, {{100, {{48, 6, 3, 25}, 1.0}}}
Giraffa_camelopardalis, {{100, {{48, 6, 3, 25}, 0.0}}}
Aepyceros_melampus, {{62, {{48, 6, 3, 25}, 0.05}}, {38, {{48, 6, 3, 25}, 0.06}}}
Baryonyx.1, {{100, {{46, 5, 4, 28}, 0.99}}}
Spinosaurus.3, {{21, {{46, 5, 4, 28}, 1.0}}, {79, {{46, 5, 4, 28}, 0.99}}}
Spinosaurus.2, {{100, {{46, 5, 4, 28}, 1.0}}}
Spinosaurus.1, {{100, {{46, 5, 4, 28}, 0.99}}}
Baryonyx, {{100, {{46, 5, 4, 28}, 1.0}}}
Spinosaurus, {{100, {{46, 5, 4, 28}, 1.0}}}
Atlantisia_rogersi, {{30, {{46, 5, 4, 28}, 0.28}}, {70, {{46, 5, 4, 28}, 0.27}}}
Strigiops_habroptilus, {{100, {{46, 5, 4, 28}, 0.01}}}
Orycteropus_afer, {{100, {{46, 5, 4, 28}, 0.0}}}
Galagoides_demidovii, {{100, {{46, 5, 4, 28}, 0.0}}}
Myocastor_coypus, {{1, {{46, 5, 4, 28}, 0.02}}, {99, {{46, 5, 4, 28}, 0.01}}}
Diplomesodon_pulchellum, {{11, {{46, 5, 4, 28}, 0.23}}, {89, {{46, 5, 4, 28}, 0.24}}}
Taxidea_taxus, {{5, {{46, 5, 4, 28}, 0.05}}, {95, {{46, 5, 4, 28}, 0.06}}}
Rangifer_tarandus, {{7, {{46, 5, 4, 28}, 0.23}}, {93, {{46, 5, 4, 28}, 0.24}}}
Bison_bonasus, {{100, {{46, 5, 4, 28}, 0.0}}}
Ceresiosaurus, {{100, {{50, 5, 4, 23}, 1.0}}}
Baryonyx.1, {{100, {{50, 5, 4, 23}, 1.0}}}
Spinosaurus.3, {{100, {{50, 5, 4, 23}, 1.0}}}
Spinosaurus.2, {{100, {{50, 5, 4, 23}, 1.0}}}
Spinosaurus.1, {{100, {{50, 5, 4, 23}, 1.0}}}
Baryonyx, {{100, {{50, 5, 4, 23}, 1.0}}}
Spinosaurus, {{100, {{50, 5, 4, 23}, 1.0}}}
Spheniscus_humboldti, {{100, {{50, 5, 4, 23}, 0.99}}}
Perameles_nasuta, {{21, {{50, 5, 4, 23}, 0.03}}, {79, {{50, 5, 4, 23}, 0.02}}}
Procavia_capensis, {{100, {{50, 5, 4, 23}, 0.0}}}
Paleoparadoxia_sp, {{100, {{50, 5, 4, 23}, 1.0}}}
Cercopithecus_mona, {{100, {{50, 5, 4, 23}, 0.0}}}
Arvicola_amphibius, {{100, {{50, 5, 4, 23}, 0.0}}}
Rattus_rattus, {{99, {{50, 5, 4, 23}, 0.08}}, {1, {{50, 5, 4, 23}, 0.07}}}
Noemys_fodies, {{100, {{50, 5, 4, 23}, 0.7}}}
Tapirus_terrestris, {{100, {{50, 5, 4, 23}, 0.66}}}
Carentonosaurus_mineaui, {{100, {{49, 5, 3, 26}, 1.0}}}
Baryonyx.1, {{100, {{49, 5, 3, 26}, 0.99}}}
Spinosaurus.3, {{100, {{49, 5, 3, 26}, 0.99}}}
Spinosaurus.2, {{100, {{49, 5, 3, 26}, 1.0}}}
Spinosaurus.1, {{100, {{49, 5, 3, 26}, 0.99}}}
Baryonyx, {{100, {{49, 5, 3, 26}, 1.0}}}
Spinosaurus, {{100, {{49, 5, 3, 26}, 1.0}}}
Didelphis_sp., {{100, {{49, 5, 3, 26}, 0.0}}}
Dasyurus_maculatus, {{9, {{49, 5, 3, 26}, 0.27}}, {91, {{49, 5, 3, 26}, 0.28}}}
Microgale_thomasi, {{100, {{49, 5, 3, 26}, 0.04}}}
Myoprocta_pratti, {{100, {{49, 5, 3, 26}, 0.0}}}
Euroscaptor_micrura, {{17, {{49, 5, 3, 26}, 0.09}}, {83, {{49, 5, 3, 26}, 0.08}}}
Enhydra_lutris, {{100, {{49, 5, 3, 26}, 1.0}}}
Mustela_nivalis, {{22, {{49, 5, 3, 26}, 0.2}}, {78, {{49, 5, 3, 26}, 0.19}}}
Tapirus_indicus, {{100, {{49, 5, 3, 26}, 0.0}}}
Nothosaurus_sp., {{93, {{46, 6, 5, 26}, 1.0}}, {7, {{47, 6, 4, 26}, 1.0}}}
Baryonyx.1, {{13, {{46, 6, 5, 26}, 0.99}}, {7, {{47, 6, 4, 26}, 0.99}}, {80, {{46, 6, 5, 26}, 0.98}}}
Spinosaurus.3, {{93, {{46, 6, 5, 26}, 0.99}}, {7, {{47, 6, 4, 26}, 0.99}}}
Spinosaurus.2, {{93, {{46, 6, 5, 26}, 1.0}}, {7, {{47, 6, 4, 26}, 1.0}}}
Spinosaurus.1, {{93, {{46, 6, 5, 26}, 0.98}}, {7, {{47, 6, 4, 26}, 0.98}}}
