Ceresiosaurus, {{100, 1.0}}
Carentonosaurus_mineaui, {{100, 1.0}}
Baryonyx.1, {{100, 0.98}}
Spinosaurus.3, {{98, 0.98}, {2, 0.99}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.98}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Paleoparadoxia_sp, {{100, 1.0}}
Gorilla_gorilla, {{100, 0.0}}
Dasyprocta__punctata, {{100, 0.0}}
Hemiechinus_azurites, {{100, 0.02}}
Panthera_leo_persica, {{100, 0.0}}
Martes_foina, {{37, 0.06}, {63, 0.05}}
Sus_scrofa, {{100, 0.0}}
Dorudon, {{100, 1.0}}
Baryonyx.1, {{100, 1.0}}
Spinosaurus.3, {{100, 1.0}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 1.0}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Strigiops_habroptilus, {{100, 0.01}}
Spheniscus_humboldti, {{100, 1.0}}
Monodelphis_domestica, {{100, 0.01}}
Dasyurus_maculatus, {{53, 0.22}, {47, 0.23}}
Microgale_thomasi, {{100, 0.01}}
Arvicola_amphibius, {{100, 0.0}}
Taxidea_taxus, {{100, 0.05}}
Rodhocetus, {{100, 1.0}}
Ovis_aries, {{100, 0.0}}
Nothosaurus_sp., {{100, 1.0}}
Baryonyx.1, {{57, 0.99}, {43, 1.0}}
Spinosaurus.3, {{100, 1.0}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.99}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Aptenodytes_patagonicus, {{100, 0.7}}
Macropus_rufus, {{100, 0.38}}
Noemys_fodies, {{100, 0.72}}
Genetta_genetta, {{58, 0.01}, {42, 0.02}}
Tremarctos_ornatus, {{100, 0.64}}
Martes_martes, {{43, 0.01}, {57, 0.02}}
Giraffa_camelopardalis, {{100, 0.0}}
Aepyceros_melampus, {{97, 0.09}, {3, 0.08}}
Capra_aegagrus, {{100, 0.63}}
Baryonyx.1, {{100, 0.99}}
Spinosaurus.3, {{100, 0.99}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.99}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Struthio_camelus, {{100, 0.01}}
Orycteropus_afer, {{100, 0.0}}
Tenrec_ecaudatus, {{14, 0.15}, {86, 0.14}}
Apodemus_sp., {{30, 0.03}, {70, 0.02}}
Crocidura_russula, {{66, 0.04}, {34, 0.03}}
Diplomesodon_pulchellum, {{99, 0.34}, {1, 0.33}}
Lutra_vulgaris, {{53, 0.98}, {47, 0.99}}
Basilosaurus, {{100, 1.0}}
Cervus_elaphus_canadensis, {{100, 0.0}}
Crocodylus_niloticus, {{100, 1.0}}
Baryonyx.1, {{100, 1.0}}
Spinosaurus.3, {{100, 1.0}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 1.0}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Caloenas_nicobarica, {{100, 0.0}}
Rhynchocyon_petersi, {{100, 0.0}}
Sciurus_vulgaris, {{100, 0.0}}
Myocastor_coypus, {{100, 0.0}}
Galemys_pyrenaicus, {{100, 0.0}}
Mustela_nivalis, {{100, 0.01}}
Equus_caballus, {{100, 0.0}}
Tapirus_indicus, {{100, 0.0}}
Baryonyx.1, {{100, 1.0}}
Spinosaurus.3, {{100, 1.0}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{54, 0.99}, {46, 1.0}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Atlantisia_rogersi, {{58, 0.28}, {42, 0.27}}
Eudyptes_chrysocome, {{100, 0.99}}
Vombatus_ursinus, {{1, 0.98}, {99, 0.97}}
Procavia_capensis, {{100, 0.0}}
Galagoides_demidovii, {{100, 0.0}}
Hydromys_chrysogaster, {{37, 0.96}, {63, 0.97}}
Euroscaptor_micrura, {{100, 0.06}}
Camelus_bactrianus, {{100, 0.01}}
Hippopotamus_amphibius, {{90, 0.92}, {10, 0.93}}
Neusticosaurus, {{100, 1.0}}
Baryonyx.1, {{100, 0.99}}
Spinosaurus.3, {{100, 0.99}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.99}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Didelphis_sp., {{100, 0.0}}
Lepus_europaeus, {{84, 0.1}, {16, 0.11}}
Castor_fiber, {{100, 0.98}}
Desmana_moschata, {{100, 0.97}}
Erinaceus_europaeus, {{100, 0.01}}
Enhydra_lutris, {{100, 0.99}}
Neovison_vison, {{95, 0.09}, {5, 0.08}}
Bison_bonasus, {{100, 0.0}}
Crocodylus_sp., {{100, 1.0}}
Baryonyx.1, {{100, 1.0}}
Spinosaurus.3, {{100, 1.0}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{93, 0.99}, {7, 1.0}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Apteryx_owenii, {{85, 0.49}, {15, 0.48}}
Tachyglossus_aculeatus_setosus, {{100, 0.01}}
Cercopithecus_mona, {{100, 0.0}}
Rattus_rattus, {{84, 0.17}, {16, 0.16}}
Ursus_spelaeus, {{100, 0.97}}
Capreolus_capreolus, {{100, 0.0}}
Bison_bison, {{100, 0.03}}
Hemitragus_jayakari, {{100, 0.0}}
Serpianosaurus, {{100, 1.0}}
Baryonyx.1, {{62, 0.98}, {38, 0.99}}
Spinosaurus.3, {{100, 0.99}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.98}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Ornithorhynchus_anatinus, {{100, 0.99}}
Perameles_nasuta, {{100, 0.06}}
Ashoroa_laticosta, {{100, 1.0}}
Myoprocta_pratti, {{100, 0.0}}
Canis_lupus, {{100, 0.01}}
Vulpes_vulpes, {{100, 0.0}}
Tapirus_terrestris, {{100, 0.57}}
Choeropsis_liberiensis, {{14, 0.32}, {86, 0.31}}
Baryonyx.1, {{100, 1.0}}
Spinosaurus.3, {{100, 1.0}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 1.0}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Casuarius_casuarius, {{100, 0.02}}
Phalacrocorax_harris, {{99, 0.96}, {1, 0.97}}
Zaglossus_bruijni, {{100, 0.0}}
Choloepus_didactylus, {{100, 0.0}}
Dugong_dugon, {{100, 1.0}}
Trichechus_manatus, {{100, 1.0}}
Felis_silvestris, {{100, 0.01}}
Nanophoca_vitulinoides, {{100, 1.0}}
Rangifer_tarandus, {{99, 0.37}, {1, 0.36}}
