Neusticosaurus, {{100, 1.0}}
Carentonosaurus_mineaui, {{100, 1.0}}
Baryonyx.1, {{100, 0.98}}
Spinosaurus.3, {{9, 0.98}, {91, 0.99}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.98}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Monodelphis_domestica, {{100, 0.06}}
Myoprocta_pratti, {{100, 0.0}}
Panthera_leo_persica, {{100, 0.0}}
Canis_lupus, {{100, 0.02}}
Mustela_nivalis, {{59, 0.22}, {41, 0.21}}
Equus_caballus, {{84, 0.18}, {16, 0.17}}
Dorudon, {{100, 1.0}}
Bison_bison, {{100, 0.09}}
Nothosaurus_sp., {{100, 1.0}}
Crocodylus_sp., {{100, 1.0}}
Baryonyx.1, {{17, 0.98}, {83, 0.99}}
Spinosaurus.3, {{100, 0.99}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.98}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Atlantisia_rogersi, {{27, 0.37}, {73, 0.36}}
Orycteropus_afer, {{100, 0.0}}
Tenrec_ecaudatus, {{100, 0.18}}
Lepus_europaeus, {{68, 0.17}, {32, 0.16}}
Desmana_moschata, {{100, 0.97}}
Erinaceus_europaeus, {{100, 0.02}}
Martes_martes, {{100, 0.03}}
Baryonyx.1, {{100, 0.99}}
Spinosaurus.3, {{100, 0.99}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.99}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Didelphis_sp., {{100, 0.0}}
Dasyurus_maculatus, {{100, 0.31}}
Macropus_rufus, {{88, 0.33}, {12, 0.32}}
Rhynchocyon_petersi, {{100, 0.08}}
Cercopithecus_mona, {{100, 0.0}}
Dasyprocta__punctata, {{100, 0.0}}
Castor_fiber, {{100, 0.99}}
Crocidura_russula, {{13, 0.03}, {87, 0.02}}
Felis_silvestris, {{100, 0.02}}
Aepyceros_melampus, {{100, 0.06}}
Serpianosaurus, {{100, 1.0}}
Baryonyx.1, {{100, 1.0}}
Spinosaurus.3, {{100, 1.0}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 1.0}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Struthio_camelus, {{100, 0.0}}
Vombatus_ursinus, {{7, 0.98}, {93, 0.97}}
Arvicola_amphibius, {{100, 0.0}}
Apodemus_sp., {{100, 0.0}}
Euroscaptor_micrura, {{100, 0.01}}
Noemys_fodies, {{6, 0.73}, {94, 0.72}}
Neovison_vison, {{13, 0.03}, {87, 0.02}}
Choeropsis_liberiensis, {{85, 0.3}, {1, 0.31}, {14, 0.29}}
Crocodylus_niloticus, {{100, 1.0}}
Baryonyx.1, {{100, 1.0}}
Spinosaurus.3, {{100, 1.0}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 1.0}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Caloenas_nicobarica, {{19, 0.07}, {81, 0.08}}
Phalacrocorax_harris, {{100, 0.97}}
Zaglossus_bruijni, {{100, 0.0}}
Trichechus_manatus, {{100, 1.0}}
Sciurus_vulgaris, {{100, 0.01}}
Rattus_rattus, {{20, 0.15}, {80, 0.16}}
Nanophoca_vitulinoides, {{100, 1.0}}
Lutra_vulgaris, {{100, 0.99}}
Baryonyx.1, {{37, 0.99}, {63, 1.0}}
Spinosaurus.3, {{100, 1.0}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.99}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Apteryx_owenii, {{100, 0.48}}
Casuarius_casuarius, {{100, 0.01}}
Aptenodytes_patagonicus, {{86, 0.72}, {14, 0.71}}
Ashoroa_laticosta, {{100, 1.0}}
Hemiechinus_azurites, {{100, 0.0}}
Diplomesodon_pulchellum, {{91, 0.24}, {2, 0.23}, {7, 0.25}}
Tapirus_terrestris, {{100, 0.62}}
Sus_scrofa, {{100, 0.0}}
Rangifer_tarandus, {{37, 0.24}, {63, 0.25}}
Baryonyx.1, {{100, 1.0}}
Spinosaurus.3, {{100, 1.0}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 1.0}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Strigiops_habroptilus, {{77, 0.0}, {23, 0.01}}
Microgale_thomasi, {{100, 0.02}}
Vulpes_vulpes, {{100, 0.0}}
Tremarctos_ornatus, {{88, 0.49}, {12, 0.48}}
Ursus_spelaeus, {{84, 0.98}, {16, 0.97}}
Martes_foina, {{100, 0.01}}
Tapirus_indicus, {{100, 0.0}}
Hippopotamus_amphibius, {{27, 0.92}, {73, 0.91}}
Bison_bonasus, {{100, 0.0}}
Baryonyx.1, {{100, 1.0}}
Spinosaurus.3, {{100, 1.0}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 1.0}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Procavia_capensis, {{100, 0.0}}
Galagoides_demidovii, {{100, 0.0}}
Gorilla_gorilla, {{100, 0.0}}
Galemys_pyrenaicus, {{100, 0.0}}
Genetta_genetta, {{100, 0.0}}
Taxidea_taxus, {{100, 0.04}}
Cervus_elaphus_canadensis, {{100, 0.0}}
Hemitragus_jayakari, {{100, 0.0}}
Capra_aegagrus, {{100, 0.56}}
Baryonyx.1, {{100, 1.0}}
Spinosaurus.3, {{100, 1.0}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 1.0}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Spheniscus_humboldti, {{11, 0.99}, {89, 1.0}}
Eudyptes_chrysocome, {{100, 0.99}}
Tachyglossus_aculeatus_setosus, {{100, 0.01}}
Dugong_dugon, {{100, 1.0}}
Paleoparadoxia_sp, {{100, 1.0}}
Camelus_bactrianus, {{100, 0.02}}
Basilosaurus, {{100, 1.0}}
Capreolus_capreolus, {{100, 0.0}}
Ovis_aries, {{100, 0.01}}
Ceresiosaurus, {{100, 1.0}}
Baryonyx.1, {{100, 0.99}}
Spinosaurus.3, {{89, 0.99}, {11, 1.0}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.99}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Ornithorhynchus_anatinus, {{100, 0.99}}
Perameles_nasuta, {{83, 0.04}, {17, 0.05}}
Choloepus_didactylus, {{100, 0.0}}
Myocastor_coypus, {{100, 0.02}}
Hydromys_chrysogaster, {{80, 0.92}, {20, 0.91}}
Enhydra_lutris, {{100, 0.99}}
Rodhocetus, {{100, 1.0}}
Giraffa_camelopardalis, {{100, 0.0}}
