Crocodylus_niloticus, {{100, 1.0}}
Baryonyx.1, {{100, 1.0}}
Spinosaurus.3, {{100, 1.0}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{94, 0.99}, {6, 1.0}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Caloenas_nicobarica, {{27, 0.1}, {73, 0.09}}
Aptenodytes_patagonicus, {{90, 0.71}, {10, 0.72}}
Tachyglossus_aculeatus_setosus, {{100, 0.01}}
Hemiechinus_azurites, {{97, 0.0}, {3, 0.01}}
Vulpes_vulpes, {{100, 0.0}}
Tremarctos_ornatus, {{100, 0.61}}
Basilosaurus, {{100, 1.0}}
Giraffa_camelopardalis, {{100, 0.0}}
Aepyceros_melampus, {{38, 0.06}, {62, 0.05}}
Baryonyx.1, {{100, 0.99}}
Spinosaurus.3, {{79, 0.99}, {21, 1.0}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.99}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Atlantisia_rogersi, {{30, 0.28}, {70, 0.27}}
Strigiops_habroptilus, {{100, 0.01}}
Orycteropus_afer, {{100, 0.0}}
Galagoides_demidovii, {{100, 0.0}}
Myocastor_coypus, {{99, 0.01}, {1, 0.02}}
Diplomesodon_pulchellum, {{89, 0.24}, {11, 0.23}}
Taxidea_taxus, {{95, 0.06}, {5, 0.05}}
Rangifer_tarandus, {{93, 0.24}, {7, 0.23}}
Bison_bonasus, {{100, 0.0}}
Ceresiosaurus, {{100, 1.0}}
Baryonyx.1, {{100, 1.0}}
Spinosaurus.3, {{100, 1.0}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 1.0}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Spheniscus_humboldti, {{100, 0.99}}
Perameles_nasuta, {{21, 0.03}, {79, 0.02}}
Procavia_capensis, {{100, 0.0}}
Paleoparadoxia_sp, {{100, 1.0}}
Cercopithecus_mona, {{100, 0.0}}
Arvicola_amphibius, {{100, 0.0}}
Rattus_rattus, {{1, 0.07}, {99, 0.08}}
Noemys_fodies, {{100, 0.7}}
Tapirus_terrestris, {{100, 0.66}}
Carentonosaurus_mineaui, {{100, 1.0}}
Baryonyx.1, {{100, 0.99}}
Spinosaurus.3, {{100, 0.99}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.99}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Didelphis_sp., {{100, 0.0}}
Dasyurus_maculatus, {{91, 0.28}, {9, 0.27}}
Microgale_thomasi, {{100, 0.04}}
Myoprocta_pratti, {{100, 0.0}}
Euroscaptor_micrura, {{17, 0.09}, {83, 0.08}}
Enhydra_lutris, {{100, 1.0}}
Mustela_nivalis, {{22, 0.2}, {78, 0.19}}
Tapirus_indicus, {{100, 0.0}}
Nothosaurus_sp., {{100, 1.0}}
Baryonyx.1, {{80, 0.98}, {20, 0.99}}
Spinosaurus.3, {{100, 0.99}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.98}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Struthio_camelus, {{100, 0.04}}
Casuarius_casuarius, {{11, 0.04}, {89, 0.05}}
Eudyptes_chrysocome, {{100, 0.97}}
Rhynchocyon_petersi, {{100, 0.12}}
Lepus_europaeus, {{90, 0.17}, {10, 0.16}}
Dasyprocta__punctata, {{100, 0.0}}
Genetta_genetta, {{100, 0.03}}
Hemitragus_jayakari, {{100, 0.02}}
Crocodylus_sp., {{100, 1.0}}
Baryonyx.1, {{1, 0.99}, {99, 1.0}}
Spinosaurus.3, {{100, 1.0}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{96, 0.99}, {4, 1.0}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Ornithorhynchus_anatinus, {{100, 1.0}}
Dugong_dugon, {{100, 1.0}}
Gorilla_gorilla, {{100, 0.0}}
Apodemus_sp., {{100, 0.01}}
Crocidura_russula, {{44, 0.01}, {56, 0.02}}
Lutra_vulgaris, {{100, 0.99}}
Hippopotamus_amphibius, {{24, 0.92}, {76, 0.91}}
Dorudon, {{100, 1.0}}
Baryonyx.1, {{100, 1.0}}
Spinosaurus.3, {{100, 1.0}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 1.0}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Zaglossus_bruijni, {{100, 0.0}}
Monodelphis_domestica, {{100, 0.01}}
Sciurus_vulgaris, {{100, 0.0}}
Galemys_pyrenaicus, {{100, 0.0}}
Martes_foina, {{8, 0.0}, {92, 0.01}}
Equus_caballus, {{45, 0.04}, {55, 0.05}}
Rodhocetus, {{100, 1.0}}
Cervus_elaphus_canadensis, {{100, 0.0}}
Capreolus_capreolus, {{100, 0.0}}
Baryonyx.1, {{100, 1.0}}
Spinosaurus.3, {{100, 1.0}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 1.0}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Apteryx_owenii, {{100, 0.44}}
Phalacrocorax_harris, {{100, 0.98}}
Vombatus_ursinus, {{100, 0.98}}
Ashoroa_laticosta, {{100, 1.0}}
Erinaceus_europaeus, {{100, 0.0}}
Felis_silvestris, {{100, 0.0}}
Neovison_vison, {{8, 0.04}, {92, 0.05}}
Sus_scrofa, {{100, 0.0}}
Capra_aegagrus, {{98, 0.59}, {2, 0.58}}
Neusticosaurus, {{100, 1.0}}
Baryonyx.1, {{100, 0.99}}
Spinosaurus.3, {{40, 0.99}, {60, 1.0}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.99}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Macropus_rufus, {{100, 0.37}}
Panthera_leo_persica, {{100, 0.0}}
Canis_lupus, {{100, 0.01}}
Ursus_spelaeus, {{100, 0.96}}
Nanophoca_vitulinoides, {{100, 1.0}}
Camelus_bactrianus, {{44, 0.04}, {56, 0.05}}
Choeropsis_liberiensis, {{100, 0.45}}
Bison_bison, {{100, 0.07}}
Serpianosaurus, {{100, 1.0}}
Baryonyx.1, {{100, 0.99}}
Spinosaurus.3, {{100, 0.99}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.99}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Choloepus_didactylus, {{100, 0.0}}
Tenrec_ecaudatus, {{100, 0.14}}
Trichechus_manatus, {{100, 1.0}}
Castor_fiber, {{100, 0.98}}
Hydromys_chrysogaster, {{25, 0.92}, {75, 0.91}}
Desmana_moschata, {{100, 0.97}}
Martes_martes, {{100, 0.02}}
Ovis_aries, {{100, 0.02}}
