Carentonosaurus_mineaui, {{100, {{54, 6, 4, 27}, 1.0}}}
Baryonyx.1, {{77, {{54, 6, 4, 27}, 0.99}}, {23, {{54, 6, 4, 27}, 1.0}}}
Spinosaurus.3, {{2, {{54, 6, 4, 27}, 0.99}}, {98, {{54, 6, 4, 27}, 1.0}}}
Spinosaurus.2, {{100, {{54, 6, 4, 27}, 1.0}}}
Spinosaurus.1, {{100, {{54, 6, 4, 27}, 0.99}}}
Baryonyx, {{100, {{54, 6, 4, 27}, 1.0}}}
Spinosaurus, {{100, {{54, 6, 4, 27}, 1.0}}}
Baryonyx.1, {{100, {{53, 6, 4, 28}, 0.99}}}
Spinosaurus.3, {{48, {{53, 6, 4, 28}, 1.0}}, {52, {{53, 6, 4, 28}, 0.99}}}
Spinosaurus.2, {{100, {{53, 6, 4, 28}, 1.0}}}
Spinosaurus.1, {{100, {{53, 6, 4, 28}, 0.99}}}
Baryonyx, {{100, {{53, 6, 4, 28}, 1.0}}}
Spinosaurus, {{100, {{53, 6, 4, 28}, 1.0}}}
Zaglossus_bruijni, {{100, {{53, 6, 4, 28}, 0.0}}}
Baryonyx.1, {{100, {{53, 6, 4, 28}, 0.99}}}
Spinosaurus.3, {{71, {{53, 6, 4, 28}, 1.0}}, {29, {{53, 6, 4, 28}, 0.99}}}
Spinosaurus.2, {{100, {{53, 6, 4, 28}, 1.0}}}
Spinosaurus.1, {{100, {{53, 6, 4, 28}, 0.99}}}
Baryonyx, {{100, {{53, 6, 4, 28}, 1.0}}}
Spinosaurus, {{100, {{53, 6, 4, 28}, 1.0}}}
Perameles_nasuta, {{42, {{53, 6, 4, 28}, 0.04}}, {58, {{53, 6, 4, 28}, 0.05}}}
Baryonyx.1, {{100, {{53, 6, 4, 28}, 0.99}}}
Spinosaurus.3, {{59, {{53, 6, 4, 28}, 1.0}}, {41, {{53, 6, 4, 28}, 0.99}}}
Spinosaurus.2, {{100, {{53, 6, 4, 28}, 1.0}}}
Spinosaurus.1, {{100, {{53, 6, 4, 28}, 0.99}}}
Baryonyx, {{100, {{53, 6, 4, 28}, 1.0}}}
Spinosaurus, {{100, {{53, 6, 4, 28}, 1.0}}}
Didelphis_sp., {{100, {{53, 6, 4, 28}, 0.0}}}
Baryonyx.1, {{98, {{53, 6, 4, 28}, 1.0}}, {2, {{53, 6, 4, 28}, 0.99}}}
Spinosaurus.3, {{100, {{53, 6, 4, 28}, 1.0}}}
Spinosaurus.2, {{100, {{53, 6, 4, 28}, 1.0}}}
Spinosaurus.1, {{100, {{53, 6, 4, 28}, 0.99}}}
Baryonyx, {{100, {{53, 6, 4, 28}, 1.0}}}
Spinosaurus, {{100, {{53, 6, 4, 28}, 1.0}}}
Macropus_rufus, {{84, {{53, 6, 4, 28}, 0.31}}, {16, {{53, 6, 4, 28}, 0.3}}}
Baryonyx.1, {{100, {{54, 6, 3, 28}, 1.0}}}
Spinosaurus.3, {{100, {{54, 6, 3, 28}, 1.0}}}
Spinosaurus.2, {{100, {{54, 6, 3, 28}, 1.0}}}
Spinosaurus.1, {{97, {{54, 6, 3, 28}, 1.0}}, {3, {{54, 6, 3, 28}, 0.99}}}
Baryonyx, {{100, {{54, 6, 3, 28}, 1.0}}}
Spinosaurus, {{100, {{54, 6, 3, 28}, 1.0}}}
Vombatus_ursinus, {{100, {{54, 6, 3, 28}, 0.97}}}
Baryonyx.1, {{100, {{54, 6, 4, 27}, 1.0}}}
Spinosaurus.3, {{100, {{54, 6, 4, 27}, 1.0}}}
Spinosaurus.2, {{100, {{54, 6, 4, 27}, 1.0}}}
Spinosaurus.1, {{99, {{54, 6, 4, 27}, 0.99}}, {1, {{54, 6, 4, 27}, 1.0}}}
Baryonyx, {{100, {{54, 6, 4, 27}, 1.0}}}
Spinosaurus, {{100, {{54, 6, 4, 27}, 1.0}}}
Dugong_dugon, {{100, {{54, 6, 4, 27}, 1.0}}}
Baryonyx.1, {{100, {{53, 6, 4, 28}, 0.99}}}
Spinosaurus.3, {{47, {{53, 6, 4, 28}, 1.0}}, {53, {{53, 6, 4, 28}, 0.99}}}
Spinosaurus.2, {{100, {{53, 6, 4, 28}, 1.0}}}
Spinosaurus.1, {{100, {{53, 6, 4, 28}, 0.99}}}
Baryonyx, {{100, {{53, 6, 4, 28}, 1.0}}}
Spinosaurus, {{100, {{53, 6, 4, 28}, 1.0}}}
Choloepus_didactylus, {{100, {{53, 6, 4, 28}, 0.0}}}
Baryonyx.1, {{100, {{53, 6, 4, 28}, 0.99}}}
Spinosaurus.3, {{84, {{53, 6, 4, 28}, 1.0}}, {16, {{53, 6, 4, 28}, 0.99}}}
Spinosaurus.2, {{100, {{53, 6, 4, 28}, 1.0}}}
Spinosaurus.1, {{100, {{53, 6, 4, 28}, 0.99}}}
Baryonyx, {{100, {{53, 6, 4, 28}, 1.0}}}
Spinosaurus, {{100, {{53, 6, 4, 28}, 1.0}}}
Galagoides_demidovii, {{100, {{53, 6, 4, 28}, 0.0}}}
Baryonyx.1, {{100, {{53, 6, 4, 28}, 0.99}}}
Spinosaurus.3, {{53, {{53, 6, 4, 28}, 1.0}}, {47, {{53, 6, 4, 28}, 0.99}}}
Spinosaurus.2, {{100, {{53, 6, 4, 28}, 1.0}}}
Spinosaurus.1, {{100, {{53, 6, 4, 28}, 0.99}}}
Baryonyx, {{100, {{53, 6, 4, 28}, 1.0}}}
Spinosaurus, {{100, {{53, 6, 4, 28}, 1.0}}}
Cercopithecus_mona, {{100, {{53, 6, 4, 28}, 0.0}}}
Baryonyx.1, {{100, {{53, 6, 4, 28}, 0.99}}}
Spinosaurus.3, {{28, {{53, 6, 4, 28}, 1.0}}, {72, {{53, 6, 4, 28}, 0.99}}}
Spinosaurus.2, {{100, {{53, 6, 4, 28}, 1.0}}}
Spinosaurus.1, {{100, {{53, 6, 4, 28}, 0.99}}}
Baryonyx, {{100, {{53, 6, 4, 28}, 1.0}}}
Spinosaurus, {{100, {{53, 6, 4, 28}, 1.0}}}
Gorilla_gorilla, {{100, {{53, 6, 4, 28}, 0.0}}}
Crocodylus_sp., {{100, {{54, 6, 4, 27}, 1.0}}}
Baryonyx.1, {{2, {{54, 6, 4, 27}, 0.99}}, {98, {{54, 6, 4, 27}, 1.0}}}
Spinosaurus.3, {{100, {{54, 6, 4, 27}, 1.0}}}
Spinosaurus.2, {{100, {{54, 6, 4, 27}, 1.0}}}
Spinosaurus.1, {{100, {{54, 6, 4, 27}, 0.99}}}
Baryonyx, {{100, {{54, 6, 4, 27}, 1.0}}}
