Carentonosaurus_mineaui, {{100, 1.0}}
Baryonyx.1, {{77, 0.99}, {23, 1.0}}
Spinosaurus.3, {{2, 0.99}, {98, 1.0}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.99}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Baryonyx.1, {{100, 0.99}}
Spinosaurus.3, {{52, 0.99}, {48, 1.0}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.99}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Zaglossus_bruijni, {{100, 0.0}}
Baryonyx.1, {{100, 0.99}}
Spinosaurus.3, {{29, 0.99}, {71, 1.0}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.99}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Perameles_nasuta, {{42, 0.04}, {58, 0.05}}
Baryonyx.1, {{100, 0.99}}
Spinosaurus.3, {{41, 0.99}, {59, 1.0}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.99}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Didelphis_sp., {{100, 0.0}}
Baryonyx.1, {{2, 0.99}, {98, 1.0}}
Spinosaurus.3, {{100, 1.0}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.99}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Macropus_rufus, {{16, 0.3}, {84, 0.31}}
Baryonyx.1, {{100, 1.0}}
Spinosaurus.3, {{100, 1.0}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{3, 0.99}, {97, 1.0}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Vombatus_ursinus, {{100, 0.97}}
Baryonyx.1, {{100, 1.0}}
Spinosaurus.3, {{100, 1.0}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{99, 0.99}, {1, 1.0}}
Baryonyx, {{100, 1.0}}
