Monodelphis_domestica, {{9, {{88, 4, 9, 43}, 0.95}}, {91, {{88, 4, 9, 43}, 0.94}}}
Microgale_thomasi, {{100, {{88, 4, 9, 43}, 0.0}}}
Rattus_rattus, {{100, {{88, 4, 9, 43}, 0.0}}}
Paguma_larvata, {{47, {{88, 4, 9, 43}, 0.04}}, {53, {{88, 4, 9, 43}, 0.03}}}
Okapia_johnstoni, {{100, {{88, 4, 9, 43}, 0.01}}}
Rangifer_tarandus, {{100, {{88, 4, 9, 43}, 0.0}}}
Champsosaurus, {{100, {{88, 4, 9, 43}, 1.0}}}
Pistosaurus, {{100, {{88, 4, 9, 43}, 1.0}}}
Spinosaurus_.11, {{13, {{88, 4, 9, 43}, 0.14}}, {24, {{88, 4, 9, 43}, 0.11}}, {18, {{88, 4, 9, 43}, 0.13}}, {4, {{88, 4, 9, 43}, 0.09}}, {22, {{88, 4, 9, 43}, 0.1}}, {19, {{88, 4, 9, 43}, 0.12}}}
Spinosaurus_.10, {{1, {{88, 4, 9, 43}, 0.14}}, {13, {{88, 4, 9, 43}, 0.16}}, {16, {{88, 4, 9, 43}, 0.19}}, {19, {{88, 4, 9, 43}, 0.17}}, {3, {{88, 4, 9, 43}, 0.22}}, {2, {{88, 4, 9, 43}, 0.23}}, {8, {{88, 4, 9, 43}, 0.18}}, {24, {{88, 4, 9, 43}, 0.2}}, {2, {{88, 4, 9, 43}, 0.15}}, {12, {{88, 4, 9, 43}, 0.21}}}
Spinosaurus_.9, {{100, {{88, 4, 9, 43}, 1.0}}}
Spinosaurus_.8, {{100, {{88, 4, 9, 43}, 1.0}}}
Spinosaurus_.7, {{100, {{88, 4, 9, 43}, 1.0}}}
Spinosaurus_.6, {{42, {{88, 4, 9, 43}, 0.99}}, {58, {{88, 4, 9, 43}, 0.98}}}
Spinosaurus_.5, {{100, {{88, 4, 9, 43}, 1.0}}}
Spinosaurus_.4, {{100, {{88, 4, 9, 43}, 1.0}}}
Spinosaurus_.3, {{100, {{88, 4, 9, 43}, 1.0}}}
Spinosaurus_.2, {{100, {{88, 4, 9, 43}, 1.0}}}
Spinosaurus_.1, {{86, {{88, 4, 9, 43}, 0.99}}, {14, {{88, 4, 9, 43}, 0.98}}}
Spinosaurus_, {{100, {{88, 4, 9, 43}, 1.0}}}
Baryonyx.3, {{14, {{88, 4, 9, 43}, 0.93}}, {78, {{88, 4, 9, 43}, 0.92}}, {8, {{88, 4, 9, 43}, 0.91}}}
Baryonyx.2, {{100, {{88, 4, 9, 43}, 1.0}}}
Baryonyx.1, {{100, {{88, 4, 9, 43}, 1.0}}}
Suchomimus.3, {{100, {{88, 4, 9, 43}, 0.0}}}
Suchomimus.2, {{17, {{88, 4, 9, 43}, 0.07}}, {1, {{88, 4, 9, 43}, 0.08}}, {14, {{88, 4, 9, 43}, 0.05}}, {68, {{88, 4, 9, 43}, 0.06}}}
Suchomimus.1, {{100, {{88, 4, 9, 43}, 0.0}}}
Suchomimus, {{43, {{88, 4, 9, 43}, 0.07}}, {5, {{88, 4, 9, 43}, 0.08}}, {1, {{88, 4, 9, 43}, 0.05}}, {51, {{88, 4, 9, 43}, 0.06}}}
Baryonyx, {{100, {{88, 4, 9, 43}, 1.0}}}
Allosaurus_, {{100, {{88, 4, 9, 43}, 0.0}}}
Gallus_domesticus, {{100, {{88, 4, 9, 43}, 0.0}}}
Columba_, {{100, {{88, 4, 9, 43}, 0.0}}}
Goura_cristata, {{100, {{88, 4, 9, 43}, 0.0}}}
Podica_senegalensis, {{100, {{88, 4, 9, 43}, 0.0}}}
Trybonix_ventralis, {{100, {{88, 4, 9, 43}, 0.0}}}
