Tenrec_ecaudatus, {{33, 0.98}, {67, 0.99}}
Mustela_nivalis, {{66, 0.03}, {34, 0.04}}
Procyon_lotor, {{35, 0.04}, {65, 0.05}}
Felis_felis, {{100, 0.0}}
Lama_guanicoe, {{100, 0.0}}
Sus_scrofa, {{100, 0.0}}
Rodhocetus, {{100, 1.0}}
Cephalophus_silvicultor, {{100, 0.02}}
Placondontia_indet, {{100, 1.0}}
Nothosaurus_giganteus, {{25, 0.92}, {5, 0.94}, {70, 0.93}}
Ramphorynchus, {{67, 0.1}, {1, 0.12}, {14, 0.09}, {18, 0.11}}
Dysalotosaurus, {{38, 0.85}, {48, 0.86}, {8, 0.84}, {6, 0.87}}
Spinosaurus_.11, {{6, 0.15}, {23, 0.12}, {19, 0.11}, {18, 0.13}, {15, 0.1}, {19, 0.14}}
Spinosaurus_.10, {{10, 0.22}, {17, 0.18}, {21, 0.2}, {3, 0.24}, {10, 0.17}, {6, 0.16}, {9, 0.23}, {14, 0.21}, {10, 0.19}}
Spinosaurus_.9, {{100, 1.0}}
Spinosaurus_.8, {{100, 1.0}}
Spinosaurus_.7, {{100, 1.0}}
Spinosaurus_.6, {{79, 0.98}, {21, 0.99}}
Spinosaurus_.5, {{100, 1.0}}
Spinosaurus_.4, {{100, 1.0}}
Spinosaurus_.3, {{100, 1.0}}
Spinosaurus_.2, {{100, 1.0}}
Spinosaurus_.1, {{12, 0.98}, {88, 0.99}}
Spinosaurus_, {{100, 1.0}}
Baryonyx.3, {{41, 0.92}, {52, 0.91}, {7, 0.9}}
Baryonyx.2, {{100, 1.0}}
Baryonyx.1, {{100, 1.0}}
Suchomimus.3, {{100, 0.0}}
Suchomimus.2, {{8, 0.07}, {64, 0.06}, {28, 0.05}}
Suchomimus.1, {{100, 0.0}}
Suchomimus, {{43, 0.07}, {51, 0.06}, {5, 0.05}, {1, 0.08}}
Baryonyx, {{100, 1.0}}
Allosaurus_, {{100, 0.0}}
Tinamou, {{100, 0.0}}
Columba_, {{100, 0.0}}
Goura_cristata, {{100, 0.0}}
Small_Eocene_penguin, {{100, 1.0}}
Remingtonocetus, {{4, 0.81}, {21, 0.83}, {75, 0.82}}
Capreolus_capreolus, {{100, 0.0}}
Rhaeticosaurus, {{100, 1.0}}
Nothosaurus_568, {{100, 1.0}}
Nothosaurus_150, {{100, 1.0}}
Pogona_viceps, {{100, 0.0}}
Caiman_yacare, {{100, 1.0}}
Pterosaur_Tremp, {{100, 0.0}}
Spinosaurus_.11, {{15, 0.15}, {14, 0.18}, {1, 0.2}, {14, 0.17}, {17, 0.16}, {1, 0.12}, {10, 0.13}, {13, 0.14}, {15, 0.19}}
Spinosaurus_.10, {{10, 0.26}, {12, 0.25}, {4, 0.28}, {11, 0.22}, {10, 0.2}, {1, 0.18}, {7, 0.27}, {14, 0.21}, {7, 0.19}, {10, 0.24}, {14, 0.23}}
Spinosaurus_.9, {{100, 1.0}}
Spinosaurus_.8, {{100, 1.0}}
Spinosaurus_.7, {{31, 0.99}, {69, 1.0}}
Spinosaurus_.6, {{35, 0.96}, {65, 0.97}}
Spinosaurus_.5, {{100, 1.0}}
Spinosaurus_.4, {{100, 1.0}}
Spinosaurus_.3, {{100, 1.0}}
Spinosaurus_.2, {{13, 0.99}, {87, 1.0}}
Spinosaurus_.1, {{3, 0.98}, {21, 0.96}, {76, 0.97}}
Spinosaurus_, {{100, 1.0}}
Baryonyx.3, {{26, 0.88}, {15, 0.9}, {56, 0.89}, {3, 0.87}}
Baryonyx.2, {{100, 0.99}}
Baryonyx.1, {{100, 1.0}}
Suchomimus.3, {{100, 0.01}}
Suchomimus.2, {{40, 0.12}, {37, 0.11}, {10, 0.1}, {13, 0.13}}
Suchomimus.1, {{100, 0.01}}
Suchomimus, {{42, 0.12}, {24, 0.11}, {26, 0.13}, {5, 0.1}, {3, 0.14}}
Baryonyx, {{100, 1.0}}
Australovenator, {{100, 0.0}}
Chauna_chavaria, {{100, 0.0}}
Cygnus_olor, {{100, 0.02}}
Porphyrio_hochstetteri, {{100, 0.0}}
Porzana_carolina, {{100, 0.0}}
Nestor_notabilis, {{100, 0.0}}
Fregata_aquila, {{100, 0.0}}
