Spinosaurus_.11, {{4, {{98, 5, 12, 46}, 0.24}}, {20, {{98, 5, 12, 46}, 0.2}}, {1, {{99, 5, 11, 46}, 0.22}}, {1, {{99, 5, 11, 46}, 0.18}}, {15, {{98, 5, 12, 46}, 0.21}}, {2, {{98, 5, 12, 46}, 0.16}}, {13, {{98, 5, 12, 46}, 0.19}}, {8, {{98, 5, 12, 46}, 0.17}}, {14, {{98, 5, 12, 46}, 0.22}}, {9, {{98, 5, 12, 46}, 0.23}}, {13, {{98, 5, 12, 46}, 0.18}}}
Spinosaurus_.10, {{1, {{99, 5, 11, 46}, 0.3}}, {10, {{98, 5, 12, 46}, 0.24}}, {12, {{98, 5, 12, 46}, 0.25}}, {1, {{99, 5, 11, 46}, 0.32}}, {11, {{98, 5, 12, 46}, 0.29}}, {15, {{98, 5, 12, 46}, 0.27}}, {4, {{98, 5, 12, 46}, 0.31}}, {10, {{98, 5, 12, 46}, 0.3}}, {14, {{98, 5, 12, 46}, 0.26}}, {2, {{98, 5, 12, 46}, 0.22}}, {4, {{98, 5, 12, 46}, 0.23}}, {2, {{98, 5, 12, 46}, 0.32}}, {14, {{98, 5, 12, 46}, 0.28}}}
Spinosaurus_.9, {{98, {{98, 5, 12, 46}, 1.0}}, {2, {{99, 5, 11, 46}, 1.0}}}
Spinosaurus_.8, {{98, {{98, 5, 12, 46}, 1.0}}, {2, {{99, 5, 11, 46}, 1.0}}}
Spinosaurus_.7, {{2, {{99, 5, 11, 46}, 0.99}}, {98, {{98, 5, 12, 46}, 0.99}}}
Spinosaurus_.6, {{29, {{98, 5, 12, 46}, 0.96}}, {52, {{98, 5, 12, 46}, 0.95}}, {2, {{99, 5, 11, 46}, 0.96}}, {17, {{98, 5, 12, 46}, 0.94}}}
Spinosaurus_.5, {{98, {{98, 5, 12, 46}, 1.0}}, {2, {{99, 5, 11, 46}, 1.0}}}
Spinosaurus_.4, {{98, {{98, 5, 12, 46}, 1.0}}, {2, {{99, 5, 11, 46}, 1.0}}}
Spinosaurus_.3, {{98, {{98, 5, 12, 46}, 1.0}}, {2, {{99, 5, 11, 46}, 1.0}}}
Spinosaurus_.2, {{2, {{99, 5, 11, 46}, 0.99}}, {98, {{98, 5, 12, 46}, 0.99}}}
Spinosaurus_.1, {{56, {{98, 5, 12, 46}, 0.96}}, {41, {{98, 5, 12, 46}, 0.95}}, {2, {{99, 5, 11, 46}, 0.96}}, {1, {{98, 5, 12, 46}, 0.94}}}
Spinosaurus_, {{98, {{98, 5, 12, 46}, 1.0}}, {2, {{99, 5, 11, 46}, 1.0}}}
Baryonyx.3, {{7, {{98, 5, 12, 46}, 0.85}}, {33, {{98, 5, 12, 46}, 0.86}}, {2, {{99, 5, 11, 46}, 0.87}}, {6, {{98, 5, 12, 46}, 0.88}}, {52, {{98, 5, 12, 46}, 0.87}}}
Baryonyx.2, {{2, {{99, 5, 11, 46}, 0.99}}, {98, {{98, 5, 12, 46}, 0.99}}}
Baryonyx.1, {{98, {{98, 5, 12, 46}, 1.0}}, {2, {{99, 5, 11, 46}, 1.0}}}
Suchomimus.3, {{2, {{99, 5, 11, 46}, 0.02}}, {98, {{98, 5, 12, 46}, 0.02}}}
Suchomimus.2, {{1, {{99, 5, 11, 46}, 0.16}}, {38, {{98, 5, 12, 46}, 0.15}}, {26, {{98, 5, 12, 46}, 0.14}}, {27, {{98, 5, 12, 46}, 0.16}}, {1, {{98, 5, 12, 46}, 0.13}}, {1, {{99, 5, 11, 46}, 0.15}}, {6, {{98, 5, 12, 46}, 0.17}}}
Suchomimus.1, {{2, {{99, 5, 11, 46}, 0.02}}, {98, {{98, 5, 12, 46}, 0.02}}}
Suchomimus, {{1, {{99, 5, 11, 46}, 0.16}}, {1, {{99, 5, 11, 46}, 0.17}}, {36, {{98, 5, 12, 46}, 0.15}}, {14, {{98, 5, 12, 46}, 0.14}}, {31, {{98, 5, 12, 46}, 0.16}}, {14, {{98, 5, 12, 46}, 0.17}}, {3, {{98, 5, 12, 46}, 0.18}}}
Baryonyx, {{98, {{98, 5, 12, 46}, 1.0}}, {2, {{99, 5, 11, 46}, 1.0}}}
