Neusticosaurus, {{100, {{84, 5, 8, 25}, 1.0}}}
Saltriovenator, {{59, {{84, 5, 8, 25}, 0.75}}, {14, {{84, 5, 8, 25}, 0.74}}, {27, {{84, 5, 8, 25}, 0.76}}}
Baryonyx.1, {{100, {{84, 5, 8, 25}, 0.99}}}
Spinosaurus.3, {{4, {{84, 5, 8, 25}, 1.0}}, {96, {{84, 5, 8, 25}, 0.99}}}
Spinosaurus.2, {{100, {{84, 5, 8, 25}, 1.0}}}
Spinosaurus.1, {{100, {{84, 5, 8, 25}, 0.99}}}
Baryonyx, {{100, {{84, 5, 8, 25}, 1.0}}}
Spinosaurus, {{100, {{84, 5, 8, 25}, 1.0}}}
Tachyeres_ciconia, {{98, {{84, 5, 8, 25}, 0.92}}, {2, {{84, 5, 8, 25}, 0.93}}}
Sarothrura_rufa, {{86, {{84, 5, 8, 25}, 0.17}}, {14, {{84, 5, 8, 25}, 0.16}}}
Nestor_notabilis, {{67, {{84, 5, 8, 25}, 0.05}}, {33, {{84, 5, 8, 25}, 0.06}}}
Hydromys_chrysogaster, {{25, {{84, 5, 8, 25}, 0.75}}, {75, {{84, 5, 8, 25}, 0.76}}}
Eidolon_helvum, {{100, {{84, 5, 8, 25}, 0.0}}}
Felis_silvestris, {{100, {{84, 5, 8, 25}, 0.04}}}
Ursus_maritimus, {{100, {{84, 5, 8, 25}, 0.02}}}
Taxidea_taxus, {{99, {{84, 5, 8, 25}, 0.19}}, {1, {{84, 5, 8, 25}, 0.18}}}
Lutra_vulgaris, {{97, {{84, 5, 8, 25}, 0.94}}, {3, {{84, 5, 8, 25}, 0.93}}}
Neovison_vison, {{87, {{84, 5, 8, 25}, 0.12}}, {13, {{84, 5, 8, 25}, 0.11}}}
Bison_bison, {{40, {{84, 5, 8, 25}, 0.23}}, {60, {{84, 5, 8, 25}, 0.24}}}
Ovis_aries, {{100, {{84, 5, 8, 25}, 0.07}}}
Baryonyx.1, {{100, {{83, 5, 8, 27}, 0.99}}}
Spinosaurus.3, {{100, {{83, 5, 8, 27}, 0.99}}}
Spinosaurus.2, {{100, {{83, 5, 8, 27}, 1.0}}}
Spinosaurus.1, {{100, {{83, 5, 8, 27}, 0.99}}}
Baryonyx, {{100, {{83, 5, 8, 27}, 1.0}}}
