Carentonosaurus_mineaui, {{100, 1.0}}
Baryonyx.1, {{100, 0.99}}
Spinosaurus.3, {{100, 0.99}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.98}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Struthio_camelus, {{100, 0.03}}
Anser_fabalis, {{83, 0.06}, {17, 0.05}}
Xenicus_longipes, {{41, 0.26}, {59, 0.27}}
Fulmarus_glacialis, {{100, 0.0}}
Pelecanus_sp., {{100, 0.0}}
Perameles_nasuta, {{99, 0.07}, {1, 0.06}}
Erinaceus_europaeus, {{100, 0.01}}
Pteropus_giganteus, {{100, 0.0}}
Tapirus_indicus, {{32, 0.01}, {68, 0.02}}
Cervus_elaphus_canadensis, {{100, 0.0}}
Bison_bonasus, {{100, 0.0}}
Aepyceros_melampus, {{82, 0.09}, {18, 0.08}}
Hemitragus_jayakari, {{96, 0.01}, {4, 0.02}}
Baryonyx.1, {{100, 0.99}}
Spinosaurus.3, {{99, 0.99}, {1, 1.0}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.99}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Apteryx_owenii, {{72, 0.37}, {28, 0.38}}
Porphyrio_poliocephalus, {{26, 0.03}, {74, 0.02}}
Tribonyx_ventralis, {{100, 0.67}}
Turdus_olivater, {{99, 0.78}, {1, 0.79}}
Aptenodytes_patagonicus, {{100, 0.63}}
Eudyptes_chrysocome, {{100, 0.97}}
Morus_bassanus, {{100, 0.0}}
Ardea_cinerea, {{100, 0.0}}
Microgale_thomasi, {{48, 0.03}, {52, 0.02}}
Gorilla_gorilla, {{100, 0.0}}
Arvicola_amphibius, {{100, 0.0}}
Rousettus_aegyptiacus, {{100, 0.0}}
Canis_lupus, {{100, 0.01}}
Baryonyx.1, {{100, 0.99}}
Spinosaurus.3, {{100, 0.99}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.99}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Casuarius_casuarius, {{49, 0.09}, {51, 0.08}}
Otis_tarda, {{100, 0.0}}
Psophia_crepitans, {{99, 0.04}, {1, 0.03}}
Atlantisia_rogersi, {{15, 0.22}, {85, 0.23}}
Larus_argentatus, {{100, 0.0}}
Tenrec_ecaudatus, {{15, 0.15}, {85, 0.16}}
Dugong_dugon, {{100, 1.0}}
Paleoparadoxia_sp, {{100, 1.0}}
Lepus_europaeus, {{88, 0.18}, {12, 0.17}}
Hemiechinus_azurites, {{100, 0.02}}
Neovison_vison, {{80, 0.13}, {20, 0.14}}
Equus_caballus, {{25, 0.28}, {1, 0.26}, {74, 0.27}}
Camelus_bactrianus, {{6, 0.13}, {94, 0.14}}
Bison_bison, {{58, 0.18}, {42, 0.17}}
Ceresiosaurus, {{100, 1.0}}
Baryonyx.1, {{100, 0.98}}
Spinosaurus.3, {{100, 0.98}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{54, 0.98}, {46, 0.97}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Chaunia_chavaria, {{65, 0.09}, {35, 0.08}}
Cygnus_olor, {{23, 0.5}, {77, 0.49}}
Goura_cristata, {{100, 0.01}}
Aramus_guarana, {{24, 0.24}, {76, 0.23}}
Phaenicopterus_roseus, {{55, 0.36}, {45, 0.35}}
Ornithorhynchus_anatinus, {{100, 0.96}}
Monodelphis_domestica, {{23, 0.09}, {77, 0.08}}
Macropus_rufus, {{79, 0.45}, {21, 0.44}}
Euroscaptor_micrura, {{9, 0.13}, {91, 0.14}}
Mustela_nivalis, {{21, 0.2}, {79, 0.21}}
Sus_scrofa, {{93, 0.01}, {7, 0.02}}
Choeropsis_liberiensis, {{100, 0.51}}
Rangifer_tarandus, {{66, 0.49}, {34, 0.48}}
Neusticosaurus, {{100, 1.0}}
Baryonyx.1, {{36, 0.98}, {64, 0.97}}
Spinosaurus.3, {{74, 0.98}, {26, 0.97}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.97}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Melanitta_nigra, {{100, 0.17}}
Dendrocopos_major, {{80, 0.15}, {20, 0.14}}
Glareola_pratincula, {{87, 0.43}, {13, 0.42}}
Zaglossus_bruijni, {{100, 0.01}}
Dasyurus_maculatus, {{100, 0.41}}
Choloepus_didactylus, {{13, 0.03}, {87, 0.04}}
Trichechus_manatus, {{100, 1.0}}
Ashoroa_laticosta, {{45, 0.98}, {55, 0.99}}
Myoprocta_pratti, {{100, 0.01}}
Rattus_rattus, {{1, 0.26}, {99, 0.27}}
Eidolon_helvum, {{100, 0.0}}
Ursus_maritimus, {{98, 0.03}, {2, 0.02}}
Martes_martes, {{100, 0.07}}
Crocodylus_sp., {{100, 0.99}}
Crocodylus_niloticus, {{97, 0.99}, {3, 1.0}}
Baryonyx.1, {{64, 0.98}, {36, 0.99}}
Spinosaurus.3, {{34, 0.98}, {66, 0.99}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.98}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Dacelo_novaeguineae, {{100, 0.01}}
Phaeton_aethereus, {{36, 0.2}, {64, 0.19}}
Galagoides_demidovii, {{100, 0.0}}
Cercopithecus_mona, {{100, 0.0}}
Dasyprocta__punctata, {{100, 0.01}}
Diplomesodon_pulchellum, {{53, 0.24}, {47, 0.23}}
Panthera_leo_persica, {{100, 0.01}}
Tremarctos_ornatus, {{100, 0.63}}
Martes_foina, {{54, 0.07}, {46, 0.08}}
Basilosaurus, {{100, 1.0}}
Dorudon, {{100, 1.0}}
Giraffa_camelopardalis, {{100, 0.02}}
Baryonyx.1, {{100, 1.0}}
Spinosaurus.3, {{100, 1.0}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 1.0}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Charcarodontosaurid, {{100, 0.98}}
Lourinhanosaurus, {{1, 0.03}, {99, 0.02}}
Crypturellus_tataupa, {{100, 0.03}}
Tachyeres_ciconia, {{100, 0.96}}
Spheniscus_humboldti, {{25, 0.98}, {75, 0.99}}
Rhynchocyon_petersi, {{5, 0.04}, {95, 0.05}}
Hydromys_chrysogaster, {{100, 0.84}}
Crocidura_russula, {{5, 0.0}, {95, 0.01}}
Pipistrellus_pipistrellus, {{100, 0.0}}
Ursus_spelaeus, {{100, 0.97}}
Enhydra_lutris, {{100, 0.99}}
Lutra_vulgaris, {{100, 0.97}}
Hippopotamus_amphibius, {{81, 0.96}, {19, 0.97}}
Capreolus_capreolus, {{100, 0.0}}
Serpianosaurus, {{100, 1.0}}
Baryonyx.1, {{100, 0.98}}
Spinosaurus.3, {{100, 0.98}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.97}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Anseranas_semipalmata, {{100, 0.45}}
Anas_discors, {{100, 0.03}}
