Baryonyx.1, {{100, 0.99}}
Spinosaurus.3, {{100, 0.99}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{84, 0.98}, {16, 0.99}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Apteryx_owenii, {{33, 0.47}, {67, 0.46}}
Crypturellus_tataupa, {{2, 0.07}, {98, 0.08}}
Tribonyx_ventralis, {{100, 0.73}}
Nestor_notabilis, {{18, 0.06}, {82, 0.05}}
Xenicus_longipes, {{19, 0.32}, {81, 0.31}}
Tachyglossus_aculeatus_setosus, {{1, 0.03}, {99, 0.02}}
Orycteropus_afer, {{100, 0.0}}
Microgale_thomasi, {{100, 0.06}}
Myocastor_coypus, {{33, 0.04}, {67, 0.05}}
Rattus_rattus, {{15, 0.2}, {85, 0.21}}
Hydromys_chrysogaster, {{96, 0.9}, {4, 0.89}}
Diplomesodon_pulchellum, {{91, 0.24}, {7, 0.23}, {2, 0.25}}
Dorudon, {{100, 1.0}}
Capreolus_capreolus, {{100, 0.0}}
Baryonyx.1, {{99, 0.98}, {1, 0.99}}
Spinosaurus.3, {{92, 0.98}, {8, 0.99}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.98}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Anser_fabalis, {{96, 0.1}, {4, 0.09}}
Goura_cristata, {{100, 0.0}}
Didelphis_sp., {{100, 0.0}}
Perameles_nasuta, {{39, 0.12}, {61, 0.11}}
Choloepus_didactylus, {{100, 0.01}}
Trichechus_manatus, {{100, 1.0}}
Cercopithecus_mona, {{100, 0.0}}
Apodemus_sp., {{78, 0.04}, {22, 0.03}}
Martes_foina, {{5, 0.07}, {95, 0.06}}
Mustela_nivalis, {{83, 0.2}, {17, 0.19}}
Tapirus_indicus, {{98, 0.03}, {2, 0.04}}
Rangifer_tarandus, {{24, 0.45}, {76, 0.44}}
Ovis_aries, {{34, 0.04}, {66, 0.05}}
Baryonyx.1, {{100, 1.0}}
Spinosaurus.3, {{100, 1.0}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.99}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Cygnus_olor, {{44, 0.4}, {56, 0.39}}
Caloenas_nicobarica, {{3, 0.12}, {93, 0.11}, {4, 0.1}}
Podica_senegalensis, {{88, 0.5}, {12, 0.51}}
Porzana_carolina, {{100, 0.0}}
Phalacrocorax_harris, {{100, 0.9}}
Ardea_cinerea, {{100, 0.0}}
Zaglossus_bruijni, {{100, 0.0}}
Paleoparadoxia_sp, {{100, 1.0}}
Arvicola_amphibius, {{100, 0.0}}
Felis_silvestris, {{100, 0.02}}
Ursus_maritimus, {{100, 0.0}}
Lutra_vulgaris, {{100, 0.96}}
Tapirus_terrestris, {{95, 0.68}, {5, 0.69}}
Sus_scrofa, {{100, 0.0}}
Baryonyx.1, {{100, 1.0}}
Spinosaurus.3, {{100, 1.0}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.99}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Charcarodontosaurid, {{100, 0.97}}
Lourinhanosaurus, {{79, 0.03}, {21, 0.02}}
Casuarius_casuarius, {{9, 0.06}, {91, 0.05}}
Psophia_crepitans, {{100, 0.02}}
Sarothrura_rufa, {{27, 0.15}, {73, 0.16}}
Buteo_buteo, {{100, 0.0}}
Procavia_capensis, {{100, 0.01}}
Ashoroa_laticosta, {{100, 1.0}}
