Saltriovenator, {{23, 0.61}, {18, 0.63}, {59, 0.62}}
Baryonyx.1, {{100, 0.99}}
Spinosaurus.3, {{100, 0.99}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.99}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Anser_fabalis, {{34, 0.1}, {66, 0.09}}
Anas_platyrhynchos, {{100, 0.0}}
Caloenas_nicobarica, {{42, 0.18}, {58, 0.19}}
Podica_senegalensis, {{100, 0.61}}
Phaeton_aethereus, {{31, 0.15}, {69, 0.16}}
Spheniscus_humboldti, {{100, 0.98}}
Pelecanus_sp., {{100, 0.0}}
Macropus_rufus, {{93, 0.45}, {6, 0.46}, {1, 0.44}}
Vulpes_vulpes, {{99, 0.0}, {1, 0.01}}
Martes_martes, {{99, 0.03}, {1, 0.02}}
Rodhocetus, {{100, 1.0}}
Basilosaurus, {{100, 1.0}}
Bison_bison, {{87, 0.15}, {11, 0.16}, {2, 0.14}}
Baryonyx.1, {{100, 0.99}}
Spinosaurus.3, {{100, 0.99}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{94, 0.98}, {6, 0.99}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Melanitta_nigra, {{12, 0.07}, {88, 0.08}}
Anas_discors, {{100, 0.01}}
Anas_erythrorhyncha, {{3, 0.18}, {6, 0.2}, {91, 0.19}}
Atlantisia_rogersi, {{87, 0.26}, {1, 0.27}, {12, 0.25}}
Ardea_cinerea, {{100, 0.0}}
Dasyurus_maculatus, {{88, 0.32}, {12, 0.31}}
Trichechus_manatus, {{100, 1.0}}
Sciurus_vulgaris, {{100, 0.03}}
Eidolon_helvum, {{100, 0.0}}
Pipistrellus_pipistrellus, {{100, 0.0}}
Genetta_genetta, {{11, 0.03}, {89, 0.02}}
Martes_foina, {{99, 0.04}, {1, 0.05}}
Tapirus_indicus, {{100, 0.02}}
Baryonyx.1, {{100, 0.99}}
Spinosaurus.3, {{100, 0.99}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.99}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Crypturellus_tataupa, {{3, 0.07}, {97, 0.08}}
Chaunia_chavaria, {{79, 0.04}, {21, 0.05}}
Tachyeres_ciconia, {{100, 0.95}}
Xenicus_longipes, {{2, 0.28}, {11, 0.3}, {87, 0.29}}
Turdus_olivater, {{1, 0.84}, {99, 0.83}}
Phaenicopterus_roseus, {{71, 0.3}, {29, 0.29}}
Glareola_pratincula, {{16, 0.37}, {84, 0.38}}
Paleoparadoxia_sp, {{100, 1.0}}
Dasyprocta__punctata, {{100, 0.0}}
Castor_fiber, {{100, 0.97}}
Crocidura_russula, {{100, 0.03}}
Rousettus_aegyptiacus, {{100, 0.0}}
Tremarctos_ornatus, {{84, 0.61}, {16, 0.62}}
Hemitragus_jayakari, {{100, 0.02}}
Ceresiosaurus, {{100, 1.0}}
Baryonyx.1, {{3, 0.99}, {97, 1.0}}
Spinosaurus.3, {{100, 1.0}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.99}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Charcarodontosaurid, {{100, 0.97}}
Cygnus_olor, {{64, 0.42}, {36, 0.41}}
Aramus_guarana, {{92, 0.12}, {7, 0.11}, {1, 0.13}}
Porphyrio_poliocephalus, {{65, 0.04}, {35, 0.03}}
Strigiops_habroptilus, {{78, 0.03}, {22, 0.02}}
