taxa,Reference ,Specimen,Type of data,AFA,ALA,FAD,LAD,Global compactness,MD (mm),MD log,Flying,Diving,finest.category,diving.or.not
Alca_torda,This study,UMZC187AA,CT scan,39,39,0,0,0.602,3.4,0.531478917,2,2,both,2
Alligator,Klein et al. (2009),SMNS 10481,Thin section,39,39,0,0,0.884,18,1.255272505,0,2,diving,2
Allosaurus_,Bybee et al. (2006),UUVP 2656,Thin section,13,14,157.3,145,0.597,89.498,1.95181333,0,UNKNOWN,none,0
Anarosaurus,Klein (2010),IGWH-24,Thin section,1,1,247.2,242,0.901,10,1,0,2,diving,2
Anas_aucklandica,This study,NHMUK_S_2006.39.1,CT scan,39,39,0,0,0.453,5.16,0.712649702,0,1,none,0
Anas_discors,This study,NHMUK_S2001.41.5,CT scan,39,39,0,0,0.445,3.47,0.540329475,2,1,flying,0
Anas_erythroincha,This study,NHMUK_S1952.1.159,CT scan,39,39,0,0,0.538,4.27,0.630427875,0,1,none,0
Anhinga_anhinga,This study,FMNH_491374,CT scan,39,39,0,0,0.506,5.85,0.767155866,2,2,both,2
Anser_fabalis,This study,NHMUK_1895.2.6.9,CT scan,39,39,0,0,0.481,8.26,0.916980047,2,1,flying,0
Anseranas_semipalmata,This study,NHMUK1852.7.22.1,CT scan,39,39,0,0,0.372,7.69,0.88592634,2,1,flying,0
Aptenodytes______,Ksepka et al. (2015),AMNH 3728,Thin section,39,39,0,0,0.864,16.395,1.214711421,0,2,diving,2
Apteryx_australis,Bourdon et al. (2009),NMW3606,Thin section,39,39,0,0,0.541,10.77,1.032215703,0,0,none,0
Apteryx_owenii_,This study,UMZC_378,CT scan,39,39,0,0,0.471,8.32,0.920123326,0,0,none,0
Aramus_guarauna,This study,FMNH_376078,CT scan,39,39,0,0,0.323,7.34,0.86569606,2,1,flying,0
Asfaltovenator,This study,MPEF PV 3440,Cross section,8,9,176.15,170,0.47,103.03,2.0129637,0,UNKNOWN,none,0
Asilisaurus,Griffin & Nesbitt (2016),M378008,Thin section,1,2,247.2,237,0.565,8.414,0.925002508,0,UNKNOWN,none,0
Atlantisia_rogersi,This study,NHMUK_1924.1.2.2,CT scan,39,39,0,0,0.464,1.99,0.298853076,0,0,none,0
Australovenator,White et al. (2013),AODF 604,CT scan,20,20,97,93.9,0.56,77.186,1.887538535,0,UNKNOWN,none,0
Avimaia,Bailleul et al. (2019),IVPP V25371,Thin section,18,18,125,113,0.458,1.75,0.243038049,0,UNKNOWN,UNKNOWN,0
Baryonyx,This study,BMNH 9951,CT scan,17,17,129.4,127,0.876,154,2.187520721,0,UNKNOWN,UNKNOWN,UNKNOWN
Basilosaurus,Houssaye et al. (2015),UM 97527 (WH-152),CT scan,27,28,41.2,33.9,0.926,21.96,1.341632336,0,2,diving,2
Caiman_yacare,Andrade et al. (2020),MBC-225-Pv,Thin section,39,39,0,0,0.929,12.623,1.101162582,0,2,diving,2
Caloenas_nicobarica,This study,FMNH_314877,CT scan,39,39,0,0,0.353,5.56,0.745074792,0,0,none,0
Chapsosaurus_,Katsura (2010),UCMP142195,Thin section,24,24,66,61.6,0.968,7.85,0.894869657,0,2,diving,2
Champsosaurus,Katsura (2010),MOR740,Thin section,23,23,72.1,66,0.952,12.389,1.093036253,0,2,diving,2
Chauna_chavaria,This study,OUMNH23790,CT scan,39,39,0,0,0.358,10.59,1.02489596,2,0,flying,0
Cinclus_cinclus,This study,BMNH_s1988.33.1,CT scan,39,39,0,0,0.443,2.04,0.309630167,2,2,both,2
Columba_,McGuire et al. (2020),MWU 254,Thin section,39,39,0,0,0.401,3.744,0.57333584,2,0,flying,0
Condorraptor,This study,MPEF-PV 1690–1693,Thin section,8,9,176.15,170,0.567,63.312,1.801486033,0,UNKNOWN,none,0
Confuciusornis_sanctus,De Riqles et al. (2003),MOR 1063/NGMC 98-8-2,Thin section,16,18,131,124,0.458,5.01,0.699837726,UNKNOWN,0,UNKNOWN,0
Cricosaurus,Herrera et al. (2015),MLP 73-II-27-6,Thin section,14,14,152.1,145,0.874,16.265,1.211254068,0,2,diving,2
Cryptoclidus,Wintrich et al. (2017),STIPB R 324,Thin section,11,11,166.1,163.5,0.97,84.08,1.924692703,0,2,diving,2
Crypturellus_tataupa,This study,UMMZ_201948,CT scan,39,39,0,0,0.456,3.3,0.51851394,1,0,flying,0
Cygnus_olor,This study,NHMUK,CT scan,39,39,0,0,0.55,11.4,1.056904851,1,1,flying,0
Deinonychus,Parsons & Parsons (2009),MOR 1178,Cross section,17,20,126,100,0.632,37.972,1.579463472,0,UNKNOWN,none,0
Dromaius_,Kuehn et al. (2019),23,Thin section,39,39,0,0,0.403,29.42,1.468642668,0,0,none,0
Dyrosaurid,Andrade & Sayao (2014),CAV 0010-V,Thin section,23,24,72.1,61.6,0.635,12.54,1.098297536,0,2,none,2
Dysalotosaurus,Hubner (2012),GPIT/RE/3588,Thin section,13,13,157.3,152.1,0.733,36.297,1.559870731,0,UNKNOWN,none,0
Eudromia_elegans,This study,UMMZ_156966,CT scan,39,39,0,0,0.47,5.74,0.758911892,2,0,flying,0
Eustreptospondylus,This study,OUMNH-J.13558/F02,CT scan,11,11,165,163.5,0.459,50.1,1.699837726,0,UNKNOWN,UNKNOWN,UNKNOWN
Fratercula_arctica,This study,UMZ_181B,CT scan,39,39,0,0,0.602,3.49,0.542825427,2,2,both,2
Fregata_aquila,This study,UMZ_181B,CT scan,39,39,0,0,0.366,6.47,0.810904281,2,0,flying,0
