"","Reference","Specimen","Type.of.data","AFA","ALA","FAD","LAD","Global.compactness","MD..mm.","MD.log","Flying","Diving","finest.category","diving.or.not"
"Alligator","Klein et al. (2009)","SMNS 10481","Thin section",39,39,0,0,0.884,18,1.255272505,"0","0","diving","0"
"Allosaurus_","Bybee et al. (2006)","UUVP 2656","Thin section",13,14,157.3,145,0.597,89.498,1.95181333,"0","UNKNOWN","none","0"
"Antetonitrus","Krupandan et al. (2018)","NMQR 1705/163","Thin section",4,4,227,208.5,0.702,43.97,1.643156466,"0","UNKNOWN","none","0"
"Aptenodytes______","Ksepka et al. (2015)","AMNH 3728","Thin section",39,39,0,0,0.864,16.395,1.214711421,"0","2","diving","2"
"Apteryx_australis","Bourdon et al. (2009)","NMW3606","Thin section",39,39,0,0,0.541,10.77,1.032215703,"0","0","none","0"
"Asfaltovenator","This study","MPEF PV 3440","Cross section",8,9,176.15,170,0.47,103.03,2.0129637,"0","UNKNOWN","none","0"
"Australovenator","White et al. (2013)","AODF 604","CT scan",20,20,97,93.9,0.56,77.186,1.887538535,"0","UNKNOWN","none","0"
"Basilosaurus","Houssaye et al. (2015)","UM 97527 (WH-152)","CT scan",27,28,41.2,33.9,0.926,21.96,1.341632336,"0","2","diving","2"
"Caiman_yacare","Andrade et al. (2020)","MBC-225-Pv","Thin section",39,39,0,0,0.929,12.623,1.101162582,"0","2","diving","2"
"Callophoca_obscura","Dewaele et al. (2019)","Histos 170","Thin section",36,36,5.3,3.6,0.733,25.86,1.412628521,"0","2","diving","2"
"Champsosaurus","Katsura (2010)","MOR740","Thin section",23,23,72.1,66,0.952,12.389,1.093036253,"0","2","diving","2"
"Chauna_chavaria","This study","OUMNH23790","CT scan",39,39,0,0,0.358,10.59,1.02489596,"2","0","flying","0"
"Condorraptor","This study","MPEF-PV 1690–1693","Thin section",8,9,176.15,170,0.567,63.312,1.801486033,"0","UNKNOWN","none","0"
"Cricosaurus","Herrera et al. (2015)","MLP 73-II-27-6","Thin section",14,14,152.1,145,0.874,16.265,1.211254068,"0","2","diving","2"
"Cryptoclidus","Wintrich et al. (2017)","STIPB R 324","Thin section",11,11,166.1,163.5,0.97,84.08,1.924692703,"0","2","diving","2"
"Cygnus_olor","This study","NHMUK","CT scan",39,39,0,0,0.55,11.4,1.056904851,"1","1","flying","0"
"Deinonychus","Parsons & Parsons (2009)","MOR 1178","Cross section",17,20,126,100,0.632,37.972,1.579463472,"0","UNKNOWN","none","0"
"Dromaius_","Kuehn et al. (2019)","23","Thin section",39,39,0,0,0.403,29.42,1.468642668,"0","0","none","0"
"Dyrosaurid","Andrade & Sayao (2014)","CAV 0010-V","Thin section",23,24,72.1,61.6,0.635,12.54,1.098297536,"0","2","none","2"
"Dysalotosaurus","Hubner (2012)","GPIT/RE/3588","Thin section",13,13,157.3,152.1,0.733,36.297,1.559870731,"0","UNKNOWN","none","0"
"Gobiraptor_","Lee et al. (2019)","MPC-D 102/111","Thin section",20,23,100.5,66,0.563,27.3,1.436162647,"0","UNKNOWN","none","0"
"Gorgosaurus","Cullen et al. (2020)","FMNH PR 2211","Thin section",22,22,83.6,72.1,0.689,46.9,1.671172843,"0","UNKNOWN","none","0"
"Hesperornis","Wilson & Chin (2014)","YPM 1201","Thin section",21,22,89.8,72.1,0.725,22.914,1.360100909,"0","2","diving","2"
"Ichtyosaur_sp","Houssaye et al. (2014)","LO 11904t","Thin section",6,8,201.3,174.1,0.776,165.44,2.218640521,"0","2","diving","2"
"Ichtyosaurus_","Houssaye et al. (2014)"," SMNS unnumbered ","Thin section",6,8,201.3,174.1,0.659,86.48,1.936915681,"0","2","diving","2"
"large_eocene_stem_penguin","Ksepka et al. (2015)","USNM 402616","Thin section",28,28,36.1,34.7,0.988,16.744,1.223859215,"0","2","diving","2"
"Lepidus","Nesbitt & Ezcurra (2015)","TMM 41936-1.3","Thin section",3,4,237,223,0.551,27.42,1.43806745,"0","UNKNOWN","none","0"
"Leptophoca_proxima","Dewaele et al. (2019)","Histos 166","Thin section",32,34,15.97,7.246,0.729,28.9,1.460897843,"0","2","diving","2"
"Maiacetus","Houssaye et al. (2015)","GSP-UM 3551","Synchrotron",26,27,47.8,37.8,0.985,30.43,1.483301952,"0","2","diving","2"
"Masiakasaurus","Lee & O'Connor (2013)","FMNH PR 2123","Thin section",23,23,72.1,66,0.567,19.95,1.2999429,"0","UNKNOWN","none","0"
"Meleagris","Petermann & Sander (2013)","Uncutalogued","Thin section",39,39,0,0,0.35,13.91,1.14332713,"1","0","flying","0"
"Metryorhynchus","Houssaye et al. (2016)","SNMS 10116","Thin section",11,12,166.1,157.3,0.828,27.384,1.437496886,"0","2","diving","2"
"Mussaurus","Cerda et al. (2014)","MLP 61-III-20-22","Thin section",4,4,227,208.5,0.67,110.42,2.043047743,"0","UNKNOWN","none","0"
"Nanophoca_vitulinoides","Dewaele et al. (2019)","Histos 1935","Thin section",32,33,14.2,11.6,0.973,20.3,1.307496038,"0","2","diving","2"
"Neusticosaurus","Hugi et al. (2011)","T3437","Thin section",2,2,242,237,0.968,19.1,1.281033367,"0","2","diving","2"
"Nothosaurus_giganteus","Krahl et al. (2013)","SIPB R 49","Thin section",2,2,242,237,0.738,26.819,1.42844258,"0","2","diving","2"
"Nothosaurus_mirabilis","Krahl et al. (2013)","SIPB R 54/1","Thin section",2,2,242,237,0.828,16.09,1.206556044,"0","2","diving","2"
"Nothosaurus_mirabilis_1","Krahl et al. (2013)","SIPB R 50/2","Thin section",2,2,242,237,0.776,21.7,1.336459734,"0","2","diving","2"
"Otaria_byronia","Quemeneur et al. (2013)","Uncutalogued","Thin section",39,39,0,0,0.821,22.28,1.347915187,"0","2","diving","2"
"Oviraptor_","Dong & Currie (1996)","IVPP V9608","Cross section",22,22,83.6,72.1,0.438,27.769,1.44356024,"0","UNKNOWN","none","0"
"Oviraptor_caenagnathid","Jin et al. (2019)","ZMNH M8829","Thin section",21,22,86.3,72.1,0.499,32.25,1.508529719,"0","UNKNOWN","none","0"
"Phocanella_pumila","Dewaele et al. (2019)","Histos 160","Thin section",36,36,5.3,3.6,0.966,29.5,1.469822016,"0","2","diving","2"
"Phoenicopterus_roseus","This study","UMZC_346B","CT scan",39,39,0,0,0.279,10.97,1.040206628,"2","1","flying","0"
"Pistosaurus","Wintrich et al. (2017)","SMNS 84825","Thin section",2,2,242,237,0.845,27.56,1.440279213,"0","2","diving","2"
