"","Reference","Specimen","Type.of.data","AFA","ALA","FAD","LAD","Global.compactness","MD..mm.","MD.Log","Flying","Diving","finest.category","diving.or.not"
"Clidastes_sp.","Houssaye et al. (2013)","RMM 1788","",17,17,83.6,72.1,0.827,8.1,0.908485019,0,"2","diving","2"
"Tylosaurus_sp.","Houssaye et al. (2013)","RMM 5610","",14,18,100.5,66,0.809,12.5,1.096910013,0,"2","diving","2"
"Platecarpus_sp.","Houssaye et al. (2013)","UCB 34781","",15,16,93.5,83.6,0.85,12,1.079181246,0,"2","diving","2"
"Metriorhynchid_indet.","Houssaye et al. (2013)","MHBR 208 1969","",9,10,166.1,157.3,0.683,16.9,1.227886705,0,"2","diving","2"
"Crocodylus_sp.","Houssaye et al. (2013)","Unnb.","",29,29,0,0,0.974,4.5,0.653212514,0,"2","diving","2"
"Phoca_vitulina","Houssaye et al. (2013)","IPB M 60","",29,29,0,0,0.436,7.8,0.892094603,0,"2","diving","2"
"Balaenoptera_brydei","Houssaye et al. (2013)","NSM M 32599","",29,29,0,0,0.611,45.8,1.660865478,0,"2","diving","2"
"Crocodylus_niloticus","Canoville et al. (2017)","ZFMK 5249","",29,29,0,0,0.96,13.56,1.13225969,0,"0","diving","0"
"Struthio_camelus","Canoville et al. (2017)","ZFMK 83SK13","",29,29,0,0,0.627,15.11,1.179264464,0,"0","none","0"
"Casuarius_casuarius","Canoville et al. (2017)","ZFMK 79SK5","",29,29,0,0,0.639,11.41,1.057285644,0,"0","none","0"
"Eudyptes_chrysocome","Canoville et al. (2017)","ZFMK 75SK64","",29,29,0,0,0.886,4.94,0.693726949,0,"2","diving","2"
"Aptenodytes_patagonicus","Canoville et al. (2017)","ZFMK 011SK18","",29,29,0,0,0.788,5.17,0.713490543,0,"2","diving","2"
"Pelecanus_sp.","Canoville et al. (2017)","ZFMK 78SK63","",29,29,0,0,0.262,6.54,0.815577748,2,"1","flying","0"
"Otis_tarda","Canoville et al. (2017)","ZFMK 78SK11","",29,29,0,0,0.46,5.05,0.703291378,2,"0","flying","0"
"Zaglossus_bruijni","Canoville et al. (2017)","AMNH 66 194","",29,29,0,0,0.524,4.6,0.662757832,0,"0","none","0"
"Macropus_rufus","Canoville et al. (2017)","MHNL 50.00.0931","",29,29,0,0,0.733,8.8,0.944482672,0,"0","none","0"
"Vombatus_ursinus","Canoville et al. (2017)","MHNL 50.00.0785","",29,29,0,0,0.852,4.96,0.695481676,0,"0","none","0"
"Elephas_maximus","Canoville et al. (2017)","MHNL 50.00.2671","",29,29,0,0,0.481,39.7,1.598790507,0,"0","none","0"
"Dugong_dugon","Canoville et al. (2017)","MHNL 50.00.2521","",29,29,0,0,0.977,26.0387,1.415619298,0,"2","diving","2"
"Choloepus_didactylus","Canoville et al. (2017)","MNHN-1999.1062","",29,29,0,0,0.556,21.319,1.32876683,0,"0","none","0"
"Gorilla_gorilla","Canoville et al. (2017)","MHNL 50.00.1 751","",29,29,0,0,0.532,12.4,1.093421685,0,"0","none","0"
