Spinosaurus_.11, {{37, 0.47}, {29, 0.45}, {23, 0.46}, {1, 0.48}, {10, 0.44}}
Spinosaurus_.10, {{7, 0.47}, {41, 0.5}, {10, 0.51}, {23, 0.48}, {19, 0.49}}
Spinosaurus_.9, {{76, 0.95}, {24, 0.96}}
Spinosaurus_.8, {{52, 0.94}, {48, 0.93}}
Spinosaurus_.7, {{60, 0.9}, {40, 0.89}}
Spinosaurus_.6, {{5, 0.84}, {54, 0.83}, {41, 0.82}}
Spinosaurus_.5, {{99, 0.98}, {1, 0.97}}
Spinosaurus_.4, {{89, 0.95}, {11, 0.94}}
Spinosaurus_.3, {{19, 0.92}, {81, 0.93}}
Spinosaurus_.2, {{43, 0.88}, {57, 0.89}}
Spinosaurus_.1, {{50, 0.81}, {21, 0.82}, {29, 0.8}}
Spinosaurus_, {{9, 0.98}, {91, 0.97}}
Baryonyx.3, {{2, 0.76}, {98, 0.77}}
Baryonyx.2, {{22, 0.88}, {78, 0.89}}
Baryonyx.1, {{100, 0.95}}
Suchomimus.3, {{36, 0.33}, {64, 0.32}}
Suchomimus.2, {{95, 0.5}, {1, 0.51}, {4, 0.49}}
Suchomimus.1, {{36, 0.32}, {64, 0.31}}
Suchomimus, {{16, 0.48}, {84, 0.49}}
Baryonyx, {{100, 0.94}}
