"","[1,1]","[1,2]","[2,1]","[2,2]"
"1",44,5,14,54
"2",44,5,14,54
"3",44,6,14,53
"4",44,5,14,54
"5",44,5,14,54
"6",44,5,14,54
"7",44,5,14,54
"8",44,5,14,54
"9",44,5,14,54
"10",44,5,14,54
"11",44,5,14,54
"12",44,5,14,54
"13",44,6,14,53
"14",44,5,14,54
"15",44,5,14,54
"16",44,5,14,54
"17",44,6,14,53
"18",44,5,14,54
"19",44,5,14,54
"20",44,5,14,54
"21",44,5,14,54
"22",44,5,14,54
"23",44,6,14,53
"24",44,5,14,54
"25",44,5,14,54
"26",44,6,14,53
"27",44,5,14,54
"28",44,5,14,54
"29",44,5,14,54
"30",44,6,14,53
"31",44,5,14,54
"32",44,5,14,54
"33",44,5,14,54
"34",44,6,14,53
"35",44,6,14,53
"36",44,6,14,53
"37",44,6,14,53
"38",44,5,14,54
"39",44,5,14,54
"40",44,5,14,54
"41",44,5,14,54
"42",44,6,14,53
"43",44,5,14,54
"44",44,5,14,54
"45",44,5,14,54
"46",44,5,14,54
"47",44,5,14,54
"48",44,6,14,53
"49",44,6,14,53
"50",44,6,14,53
"51",44,5,14,54
"52",44,5,14,54
"53",44,5,14,54
"54",44,5,14,54
"55",44,5,14,54
"56",44,5,14,54
"57",44,5,14,54
"58",44,5,14,54
"59",44,6,14,53
"60",44,5,14,54
"61",44,5,14,54
"62",44,5,14,54
"63",44,5,14,54
"64",44,6,14,53
"65",44,5,14,54
"66",44,5,14,54
"67",44,5,14,54
"68",44,5,14,54
"69",44,6,14,53
"70",44,5,14,54
"71",44,5,14,54
"72",44,5,14,54
"73",44,5,14,54
"74",44,5,14,54
"75",44,6,14,53
"76",44,6,14,53
"77",44,5,14,54
"78",44,5,14,54
"79",44,5,14,54
"80",44,6,14,53
"81",44,6,14,53
"82",44,6,14,53
"83",44,5,14,54
"84",44,5,14,54
"85",44,6,14,53
"86",44,6,14,53
"87",44,6,14,53
"88",44,5,14,54
"89",44,5,14,54
"90",44,5,14,54
"91",44,6,14,53
"92",44,5,14,54
"93",44,5,14,54
"94",44,6,14,53
"95",44,6,14,53
"96",44,5,14,54
"97",44,5,14,54
"98",44,5,14,54
"99",44,5,14,54
"100",44,6,14,53
