"","[1,1]","[1,2]","[2,1]","[2,2]"
"1",33,6,17,49
"2",33,6,17,49
"3",33,6,17,49
"4",33,6,17,49
"5",33,6,17,49
"6",33,6,17,49
"7",33,6,17,49
"8",33,6,17,49
"9",33,6,17,49
"10",33,6,17,49
"11",33,6,17,49
"12",33,6,17,49
"13",33,6,17,49
"14",33,6,17,49
"15",33,6,17,49
"16",33,6,17,49
"17",33,6,17,49
"18",33,6,17,49
"19",33,6,17,49
"20",33,6,17,49
"21",33,6,17,49
"22",33,6,17,49
"23",33,6,17,49
"24",33,6,17,49
"25",33,6,17,49
"26",33,6,17,49
"27",33,6,17,49
"28",33,6,17,49
"29",33,6,17,49
"30",33,6,17,49
"31",33,6,17,49
"32",33,6,17,49
"33",33,6,17,49
"34",33,6,17,49
"35",33,6,17,49
"36",33,6,17,49
"37",33,6,17,49
"38",33,6,17,49
"39",33,6,17,49
"40",33,6,17,49
"41",33,6,17,49
"42",33,6,17,49
"43",33,6,17,49
"44",33,6,17,49
"45",33,6,17,49
"46",33,6,17,49
"47",33,6,17,49
"48",33,6,17,49
"49",33,6,17,49
"50",33,6,17,49
"51",33,6,17,49
"52",33,6,17,49
"53",33,6,17,49
"54",33,6,17,49
"55",33,6,17,49
"56",33,6,17,49
"57",33,6,17,49
"58",33,6,17,49
"59",33,6,17,49
"60",33,6,17,49
"61",33,6,17,49
"62",33,6,17,49
"63",33,6,17,49
"64",33,6,17,49
"65",33,6,17,49
"66",33,6,17,49
"67",33,6,17,49
"68",33,6,17,49
"69",33,6,17,49
"70",33,6,17,49
"71",33,6,17,49
"72",33,6,17,49
"73",33,6,17,49
"74",33,6,17,49
"75",33,6,17,49
"76",33,6,17,49
"77",33,6,17,49
"78",33,6,17,49
"79",33,6,17,49
"80",33,6,17,49
"81",33,6,17,49
"82",33,6,17,49
"83",33,6,17,49
"84",33,6,17,49
"85",33,6,17,49
"86",33,6,17,49
"87",33,6,17,49
"88",33,6,17,49
"89",33,6,17,49
"90",33,6,17,49
"91",33,6,17,49
"92",33,6,17,49
"93",33,6,17,49
"94",33,6,17,49
"95",33,6,17,49
"96",33,6,17,49
"97",33,6,17,49
"98",33,6,17,49
"99",33,6,17,49
"100",33,6,17,49
