"","actual class","predicted class","N","median P(diving)"
"Loxodonta_africana","0","2","100","0.96"
"Myrmecophaga_tridactyla","0","2","100","0.81"
"Procyon_lotor","0","0","0","0.45"
"Dicerorhinus_sumatrensis","0","2","100","0.85"
"Okapia_johnstoni","0","0","0","0.47"
"Bison_bonasus","0","0","0","0.26"
"Ichtyosaurus_","2","0","0","0.48"
"Psephoderma","2","2","100","0.93"
"Neusticosaurus","2","2","100","1"
"Nothosaurus_150","2","2","100","1"
"Caiman_yacare","2","2","100","0.95"
"Spinosaurus_.11",NA,"2","77","0.51"
"Spinosaurus_.10",NA,"2","100","0.55"
"Spinosaurus_.9",NA,"2","100","0.98"
"Spinosaurus_.8",NA,"2","100","0.97"
"Spinosaurus_.7",NA,"2","100","0.95"
"Spinosaurus_.6",NA,"2","100","0.9"
"Spinosaurus_.5",NA,"2","100","0.99"
"Spinosaurus_.4",NA,"2","100","0.98"
"Spinosaurus_.3",NA,"2","100","0.96"
"Spinosaurus_.2",NA,"2","100","0.94"
"Spinosaurus_.1",NA,"2","100","0.88"
"Spinosaurus_",NA,"2","100","0.99"
"Baryonyx.3",NA,"2","100","0.86"
"Baryonyx.2",NA,"2","100","0.94"
"Baryonyx.1",NA,"2","100","0.98"
"Suchomimus.3",NA,"0","0","0.37"
"Suchomimus.2",NA,"2","100","0.59"
"Suchomimus.1",NA,"0","0","0.36"
"Suchomimus",NA,"2","100","0.57"
"Baryonyx",NA,"2","100","0.97"
"Raphus","0","0","0","0.21"
