"","[1,1]","[1,2]","[2,1]","[2,2]"
"1",39,5,18,54
"2",39,7,18,52
"3",39,6,18,53
"4",39,5,18,54
"5",39,5,18,54
"6",39,6,18,53
"7",39,6,18,53
"8",39,6,18,53
"9",39,6,18,53
"10",39,5,18,54
"11",39,5,18,54
"12",39,6,18,53
"13",39,6,18,53
"14",39,6,18,53
"15",39,5,18,54
"16",39,6,18,53
"17",39,6,18,53
"18",39,6,18,53
"19",39,6,18,53
"20",39,6,18,53
"21",39,5,18,54
"22",39,5,18,54
"23",39,6,18,53
"24",39,5,18,54
"25",39,6,18,53
"26",39,5,18,54
"27",39,6,18,53
"28",39,5,18,54
"29",39,6,18,53
"30",39,7,18,52
"31",39,6,18,53
"32",39,5,18,54
"33",39,7,18,52
"34",39,6,18,53
"35",39,6,18,53
"36",39,6,18,53
"37",39,6,18,53
"38",39,6,18,53
"39",39,6,18,53
"40",39,7,18,52
"41",39,7,18,52
"42",39,7,18,52
"43",39,6,18,53
"44",39,6,18,53
"45",39,6,18,53
"46",39,7,18,52
"47",39,6,18,53
"48",39,6,18,53
"49",39,6,18,53
"50",39,6,18,53
"51",39,6,18,53
"52",39,6,18,53
"53",39,6,18,53
"54",39,6,18,53
"55",39,6,18,53
"56",39,5,18,54
"57",39,6,18,53
"58",39,7,18,52
"59",39,6,18,53
"60",39,6,18,53
"61",39,5,18,54
"62",39,6,18,53
"63",39,6,18,53
"64",39,6,18,53
"65",39,7,18,52
"66",39,7,18,52
"67",39,6,18,53
"68",39,6,18,53
"69",39,6,18,53
"70",39,6,18,53
"71",39,6,18,53
"72",39,7,18,52
"73",39,7,18,52
"74",39,6,18,53
"75",39,6,18,53
"76",39,6,18,53
"77",39,7,18,52
"78",39,6,18,53
"79",39,5,18,54
"80",39,6,18,53
"81",39,6,18,53
"82",39,7,18,52
"83",39,6,18,53
"84",39,6,18,53
"85",39,6,18,53
"86",39,7,18,52
"87",39,7,18,52
"88",39,6,18,53
"89",39,6,18,53
"90",39,6,18,53
"91",39,6,18,53
"92",39,7,18,52
"93",39,6,18,53
"94",39,7,18,52
"95",39,7,18,52
"96",39,7,18,52
"97",39,5,18,54
"98",39,5,18,54
"99",39,5,18,54
"100",39,5,18,54
