Spinosaurus_.11, {{37, {{39, 5, 19, 54}, 0.47}}, {1, {{39, 5, 19, 54}, 0.48}}, {23, {{39, 5, 19, 54}, 0.46}}, {10, {{39, 5, 19, 54}, 0.44}}, {29, {{39, 5, 19, 54}, 0.45}}}
Spinosaurus_.10, {{7, {{39, 5, 19, 54}, 0.47}}, {23, {{39, 5, 19, 54}, 0.48}}, {19, {{39, 5, 19, 54}, 0.49}}, {41, {{39, 5, 19, 54}, 0.5}}, {10, {{39, 5, 19, 54}, 0.51}}}
Spinosaurus_.9, {{24, {{39, 5, 19, 54}, 0.96}}, {76, {{39, 5, 19, 54}, 0.95}}}
Spinosaurus_.8, {{48, {{39, 5, 19, 54}, 0.93}}, {52, {{39, 5, 19, 54}, 0.94}}}
Spinosaurus_.7, {{60, {{39, 5, 19, 54}, 0.9}}, {40, {{39, 5, 19, 54}, 0.89}}}
Spinosaurus_.6, {{41, {{39, 5, 19, 54}, 0.82}}, {5, {{39, 5, 19, 54}, 0.84}}, {54, {{39, 5, 19, 54}, 0.83}}}
Spinosaurus_.5, {{1, {{39, 5, 19, 54}, 0.97}}, {99, {{39, 5, 19, 54}, 0.98}}}
Spinosaurus_.4, {{89, {{39, 5, 19, 54}, 0.95}}, {11, {{39, 5, 19, 54}, 0.94}}}
Spinosaurus_.3, {{19, {{39, 5, 19, 54}, 0.92}}, {81, {{39, 5, 19, 54}, 0.93}}}
Spinosaurus_.2, {{57, {{39, 5, 19, 54}, 0.89}}, {43, {{39, 5, 19, 54}, 0.88}}}
Spinosaurus_.1, {{29, {{39, 5, 19, 54}, 0.8}}, {50, {{39, 5, 19, 54}, 0.81}}, {21, {{39, 5, 19, 54}, 0.82}}}
Spinosaurus_, {{91, {{39, 5, 19, 54}, 0.97}}, {9, {{39, 5, 19, 54}, 0.98}}}
Baryonyx.3, {{98, {{39, 5, 19, 54}, 0.77}}, {2, {{39, 5, 19, 54}, 0.76}}}
Baryonyx.2, {{78, {{39, 5, 19, 54}, 0.89}}, {22, {{39, 5, 19, 54}, 0.88}}}
Baryonyx.1, {{100, {{39, 5, 19, 54}, 0.95}}}
Suchomimus.3, {{36, {{39, 5, 19, 54}, 0.33}}, {64, {{39, 5, 19, 54}, 0.32}}}
Suchomimus.2, {{4, {{39, 5, 19, 54}, 0.49}}, {95, {{39, 5, 19, 54}, 0.5}}, {1, {{39, 5, 19, 54}, 0.51}}}
Suchomimus.1, {{64, {{39, 5, 19, 54}, 0.31}}, {36, {{39, 5, 19, 54}, 0.32}}}
Suchomimus, {{16, {{39, 5, 19, 54}, 0.48}}, {84, {{39, 5, 19, 54}, 0.49}}}
Baryonyx, {{100, {{39, 5, 19, 54}, 0.94}}}
