Neusticosaurus, {{20, {{49, 8, 8, 35}, 1.0}}, {80, {{48, 8, 9, 35}, 1.0}}}
Baryonyx.1, {{16, {{48, 8, 9, 35}, 0.97}}, {64, {{48, 8, 9, 35}, 0.98}}, {2, {{49, 8, 8, 35}, 0.97}}, {18, {{49, 8, 8, 35}, 0.98}}}
Spinosaurus.3, {{80, {{48, 8, 9, 35}, 0.98}}, {20, {{49, 8, 8, 35}, 0.98}}}
Spinosaurus.2, {{20, {{49, 8, 8, 35}, 1.0}}, {80, {{48, 8, 9, 35}, 1.0}}}
Spinosaurus.1, {{80, {{48, 8, 9, 35}, 0.97}}, {20, {{49, 8, 8, 35}, 0.97}}}
Baryonyx, {{20, {{49, 8, 8, 35}, 1.0}}, {80, {{48, 8, 9, 35}, 1.0}}}
Spinosaurus, {{20, {{49, 8, 8, 35}, 1.0}}, {80, {{48, 8, 9, 35}, 1.0}}}
Ornithorhynchus_anatinus, {{80, {{48, 8, 9, 35}, 0.93}}, {20, {{49, 8, 8, 35}, 0.93}}}
Tachyglossus_aculeatus_setosus, {{80, {{48, 8, 9, 35}, 0.12}}, {20, {{49, 8, 8, 35}, 0.12}}}
Perameles_nasuta, {{1, {{48, 8, 9, 35}, 0.22}}, {79, {{48, 8, 9, 35}, 0.23}}, {7, {{49, 8, 8, 35}, 0.22}}, {13, {{49, 8, 8, 35}, 0.23}}}
Procavia_capensis, {{80, {{48, 8, 9, 35}, 0.1}}, {20, {{49, 8, 8, 35}, 0.1}}}
Paleoparadoxia_sp, {{20, {{49, 8, 8, 35}, 1.0}}, {80, {{48, 8, 9, 35}, 1.0}}}
Gorilla_gorilla, {{80, {{48, 8, 9, 35}, 0.05}}, {20, {{49, 8, 8, 35}, 0.05}}}
Galemys_pyrenaicus, {{80, {{48, 8, 9, 35}, 0.02}}, {20, {{49, 8, 8, 35}, 0.02}}}
Martes_foina, {{80, {{48, 8, 9, 35}, 0.16}}, {20, {{49, 8, 8, 35}, 0.16}}}
Dorudon, {{80, {{48, 8, 9, 35}, 0.99}}, {20, {{49, 8, 8, 35}, 0.99}}}
Balaenoptera_brydei, {{80, {{48, 8, 9, 35}, 0.31}}, {20, {{49, 8, 8, 35}, 0.31}}}
Capra_aegagrus, {{80, {{48, 8, 9, 35}, 0.71}}, {20, {{49, 8, 8, 35}, 0.71}}}
Clidastes_sp., {{99, {{47, 10, 10, 34}, 0.89}}, {1, {{47, 10, 10, 34}, 0.9}}}
Crocodylus_sp., {{100, {{47, 10, 10, 34}, 0.98}}}
Baryonyx.1, {{98, {{47, 10, 10, 34}, 0.97}}, {2, {{47, 10, 10, 34}, 0.98}}}
Spinosaurus.3, {{100, {{47, 10, 10, 34}, 0.98}}}
Spinosaurus.2, {{100, {{47, 10, 10, 34}, 1.0}}}
Spinosaurus.1, {{100, {{47, 10, 10, 34}, 0.97}}}
Baryonyx, {{100, {{47, 10, 10, 34}, 1.0}}}
Spinosaurus, {{25, {{47, 10, 10, 34}, 0.99}}, {75, {{47, 10, 10, 34}, 1.0}}}
Strigiops_habroptilus, {{100, {{47, 10, 10, 34}, 0.14}}}
Rhynchocyon_petersi, {{100, {{47, 10, 10, 34}, 0.28}}}
Tenrec_ecaudatus, {{100, {{47, 10, 10, 34}, 0.34}}}
Trichechus_manatus, {{100, {{47, 10, 10, 34}, 1.0}}}
Mammuthus_primigenius, {{100, {{47, 10, 10, 34}, 0.39}}}
Sciurus_vulgaris, {{100, {{47, 10, 10, 34}, 0.14}}}
Castor_fiber, {{100, {{47, 10, 10, 34}, 0.93}}}
Tremarctos_ornatus, {{100, {{47, 10, 10, 34}, 0.73}}}
Monodon_monoceros, {{4, {{47, 10, 10, 34}, 0.75}}, {96, {{47, 10, 10, 34}, 0.74}}}
Baryonyx.1, {{100, {{46, 10, 11, 33}, 0.96}}}
Spinosaurus.3, {{100, {{46, 10, 11, 33}, 0.97}}}
Spinosaurus.2, {{100, {{46, 10, 11, 33}, 0.99}}}
Spinosaurus.1, {{55, {{46, 10, 11, 33}, 0.96}}, {45, {{46, 10, 11, 33}, 0.95}}}
Baryonyx, {{100, {{46, 10, 11, 33}, 0.99}}}
Spinosaurus, {{100, {{46, 10, 11, 33}, 0.99}}}
Casuarius_casuarius, {{4, {{46, 10, 11, 33}, 0.24}}, {96, {{46, 10, 11, 33}, 0.25}}}
Spheniscus_humboldti, {{100, {{46, 10, 11, 33}, 0.91}}}
Eudyptes_chrysocome, {{11, {{46, 10, 11, 33}, 0.9}}, {89, {{46, 10, 11, 33}, 0.89}}}
Didelphis_sp., {{100, {{46, 10, 11, 33}, 0.04}}}
Dugong_dugon, {{100, {{46, 10, 11, 33}, 0.99}}}
Behemotops_katsuiei, {{100, {{46, 10, 11, 33}, 0.96}}}
Galagoides_demidovii, {{100, {{46, 10, 11, 33}, 0.03}}}
Hydromys_chrysogaster, {{14, {{46, 10, 11, 33}, 0.8}}, {86, {{46, 10, 11, 33}, 0.79}}}
Felis_silvestris, {{100, {{46, 10, 11, 33}, 0.19}}}
