Clidastes_sp., {{62, {{50, 8, 8, 34}, 0.89}}, {38, {{50, 8, 8, 34}, 0.88}}}
Baryonyx.1, {{88, {{50, 8, 8, 34}, 0.97}}, {12, {{50, 8, 8, 34}, 0.98}}}
Spinosaurus.3, {{100, {{50, 8, 8, 34}, 0.98}}}
Spinosaurus.2, {{100, {{50, 8, 8, 34}, 1.0}}}
Spinosaurus.1, {{100, {{50, 8, 8, 34}, 0.97}}}
Baryonyx, {{100, {{50, 8, 8, 34}, 1.0}}}
Spinosaurus, {{100, {{50, 8, 8, 34}, 1.0}}}
Myocastor_coypus, {{5, {{50, 8, 8, 34}, 0.19}}, {95, {{50, 8, 8, 34}, 0.2}}}
Apodemus_sp., {{100, {{50, 8, 8, 34}, 0.08}}}
Desmana_moschata, {{33, {{50, 8, 8, 34}, 0.91}}, {67, {{50, 8, 8, 34}, 0.9}}}
Nanophoca_vitulinoides, {{100, {{50, 8, 8, 34}, 0.99}}}
Tapirus_indicus, {{83, {{50, 8, 8, 34}, 0.17}}, {17, {{50, 8, 8, 34}, 0.18}}}
Ceratotherium_simum, {{73, {{50, 8, 8, 34}, 0.58}}, {27, {{50, 8, 8, 34}, 0.59}}}
Rodhocetus, {{100, {{50, 8, 8, 34}, 0.98}}}
Lissodelphis_borealis, {{100, {{50, 8, 8, 34}, 0.56}}}
Bison_bonasus, {{100, {{50, 8, 8, 34}, 0.03}}}
Ovis_aries, {{90, {{50, 8, 8, 34}, 0.19}}, {10, {{50, 8, 8, 34}, 0.18}}}
Hemitragus_jayakari, {{13, {{50, 8, 8, 34}, 0.15}}, {87, {{50, 8, 8, 34}, 0.14}}}
Carentonosaurus_mineaui, {{100, {{47, 10, 11, 33}, 0.99}}}
Crocodylus_sp., {{100, {{47, 10, 11, 33}, 0.98}}}
Baryonyx.1, {{100, {{47, 10, 11, 33}, 0.97}}}
Spinosaurus.3, {{100, {{47, 10, 11, 33}, 0.97}}}
Spinosaurus.2, {{100, {{47, 10, 11, 33}, 1.0}}}
Spinosaurus.1, {{100, {{47, 10, 11, 33}, 0.96}}}
Baryonyx, {{100, {{47, 10, 11, 33}, 1.0}}}
Spinosaurus, {{100, {{47, 10, 11, 33}, 0.99}}}
Aptenodytes_patagonicus, {{100, {{47, 10, 11, 33}, 0.69}}}
Tachyglossus_aculeatus_setosus, {{100, {{47, 10, 11, 33}, 0.14}}}
Rhynchocyon_petersi, {{4, {{47, 10, 11, 33}, 0.28}}, {96, {{47, 10, 11, 33}, 0.29}}}
Microgale_thomasi, {{100, {{47, 10, 11, 33}, 0.18}}}
Gorilla_gorilla, {{100, {{47, 10, 11, 33}, 0.05}}}
Hydromys_chrysogaster, {{100, {{47, 10, 11, 33}, 0.83}}}
Mustela_nivalis, {{100, {{47, 10, 11, 33}, 0.32}}}
Choeropsis_liberiensis, {{98, {{47, 10, 11, 33}, 0.63}}, {2, {{47, 10, 11, 33}, 0.64}}}
Delphinapterus_leucas, {{73, {{47, 10, 11, 33}, 0.95}}, {27, {{47, 10, 11, 33}, 0.96}}}
Baryonyx.1, {{100, {{46, 10, 8, 36}, 0.98}}}
Spinosaurus.3, {{100, {{46, 10, 8, 36}, 0.98}}}
Spinosaurus.2, {{100, {{46, 10, 8, 36}, 1.0}}}
Spinosaurus.1, {{17, {{46, 10, 8, 36}, 0.97}}, {83, {{46, 10, 8, 36}, 0.98}}}
Baryonyx, {{100, {{46, 10, 8, 36}, 1.0}}}
Spinosaurus, {{100, {{46, 10, 8, 36}, 1.0}}}
Caloenas_nicobarica, {{100, {{46, 10, 8, 36}, 0.34}}}
Vombatus_ursinus, {{3, {{46, 10, 8, 36}, 0.9}}, {97, {{46, 10, 8, 36}, 0.89}}}
Choloepus_didactylus, {{41, {{46, 10, 8, 36}, 0.07}}, {59, {{46, 10, 8, 36}, 0.08}}}
Behemotops_katsuiei, {{100, {{46, 10, 8, 36}, 0.97}}}
Ashoroa_laticosta, {{100, {{46, 10, 8, 36}, 0.99}}}
Castor_fiber, {{100, {{46, 10, 8, 36}, 0.94}}}
Rattus_rattus, {{100, {{46, 10, 8, 36}, 0.31}}}
Euroscaptor_micrura, {{100, {{46, 10, 8, 36}, 0.21}}}
Diplomesodon_pulchellum, {{100, {{46, 10, 8, 36}, 0.3}}}
Panthera_leo_persica, {{100, {{46, 10, 8, 36}, 0.04}}}
Rhinoceros_sondaicus, {{22, {{46, 10, 8, 36}, 0.96}}, {78, {{46, 10, 8, 36}, 0.97}}}
Camelus_bactrianus, {{31, {{46, 10, 8, 36}, 0.29}}, {69, {{46, 10, 8, 36}, 0.28}}}
Mollesaurus, {{100, {{49, 9, 8, 35}, 0.77}}}
Dallasaurus_turneri, {{100, {{49, 9, 8, 35}, 0.38}}}
Tylosaurus_sp., {{100, {{49, 9, 8, 35}, 0.86}}}
Baryonyx.1, {{100, {{49, 9, 8, 35}, 0.97}}}
Spinosaurus.3, {{100, {{49, 9, 8, 35}, 0.97}}}
Spinosaurus.2, {{100, {{49, 9, 8, 35}, 1.0}}}
