Neusticosaurus, {{100, 1.0}}
Baryonyx.1, {{82, 0.98}, {18, 0.97}}
Spinosaurus.3, {{100, 0.98}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.97}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Ornithorhynchus_anatinus, {{100, 0.93}}
Tachyglossus_aculeatus_setosus, {{100, 0.12}}
Perameles_nasuta, {{8, 0.22}, {92, 0.23}}
Procavia_capensis, {{100, 0.1}}
Paleoparadoxia_sp, {{100, 1.0}}
Gorilla_gorilla, {{100, 0.05}}
Galemys_pyrenaicus, {{100, 0.02}}
Martes_foina, {{100, 0.16}}
Dorudon, {{100, 0.99}}
Balaenoptera_brydei, {{100, 0.31}}
Capra_aegagrus, {{100, 0.71}}
Clidastes_sp., {{1, 0.9}, {99, 0.89}}
Crocodylus_sp., {{100, 0.98}}
Baryonyx.1, {{2, 0.98}, {98, 0.97}}
Spinosaurus.3, {{100, 0.98}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.97}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{25, 0.99}, {75, 1.0}}
Strigiops_habroptilus, {{100, 0.14}}
Rhynchocyon_petersi, {{100, 0.28}}
Tenrec_ecaudatus, {{100, 0.34}}
Trichechus_manatus, {{100, 1.0}}
Mammuthus_primigenius, {{100, 0.39}}
Sciurus_vulgaris, {{100, 0.14}}
Castor_fiber, {{100, 0.93}}
Tremarctos_ornatus, {{100, 0.73}}
Monodon_monoceros, {{96, 0.74}, {4, 0.75}}
Baryonyx.1, {{100, 0.96}}
Spinosaurus.3, {{100, 0.97}}
Spinosaurus.2, {{100, 0.99}}
Spinosaurus.1, {{45, 0.95}, {55, 0.96}}
Baryonyx, {{100, 0.99}}
Spinosaurus, {{100, 0.99}}
Casuarius_casuarius, {{4, 0.24}, {96, 0.25}}
Spheniscus_humboldti, {{100, 0.91}}
Eudyptes_chrysocome, {{11, 0.9}, {89, 0.89}}
Didelphis_sp., {{100, 0.04}}
Dugong_dugon, {{100, 0.99}}
Behemotops_katsuiei, {{100, 0.96}}
Galagoides_demidovii, {{100, 0.03}}
Hydromys_chrysogaster, {{86, 0.79}, {14, 0.8}}
Felis_silvestris, {{100, 0.19}}
Vulpes_vulpes, {{100, 0.07}}
Martes_martes, {{100, 0.16}}
Lutra_vulgaris, {{100, 0.91}}
Baryonyx.1, {{14, 0.98}, {86, 0.97}}
Spinosaurus.3, {{100, 0.98}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.97}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 0.99}}
Struthio_camelus, {{100, 0.25}}
Elephas_maximus, {{100, 0.08}}
