Tylosaurus_sp., {{100, 0.88}}
Metriorhynchid_indet., {{100, 0.35}}
Baryonyx.1, {{100, 0.98}}
Spinosaurus.3, {{100, 0.98}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.97}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Apteryx_owenii, {{78, 0.52}, {22, 0.51}}
Rhynchocyon_petersi, {{100, 0.21}}
Galagoides_demidovii, {{100, 0.01}}
Myoprocta_pratti, {{100, 0.02}}
Castor_fiber, {{44, 0.94}, {56, 0.93}}
Taxidea_taxus, {{87, 0.28}, {13, 0.29}}
Neovison_vison, {{99, 0.24}, {1, 0.23}}
Tapirus_terrestris, {{100, 0.72}}
Orcinus_orca, {{100, 0.98}}
Rangifer_tarandus, {{100, 0.56}}
Nothosaurus_sp., {{100, 1.0}}
Baryonyx.1, {{100, 0.95}}
Spinosaurus.3, {{100, 0.95}}
Spinosaurus.2, {{100, 0.99}}
Spinosaurus.1, {{100, 0.94}}
Baryonyx, {{100, 0.99}}
Spinosaurus, {{100, 0.99}}
Monodelphis_domestica, {{100, 0.22}}
Didelphis_sp., {{83, 0.04}, {17, 0.03}}
Choloepus_didactylus, {{100, 0.09}}
Behemotops_katsuiei, {{100, 0.96}}
Rattus_rattus, {{100, 0.42}}
Apodemus_sp., {{14, 0.15}, {86, 0.16}}
Genetta_genetta, {{100, 0.17}}
Tremarctos_ornatus, {{100, 0.7}}
Tapirus_indicus, {{100, 0.16}}
Balaenoptera_brydei, {{2, 0.26}, {98, 0.25}}
Ceresiosaurus, {{100, 1.0}}
Mollesaurus, {{94, 0.81}, {6, 0.8}}
Clidastes_sp., {{66, 0.86}, {34, 0.87}}
Platecarpus_sp., {{100, 0.93}}
Baryonyx.1, {{100, 0.96}}
Spinosaurus.3, {{100, 0.97}}
Spinosaurus.2, {{100, 0.99}}
Spinosaurus.1, {{41, 0.95}, {59, 0.96}}
Baryonyx, {{100, 0.99}}
Spinosaurus, {{100, 0.99}}
Perameles_nasuta, {{100, 0.23}}
Procavia_capensis, {{100, 0.11}}
Mammuthus_primigenius, {{97, 0.32}, {3, 0.31}}
Desmostylus_hesperus, {{100, 0.26}}
Lepus_europaeus, {{100, 0.32}}
Equus_caballus, {{100, 0.4}}
Ceratotherium_simum, {{81, 0.48}, {19, 0.49}}
Cervus_elaphus_canadensis, {{100, 0.04}}
Baryonyx.1, {{100, 0.98}}
Spinosaurus.3, {{100, 0.98}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.97}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Tachyglossus_aculeatus_setosus, {{100, 0.13}}
Zaglossus_bruijni, {{5, 0.03}, {95, 0.02}}
Orycteropus_afer, {{100, 0.07}}
Trichechus_manatus, {{100, 1.0}}
Ashoroa_laticosta, {{100, 0.99}}
Galemys_pyrenaicus, {{100, 0.02}}
Felis_silvestris, {{100, 0.15}}
Nanophoca_vitulinoides, {{100, 0.99}}
Enhydra_lutris, {{55, 0.96}, {45, 0.97}}
Choeropsis_liberiensis, {{100, 0.68}}
Rodhocetus, {{8, 0.98}, {92, 0.99}}
Dallasaurus_turneri, {{100, 0.34}}
Baryonyx.1, {{100, 0.98}}
Spinosaurus.3, {{100, 0.98}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.97}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Struthio_camelus, {{100, 0.2}}
Dasyprocta__punctata, {{100, 0.03}}
Arvicola_amphibius, {{100, 0.04}}
Desmana_moschata, {{98, 0.88}, {2, 0.89}}
Euroscaptor_micrura, {{57, 0.15}, {43, 0.16}}
Vulpes_vulpes, {{89, 0.04}, {11, 0.03}}
Lutra_vulgaris, {{100, 0.92}}
Dorudon, {{100, 0.99}}
Bison_bonasus, {{79, 0.03}, {21, 0.04}}
Hemitragus_jayakari, {{10, 0.13}, {90, 0.14}}
Crocodylus_sp., {{100, 0.99}}
Baryonyx.1, {{100, 0.98}}
Spinosaurus.3, {{8, 0.98}, {92, 0.99}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.98}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Spheniscus_humboldti, {{100, 0.96}}
Ornithorhynchus_anatinus, {{100, 0.96}}
Macropus_rufus, {{100, 0.57}}
Tenrec_ecaudatus, {{100, 0.29}}
Dugong_dugon, {{100, 1.0}}
Sciurus_vulgaris, {{90, 0.1}, {10, 0.09}}
Phoca_vitulina, {{100, 0.0}}
Hippopotamus_amphibius, {{100, 0.93}}
Lissodelphis_borealis, {{100, 0.56}}
Ovis_aries, {{100, 0.13}}
Baryonyx.1, {{100, 0.97}}
Spinosaurus.3, {{92, 0.98}, {8, 0.97}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{1, 0.96}, {99, 0.97}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Atlantisia_rogersi, {{76, 0.36}, {24, 0.35}}
Aptenodytes_patagonicus, {{100, 0.69}}
Vombatus_ursinus, {{100, 0.89}}
Gorilla_gorilla, {{100, 0.04}}
Myocastor_coypus, {{100, 0.19}}
Erinaceus_europaeus, {{71, 0.1}, {29, 0.09}}
Canis_lupus, {{100, 0.12}}
Martes_martes, {{100, 0.12}}
Monodon_monoceros, {{76, 0.73}, {24, 0.72}}
Delphinapterus_leucas, {{100, 0.96}}
Bison_bison, {{100, 0.34}}
Serpianosaurus, {{100, 1.0}}
Crocodylus_niloticus, {{100, 0.99}}
Baryonyx.1, {{100, 0.98}}
Spinosaurus.3, {{100, 0.98}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.97}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{86, 0.99}, {14, 1.0}}
Casuarius_casuarius, {{10, 0.26}, {90, 0.25}}
Caloenas_nicobarica, {{100, 0.35}}
Elephas_maximus, {{100, 0.07}}
Crocidura_russula, {{100, 0.09}}
Martes_foina, {{100, 0.18}}
Rhinoceros_sondaicus, {{100, 0.96}}
Rhinocerus_unicornis, {{97, 0.88}, {3, 0.87}}
Camelus_bactrianus, {{67, 0.42}, {33, 0.41}}
Sus_scrofa, {{79, 0.09}, {21, 0.08}}
Baryonyx.1, {{100, 0.97}}
Spinosaurus.3, {{100, 0.98}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{1, 0.96}, {99, 0.97}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{64, 0.99}, {36, 1.0}}
Eudyptes_chrysocome, {{100, 0.92}}
Phalacrocorax_harris, {{100, 0.84}}
Microgale_thomasi, {{4, 0.15}, {96, 0.14}}
Cercopithecus_mona, {{100, 0.02}}
Hydromys_chrysogaster, {{100, 0.81}}
Hemiechinus_azurites, {{100, 0.09}}
Ursus_spelaeus, {{69, 0.92}, {31, 0.93}}
Callophoca_obscura, {{74, 0.64}, {26, 0.65}}
Mustela_nivalis, {{100, 0.28}}
Giraffa_camelopardalis, {{20, 0.1}, {80, 0.09}}
Aepyceros_melampus, {{96, 0.34}, {4, 0.35}}
Neusticosaurus, {{100, 1.0}}
Carentonosaurus_mineaui, {{100, 0.99}}
Baryonyx.1, {{100, 0.97}}
Spinosaurus.3, {{100, 0.97}}
Spinosaurus.2, {{95, 0.99}, {5, 1.0}}
Spinosaurus.1, {{100, 0.96}}
Baryonyx, {{100, 0.99}}
Spinosaurus, {{100, 0.99}}
Strigiops_habroptilus, {{15, 0.15}, {85, 0.16}}
Dasyurus_maculatus, {{100, 0.5}}
Paleoparadoxia_sp, {{100, 0.99}}
Noemys_fodies, {{100, 0.61}}
Diplomesodon_pulchellum, {{32, 0.3}, {68, 0.31}}
