Dallasaurus_turneri, {{100, 0.37}}
Platecarpus_sp., {{100, 0.94}}
Crocodylus_niloticus, {{100, 0.99}}
Baryonyx.1, {{100, 0.97}}
Spinosaurus.3, {{100, 0.98}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.97}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{8, 0.99}, {92, 1.0}}
Struthio_camelus, {{2, 0.2}, {98, 0.19}}
Strigiops_habroptilus, {{100, 0.12}}
Aptenodytes_patagonicus, {{100, 0.67}}
Choloepus_didactylus, {{100, 0.08}}
Rhynchocyon_petersi, {{100, 0.22}}
Cercopithecus_mona, {{100, 0.02}}
Dasyprocta__punctata, {{100, 0.03}}
Choeropsis_liberiensis, {{100, 0.6}}
Ovis_aries, {{100, 0.15}}
Baryonyx.1, {{100, 0.98}}
Spinosaurus.3, {{100, 0.98}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.97}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Atlantisia_rogersi, {{100, 0.37}}
Monodelphis_domestica, {{100, 0.17}}
Macropus_rufus, {{32, 0.61}, {68, 0.6}}
Ashoroa_laticosta, {{100, 0.99}}
Castor_fiber, {{100, 0.95}}
Tremarctos_ornatus, {{86, 0.74}, {14, 0.75}}
Phoca_vitulina, {{64, 0.0}, {36, 0.01}}
Martes_foina, {{100, 0.18}}
Lutra_vulgaris, {{100, 0.95}}
Rodhocetus, {{100, 0.99}}
Orcinus_orca, {{100, 0.98}}
Nothosaurus_sp., {{100, 1.0}}
Mollesaurus, {{100, 0.87}}
Baryonyx.1, {{97, 0.98}, {3, 0.97}}
Spinosaurus.3, {{100, 0.98}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.97}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Zaglossus_bruijni, {{100, 0.02}}
Apodemus_sp., {{100, 0.06}}
Galemys_pyrenaicus, {{86, 0.01}, {14, 0.02}}
Noemys_fodies, {{100, 0.53}}
Vulpes_vulpes, {{100, 0.04}}
Martes_martes, {{2, 0.1}, {98, 0.11}}
Ceratotherium_simum, {{100, 0.6}}
Delphinapterus_leucas, {{100, 0.96}}
Rangifer_tarandus, {{100, 0.64}}
Hemitragus_jayakari, {{100, 0.14}}
Neusticosaurus, {{100, 1.0}}
Metriorhynchid_indet., {{100, 0.38}}
Baryonyx.1, {{100, 0.98}}
Spinosaurus.3, {{44, 0.98}, {56, 0.99}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.98}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Spheniscus_humboldti, {{100, 0.96}}
Trichechus_manatus, {{100, 1.0}}
Desmostylus_hesperus, {{100, 0.21}}
Diplomesodon_pulchellum, {{100, 0.28}}
Ursus_spelaeus, {{2, 0.94}, {98, 0.93}}
Rhinoceros_sondaicus, {{100, 0.97}}
Basilosaurus, {{100, 1.0}}
Monodon_monoceros, {{100, 0.71}}
Giraffa_camelopardalis, {{100, 0.05}}
Clidastes_sp., {{2, 0.88}, {98, 0.87}}
Baryonyx.1, {{100, 0.97}}
Spinosaurus.3, {{100, 0.97}}
Spinosaurus.2, {{61, 0.99}, {39, 1.0}}
Spinosaurus.1, {{100, 0.96}}
Baryonyx, {{74, 0.99}, {26, 1.0}}
Spinosaurus, {{100, 0.99}}
Caloenas_nicobarica, {{100, 0.34}}
Eudyptes_chrysocome, {{100, 0.91}}
Ornithorhynchus_anatinus, {{100, 0.92}}
Orycteropus_afer, {{100, 0.08}}
Paleoparadoxia_sp, {{100, 0.99}}
Galagoides_demidovii, {{100, 0.02}}
Rattus_rattus, {{100, 0.33}}
Mustela_nivalis, {{100, 0.3}}
Camelus_bactrianus, {{61, 0.34}, {39, 0.35}}
Bison_bonasus, {{100, 0.04}}
Crocodylus_sp., {{100, 0.98}}
Baryonyx.1, {{100, 0.97}}
Spinosaurus.3, {{100, 0.97}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.96}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 0.99}}
Phalacrocorax_harris, {{44, 0.84}, {56, 0.83}}
Microgale_thomasi, {{83, 0.15}, {17, 0.16}}
