Neusticosaurus, {{1, {{47, 6, 4, 25}, 1.0}}, {99, {{46, 6, 5, 25}, 1.0}}}
Carentonosaurus_mineaui, {{1, {{47, 6, 4, 25}, 1.0}}, {99, {{46, 6, 5, 25}, 1.0}}}
Baryonyx.1, {{99, {{46, 6, 5, 25}, 0.98}}, {1, {{47, 6, 4, 25}, 0.98}}}
Spinosaurus.3, {{90, {{46, 6, 5, 25}, 0.99}}, {1, {{47, 6, 4, 25}, 0.99}}, {9, {{46, 6, 5, 25}, 0.98}}}
Spinosaurus.2, {{1, {{47, 6, 4, 25}, 1.0}}, {99, {{46, 6, 5, 25}, 1.0}}}
Spinosaurus.1, {{99, {{46, 6, 5, 25}, 0.98}}, {1, {{47, 6, 4, 25}, 0.98}}}
Baryonyx, {{1, {{47, 6, 4, 25}, 1.0}}, {99, {{46, 6, 5, 25}, 1.0}}}
Spinosaurus, {{1, {{47, 6, 4, 25}, 1.0}}, {99, {{46, 6, 5, 25}, 1.0}}}
Monodelphis_domestica, {{1, {{47, 6, 4, 25}, 0.06}}, {99, {{46, 6, 5, 25}, 0.06}}}
Myoprocta_pratti, {{99, {{46, 6, 5, 25}, 0.0}}, {1, {{47, 6, 4, 25}, 0.0}}}
Panthera_leo_persica, {{99, {{46, 6, 5, 25}, 0.0}}, {1, {{47, 6, 4, 25}, 0.0}}}
Canis_lupus, {{99, {{46, 6, 5, 25}, 0.02}}, {1, {{47, 6, 4, 25}, 0.02}}}
Mustela_nivalis, {{40, {{46, 6, 5, 25}, 0.21}}, {1, {{47, 6, 4, 25}, 0.21}}, {59, {{46, 6, 5, 25}, 0.22}}}
Equus_caballus, {{15, {{46, 6, 5, 25}, 0.17}}, {84, {{46, 6, 5, 25}, 0.18}}, {1, {{47, 6, 4, 25}, 0.17}}}
Dorudon, {{1, {{47, 6, 4, 25}, 1.0}}, {99, {{46, 6, 5, 25}, 1.0}}}
Bison_bison, {{99, {{46, 6, 5, 25}, 0.09}}, {1, {{47, 6, 4, 25}, 0.09}}}
Nothosaurus_sp., {{100, {{47, 6, 5, 25}, 1.0}}}
Crocodylus_sp., {{100, {{47, 6, 5, 25}, 1.0}}}
Baryonyx.1, {{17, {{47, 6, 5, 25}, 0.98}}, {83, {{47, 6, 5, 25}, 0.99}}}
Spinosaurus.3, {{100, {{47, 6, 5, 25}, 0.99}}}
Spinosaurus.2, {{100, {{47, 6, 5, 25}, 1.0}}}
Spinosaurus.1, {{100, {{47, 6, 5, 25}, 0.98}}}
Baryonyx, {{100, {{47, 6, 5, 25}, 1.0}}}
Spinosaurus, {{100, {{47, 6, 5, 25}, 1.0}}}
Atlantisia_rogersi, {{73, {{47, 6, 5, 25}, 0.36}}, {27, {{47, 6, 5, 25}, 0.37}}}
Orycteropus_afer, {{100, {{47, 6, 5, 25}, 0.0}}}
Tenrec_ecaudatus, {{100, {{47, 6, 5, 25}, 0.18}}}
Lepus_europaeus, {{68, {{47, 6, 5, 25}, 0.17}}, {32, {{47, 6, 5, 25}, 0.16}}}
Desmana_moschata, {{100, {{47, 6, 5, 25}, 0.97}}}
Erinaceus_europaeus, {{100, {{47, 6, 5, 25}, 0.02}}}
Martes_martes, {{100, {{47, 6, 5, 25}, 0.03}}}
Baryonyx.1, {{100, {{45, 6, 4, 27}, 0.99}}}
Spinosaurus.3, {{100, {{45, 6, 4, 27}, 0.99}}}
Spinosaurus.2, {{100, {{45, 6, 4, 27}, 1.0}}}
Spinosaurus.1, {{100, {{45, 6, 4, 27}, 0.99}}}
Baryonyx, {{100, {{45, 6, 4, 27}, 1.0}}}
Spinosaurus, {{100, {{45, 6, 4, 27}, 1.0}}}
Didelphis_sp., {{100, {{45, 6, 4, 27}, 0.0}}}
Dasyurus_maculatus, {{100, {{45, 6, 4, 27}, 0.31}}}
Macropus_rufus, {{88, {{45, 6, 4, 27}, 0.33}}, {12, {{45, 6, 4, 27}, 0.32}}}
Rhynchocyon_petersi, {{100, {{45, 6, 4, 27}, 0.08}}}
Cercopithecus_mona, {{100, {{45, 6, 4, 27}, 0.0}}}
Dasyprocta__punctata, {{100, {{45, 6, 4, 27}, 0.0}}}
Castor_fiber, {{100, {{45, 6, 4, 27}, 0.99}}}
Crocidura_russula, {{13, {{45, 6, 4, 27}, 0.03}}, {87, {{45, 6, 4, 27}, 0.02}}}
Felis_silvestris, {{100, {{45, 6, 4, 27}, 0.02}}}
Aepyceros_melampus, {{100, {{45, 6, 4, 27}, 0.06}}}
Serpianosaurus, {{100, {{51, 3, 3, 26}, 1.0}}}
Baryonyx.1, {{100, {{51, 3, 3, 26}, 1.0}}}
Spinosaurus.3, {{100, {{51, 3, 3, 26}, 1.0}}}
Spinosaurus.2, {{100, {{51, 3, 3, 26}, 1.0}}}
Spinosaurus.1, {{100, {{51, 3, 3, 26}, 1.0}}}
Baryonyx, {{100, {{51, 3, 3, 26}, 1.0}}}
Spinosaurus, {{100, {{51, 3, 3, 26}, 1.0}}}
Struthio_camelus, {{100, {{51, 3, 3, 26}, 0.0}}}
Vombatus_ursinus, {{93, {{51, 3, 3, 26}, 0.97}}, {7, {{51, 3, 3, 26}, 0.98}}}
Arvicola_amphibius, {{100, {{51, 3, 3, 26}, 0.0}}}
Apodemus_sp., {{100, {{51, 3, 3, 26}, 0.0}}}
Euroscaptor_micrura, {{100, {{51, 3, 3, 26}, 0.01}}}
Noemys_fodies, {{94, {{51, 3, 3, 26}, 0.72}}, {6, {{51, 3, 3, 26}, 0.73}}}
Neovison_vison, {{87, {{51, 3, 3, 26}, 0.02}}, {13, {{51, 3, 3, 26}, 0.03}}}
Choeropsis_liberiensis, {{14, {{51, 3, 3, 26}, 0.29}}, {1, {{51, 3, 3, 26}, 0.31}}, {85, {{51, 3, 3, 26}, 0.3}}}
Crocodylus_niloticus, {{100, {{50, 6, 4, 23}, 1.0}}}
Baryonyx.1, {{100, {{50, 6, 4, 23}, 1.0}}}
Spinosaurus.3, {{100, {{50, 6, 4, 23}, 1.0}}}
Spinosaurus.2, {{100, {{50, 6, 4, 23}, 1.0}}}
Spinosaurus.1, {{100, {{50, 6, 4, 23}, 1.0}}}
Baryonyx, {{100, {{50, 6, 4, 23}, 1.0}}}
Spinosaurus, {{100, {{50, 6, 4, 23}, 1.0}}}
Caloenas_nicobarica, {{19, {{50, 6, 4, 23}, 0.07}}, {81, {{50, 6, 4, 23}, 0.08}}}
Phalacrocorax_harris, {{100, {{50, 6, 4, 23}, 0.97}}}
Zaglossus_bruijni, {{100, {{50, 6, 4, 23}, 0.0}}}
Trichechus_manatus, {{100, {{50, 6, 4, 23}, 1.0}}}
Sciurus_vulgaris, {{100, {{50, 6, 4, 23}, 0.01}}}
Rattus_rattus, {{20, {{50, 6, 4, 23}, 0.15}}, {80, {{50, 6, 4, 23}, 0.16}}}
Nanophoca_vitulinoides, {{100, {{50, 6, 4, 23}, 1.0}}}
Lutra_vulgaris, {{100, {{50, 6, 4, 23}, 0.99}}}
Baryonyx.1, {{37, {{48, 6, 4, 25}, 0.99}}, {63, {{48, 6, 4, 25}, 1.0}}}
Spinosaurus.3, {{100, {{48, 6, 4, 25}, 1.0}}}
Spinosaurus.2, {{100, {{48, 6, 4, 25}, 1.0}}}
Spinosaurus.1, {{100, {{48, 6, 4, 25}, 0.99}}}
Baryonyx, {{100, {{48, 6, 4, 25}, 1.0}}}
Spinosaurus, {{100, {{48, 6, 4, 25}, 1.0}}}
Apteryx_owenii, {{100, {{48, 6, 4, 25}, 0.48}}}
Casuarius_casuarius, {{100, {{48, 6, 4, 25}, 0.01}}}
Aptenodytes_patagonicus, {{86, {{48, 6, 4, 25}, 0.72}}, {14, {{48, 6, 4, 25}, 0.71}}}
Ashoroa_laticosta, {{100, {{48, 6, 4, 25}, 1.0}}}
Hemiechinus_azurites, {{100, {{48, 6, 4, 25}, 0.0}}}
Diplomesodon_pulchellum, {{2, {{48, 6, 4, 25}, 0.23}}, {91, {{48, 6, 4, 25}, 0.24}}, {7, {{48, 6, 4, 25}, 0.25}}}
Tapirus_terrestris, {{100, {{48, 6, 4, 25}, 0.62}}}
Sus_scrofa, {{100, {{48, 6, 4, 25}, 0.0}}}
Rangifer_tarandus, {{37, {{48, 6, 4, 25}, 0.24}}, {63, {{48, 6, 4, 25}, 0.25}}}
Baryonyx.1, {{100, {{50, 5, 1, 27}, 1.0}}}
Spinosaurus.3, {{100, {{50, 5, 1, 27}, 1.0}}}
Spinosaurus.2, {{100, {{50, 5, 1, 27}, 1.0}}}
Spinosaurus.1, {{100, {{50, 5, 1, 27}, 1.0}}}
Baryonyx, {{100, {{50, 5, 1, 27}, 1.0}}}
Spinosaurus, {{100, {{50, 5, 1, 27}, 1.0}}}
Strigiops_habroptilus, {{77, {{50, 5, 1, 27}, 0.0}}, {23, {{50, 5, 1, 27}, 0.01}}}
Microgale_thomasi, {{100, {{50, 5, 1, 27}, 0.02}}}
Vulpes_vulpes, {{100, {{50, 5, 1, 27}, 0.0}}}
Tremarctos_ornatus, {{88, {{50, 5, 1, 27}, 0.49}}, {12, {{50, 5, 1, 27}, 0.48}}}
Ursus_spelaeus, {{16, {{50, 5, 1, 27}, 0.97}}, {84, {{50, 5, 1, 27}, 0.98}}}
Martes_foina, {{100, {{50, 5, 1, 27}, 0.01}}}
Tapirus_indicus, {{100, {{50, 5, 1, 27}, 0.0}}}
Hippopotamus_amphibius, {{27, {{50, 5, 1, 27}, 0.92}}, {73, {{50, 5, 1, 27}, 0.91}}}
Bison_bonasus, {{100, {{50, 5, 1, 27}, 0.0}}}
Baryonyx.1, {{100, {{47, 5, 3, 28}, 1.0}}}
Spinosaurus.3, {{100, {{47, 5, 3, 28}, 1.0}}}
Spinosaurus.2, {{100, {{47, 5, 3, 28}, 1.0}}}
Spinosaurus.1, {{100, {{47, 5, 3, 28}, 1.0}}}
Baryonyx, {{100, {{47, 5, 3, 28}, 1.0}}}
Spinosaurus, {{100, {{47, 5, 3, 28}, 1.0}}}
Procavia_capensis, {{100, {{47, 5, 3, 28}, 0.0}}}
Galagoides_demidovii, {{100, {{47, 5, 3, 28}, 0.0}}}
Gorilla_gorilla, {{100, {{47, 5, 3, 28}, 0.0}}}
Galemys_pyrenaicus, {{100, {{47, 5, 3, 28}, 0.0}}}
Genetta_genetta, {{100, {{47, 5, 3, 28}, 0.0}}}
Taxidea_taxus, {{100, {{47, 5, 3, 28}, 0.04}}}
Cervus_elaphus_canadensis, {{100, {{47, 5, 3, 28}, 0.0}}}
Hemitragus_jayakari, {{100, {{47, 5, 3, 28}, 0.0}}}
Capra_aegagrus, {{100, {{47, 5, 3, 28}, 0.56}}}
Baryonyx.1, {{100, {{50, 6, 4, 23}, 1.0}}}
Spinosaurus.3, {{100, {{50, 6, 4, 23}, 1.0}}}
Spinosaurus.2, {{100, {{50, 6, 4, 23}, 1.0}}}
Spinosaurus.1, {{100, {{50, 6, 4, 23}, 1.0}}}
Baryonyx, {{100, {{50, 6, 4, 23}, 1.0}}}
Spinosaurus, {{100, {{50, 6, 4, 23}, 1.0}}}
Spheniscus_humboldti, {{89, {{50, 6, 4, 23}, 1.0}}, {11, {{50, 6, 4, 23}, 0.99}}}
Eudyptes_chrysocome, {{100, {{50, 6, 4, 23}, 0.99}}}
Tachyglossus_aculeatus_setosus, {{100, {{50, 6, 4, 23}, 0.01}}}
Dugong_dugon, {{100, {{50, 6, 4, 23}, 1.0}}}
Paleoparadoxia_sp, {{100, {{50, 6, 4, 23}, 1.0}}}
Camelus_bactrianus, {{100, {{50, 6, 4, 23}, 0.02}}}
Basilosaurus, {{100, {{50, 6, 4, 23}, 1.0}}}
Capreolus_capreolus, {{100, {{50, 6, 4, 23}, 0.0}}}
Ovis_aries, {{100, {{50, 6, 4, 23}, 0.01}}}
Ceresiosaurus, {{100, {{51, 5, 4, 23}, 1.0}}}
Baryonyx.1, {{100, {{51, 5, 4, 23}, 0.99}}}
Spinosaurus.3, {{89, {{51, 5, 4, 23}, 0.99}}, {11, {{51, 5, 4, 23}, 1.0}}}
Spinosaurus.2, {{100, {{51, 5, 4, 23}, 1.0}}}
Spinosaurus.1, {{100, {{51, 5, 4, 23}, 0.99}}}
Baryonyx, {{100, {{51, 5, 4, 23}, 1.0}}}
Spinosaurus, {{100, {{51, 5, 4, 23}, 1.0}}}
Ornithorhynchus_anatinus, {{100, {{51, 5, 4, 23}, 0.99}}}
Perameles_nasuta, {{83, {{51, 5, 4, 23}, 0.04}}, {17, {{51, 5, 4, 23}, 0.05}}}
Choloepus_didactylus, {{100, {{51, 5, 4, 23}, 0.0}}}
Myocastor_coypus, {{100, {{51, 5, 4, 23}, 0.02}}}
Hydromys_chrysogaster, {{80, {{51, 5, 4, 23}, 0.92}}, {20, {{51, 5, 4, 23}, 0.91}}}
Enhydra_lutris, {{100, {{51, 5, 4, 23}, 0.99}}}
Rodhocetus, {{100, {{51, 5, 4, 23}, 1.0}}}
Giraffa_camelopardalis, {{100, {{51, 5, 4, 23}, 0.0}}}
