Baryonyx.1, {{100, 0.99}}
Spinosaurus.3, {{100, 0.99}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.99}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Strigiops_habroptilus, {{100, 0.01}}
Didelphis_sp., {{100, 0.0}}
Perameles_nasuta, {{100, 0.03}}
Ashoroa_laticosta, {{100, 1.0}}
Lepus_europaeus, {{62, 0.07}, {38, 0.06}}
Hydromys_chrysogaster, {{100, 0.97}}
Euroscaptor_micrura, {{5, 0.07}, {95, 0.06}}
Erinaceus_europaeus, {{100, 0.0}}
Tapirus_indicus, {{100, 0.0}}
Cervus_elaphus_canadensis, {{100, 0.0}}
Carentonosaurus_mineaui, {{100, 1.0}}
Baryonyx.1, {{100, 0.99}}
Spinosaurus.3, {{88, 0.99}, {12, 1.0}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.99}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Struthio_camelus, {{6, 0.01}, {94, 0.02}}
Apteryx_owenii, {{45, 0.47}, {55, 0.46}}
Ornithorhynchus_anatinus, {{100, 0.99}}
Monodelphis_domestica, {{78, 0.03}, {22, 0.02}}
Galagoides_demidovii, {{100, 0.0}}
Desmana_moschata, {{100, 0.98}}
Panthera_leo_persica, {{100, 0.0}}
Canis_lupus, {{100, 0.01}}
Baryonyx.1, {{100, 1.0}}
Spinosaurus.3, {{100, 1.0}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 1.0}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Microgale_thomasi, {{100, 0.0}}
Dasyprocta__punctata, {{100, 0.0}}
Myocastor_coypus, {{100, 0.0}}
Galemys_pyrenaicus, {{100, 0.0}}
Hemiechinus_azurites, {{100, 0.0}}
Diplomesodon_pulchellum, {{22, 0.01}, {78, 0.02}}
Genetta_genetta, {{100, 0.0}}
Neovison_vison, {{100, 0.0}}
Tapirus_terrestris, {{100, 0.58}}
Camelus_bactrianus, {{100, 0.0}}
Baryonyx.1, {{100, 1.0}}
Spinosaurus.3, {{100, 1.0}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 1.0}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Trichechus_manatus, {{100, 1.0}}
Gorilla_gorilla, {{100, 0.0}}
Arvicola_amphibius, {{100, 0.0}}
Apodemus_sp., {{100, 0.0}}
Vulpes_vulpes, {{100, 0.0}}
Tremarctos_ornatus, {{100, 0.68}}
Ursus_spelaeus, {{100, 0.99}}
Equus_caballus, {{81, 0.07}, {19, 0.08}}
Rodhocetus, {{100, 1.0}}
Nothosaurus_sp., {{100, 1.0}}
Serpianosaurus, {{100, 1.0}}
Baryonyx.1, {{100, 0.98}}
Spinosaurus.3, {{100, 0.98}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.97}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Aptenodytes_patagonicus, {{100, 0.69}}
Tenrec_ecaudatus, {{100, 0.22}}
Dugong_dugon, {{100, 1.0}}
Martes_foina, {{12, 0.07}, {88, 0.08}}
Mustela_nivalis, {{92, 0.28}, {8, 0.27}}
Aepyceros_melampus, {{100, 0.12}}
Ovis_aries, {{100, 0.04}}
Baryonyx.1, {{100, 1.0}}
Spinosaurus.3, {{100, 1.0}}
Spinosaurus.2, {{100, 1.0}}
