Ornithorhynchus_anatinus, {{98, {{86, 5, 11, 42}, 0.99}}, {2, {{87, 5, 10, 42}, 0.99}}}
Chironectes_minimus, {{1, {{87, 5, 10, 42}, 0.99}}, {98, {{86, 5, 11, 42}, 0.98}}, {1, {{87, 5, 10, 42}, 0.98}}}
Myrmecophaga_tridactyla, {{2, {{87, 5, 10, 42}, 0.77}}, {22, {{86, 5, 11, 42}, 0.76}}, {76, {{86, 5, 11, 42}, 0.77}}}
Mustela_nivalis, {{98, {{86, 5, 11, 42}, 0.02}}, {2, {{87, 5, 10, 42}, 0.02}}}
Uncia_uncia, {{44, {{86, 5, 11, 42}, 0.05}}, {2, {{87, 5, 10, 42}, 0.05}}, {54, {{86, 5, 11, 42}, 0.06}}}
Pogona_viceps, {{98, {{86, 5, 11, 42}, 0.0}}, {2, {{87, 5, 10, 42}, 0.0}}}
Protochampsidae, {{13, {{86, 5, 11, 42}, 0.11}}, {31, {{86, 5, 11, 42}, 0.09}}, {5, {{86, 5, 11, 42}, 0.08}}, {2, {{87, 5, 10, 42}, 0.09}}, {49, {{86, 5, 11, 42}, 0.1}}}
Mussaurus, {{1, {{87, 5, 10, 42}, 0.21}}, {8, {{86, 5, 11, 42}, 0.19}}, {22, {{86, 5, 11, 42}, 0.22}}, {18, {{86, 5, 11, 42}, 0.23}}, {1, {{86, 5, 11, 42}, 0.18}}, {8, {{86, 5, 11, 42}, 0.24}}, {17, {{86, 5, 11, 42}, 0.2}}, {3, {{86, 5, 11, 42}, 0.25}}, {21, {{86, 5, 11, 42}, 0.21}}, {1, {{87, 5, 10, 42}, 0.2}}}
Spinosaurus_.11, {{4, {{86, 5, 11, 42}, 0.16}}, {11, {{86, 5, 11, 42}, 0.19}}, {1, {{86, 5, 11, 42}, 0.26}}, {1, {{87, 5, 10, 42}, 0.19}}, {10, {{86, 5, 11, 42}, 0.17}}, {15, {{86, 5, 11, 42}, 0.22}}, {13, {{86, 5, 11, 42}, 0.23}}, {8, {{86, 5, 11, 42}, 0.18}}, {6, {{86, 5, 11, 42}, 0.24}}, {14, {{86, 5, 11, 42}, 0.2}}, {2, {{86, 5, 11, 42}, 0.25}}, {2, {{86, 5, 11, 42}, 0.15}}, {12, {{86, 5, 11, 42}, 0.21}}, {1, {{87, 5, 10, 42}, 0.15}}}
Spinosaurus_.10, {{1, {{87, 5, 10, 42}, 0.21}}, {10, {{86, 5, 11, 42}, 0.31}}, {13, {{86, 5, 11, 42}, 0.3}}, {2, {{86, 5, 11, 42}, 0.34}}, {5, {{86, 5, 11, 42}, 0.33}}, {11, {{86, 5, 11, 42}, 0.26}}, {1, {{86, 5, 11, 42}, 0.22}}, {7, {{86, 5, 11, 42}, 0.23}}, {6, {{86, 5, 11, 42}, 0.32}}, {6, {{86, 5, 11, 42}, 0.28}}, {1, {{87, 5, 10, 42}, 0.23}}, {6, {{86, 5, 11, 42}, 0.24}}, {8, {{86, 5, 11, 42}, 0.25}}, {1, {{86, 5, 11, 42}, 0.21}}, {14, {{86, 5, 11, 42}, 0.29}}, {8, {{86, 5, 11, 42}, 0.27}}}
Spinosaurus_.9, {{98, {{86, 5, 11, 42}, 1.0}}, {2, {{87, 5, 10, 42}, 1.0}}}
Spinosaurus_.8, {{98, {{86, 5, 11, 42}, 1.0}}, {2, {{87, 5, 10, 42}, 1.0}}}
Spinosaurus_.7, {{10, {{86, 5, 11, 42}, 0.99}}, {88, {{86, 5, 11, 42}, 1.0}}, {2, {{87, 5, 10, 42}, 1.0}}}
Spinosaurus_.6, {{53, {{86, 5, 11, 42}, 0.97}}, {2, {{87, 5, 10, 42}, 0.97}}, {44, {{86, 5, 11, 42}, 0.98}}, {1, {{86, 5, 11, 42}, 0.96}}}
Spinosaurus_.5, {{98, {{86, 5, 11, 42}, 1.0}}, {2, {{87, 5, 10, 42}, 1.0}}}
Spinosaurus_.4, {{98, {{86, 5, 11, 42}, 1.0}}, {2, {{87, 5, 10, 42}, 1.0}}}
Spinosaurus_.3, {{98, {{86, 5, 11, 42}, 1.0}}, {2, {{87, 5, 10, 42}, 1.0}}}
Spinosaurus_.2, {{23, {{86, 5, 11, 42}, 0.99}}, {1, {{87, 5, 10, 42}, 0.99}}, {75, {{86, 5, 11, 42}, 1.0}}, {1, {{87, 5, 10, 42}, 1.0}}}
Spinosaurus_.1, {{1, {{87, 5, 10, 42}, 0.96}}, {71, {{86, 5, 11, 42}, 0.97}}, {1, {{87, 5, 10, 42}, 0.97}}, {19, {{86, 5, 11, 42}, 0.98}}, {8, {{86, 5, 11, 42}, 0.96}}}
Spinosaurus_, {{98, {{86, 5, 11, 42}, 1.0}}, {2, {{87, 5, 10, 42}, 1.0}}}
Baryonyx.3, {{47, {{86, 5, 11, 42}, 0.93}}, {2, {{87, 5, 10, 42}, 0.93}}, {4, {{86, 5, 11, 42}, 0.94}}, {46, {{86, 5, 11, 42}, 0.92}}, {1, {{86, 5, 11, 42}, 0.91}}}
Baryonyx.2, {{83, {{86, 5, 11, 42}, 0.99}}, {15, {{86, 5, 11, 42}, 1.0}}, {2, {{87, 5, 10, 42}, 1.0}}}
Baryonyx.1, {{98, {{86, 5, 11, 42}, 1.0}}, {2, {{87, 5, 10, 42}, 1.0}}}
Suchomimus.3, {{50, {{86, 5, 11, 42}, 0.02}}, {2, {{87, 5, 10, 42}, 0.02}}, {48, {{86, 5, 11, 42}, 0.03}}}
Suchomimus.2, {{19, {{86, 5, 11, 42}, 0.19}}, {1, {{87, 5, 10, 42}, 0.19}}, {11, {{86, 5, 11, 42}, 0.22}}, {5, {{86, 5, 11, 42}, 0.23}}, {4, {{86, 5, 11, 42}, 0.18}}, {1, {{86, 5, 11, 42}, 0.24}}, {27, {{86, 5, 11, 42}, 0.2}}, {31, {{86, 5, 11, 42}, 0.21}}, {1, {{87, 5, 10, 42}, 0.2}}}
Suchomimus.1, {{70, {{86, 5, 11, 42}, 0.02}}, {2, {{87, 5, 10, 42}, 0.02}}, {28, {{86, 5, 11, 42}, 0.03}}}
Suchomimus, {{26, {{86, 5, 11, 42}, 0.19}}, {2, {{87, 5, 10, 42}, 0.19}}, {4, {{86, 5, 11, 42}, 0.22}}, {2, {{86, 5, 11, 42}, 0.23}}, {11, {{86, 5, 11, 42}, 0.18}}, {35, {{86, 5, 11, 42}, 0.2}}, {20, {{86, 5, 11, 42}, 0.21}}}
Baryonyx, {{98, {{86, 5, 11, 42}, 1.0}}, {2, {{87, 5, 10, 42}, 1.0}}}
Troodon_formosus, {{1, {{86, 5, 11, 42}, 0.4}}, {22, {{86, 5, 11, 42}, 0.38}}, {10, {{86, 5, 11, 42}, 0.36}}, {2, {{86, 5, 11, 42}, 0.34}}, {10, {{86, 5, 11, 42}, 0.39}}, {1, {{87, 5, 10, 42}, 0.36}}, {16, {{86, 5, 11, 42}, 0.35}}, {1, {{87, 5, 10, 42}, 0.35}}, {37, {{86, 5, 11, 42}, 0.37}}}
Avimaia, {{98, {{86, 5, 11, 42}, 0.0}}, {2, {{87, 5, 10, 42}, 0.0}}}
Hesperornis, {{80, {{86, 5, 11, 42}, 0.95}}, {2, {{87, 5, 10, 42}, 0.95}}, {18, {{86, 5, 11, 42}, 0.94}}}
Goura_cristata, {{98, {{86, 5, 11, 42}, 0.0}}, {2, {{87, 5, 10, 42}, 0.0}}}
Aramus_guarauna, {{98, {{86, 5, 11, 42}, 0.0}}, {2, {{87, 5, 10, 42}, 0.0}}}
Psophia_crepitans_napensis, {{98, {{86, 5, 11, 42}, 0.0}}, {2, {{87, 5, 10, 42}, 0.0}}}
Nestor_notabilis, {{98, {{86, 5, 11, 42}, 0.0}}, {2, {{87, 5, 10, 42}, 0.0}}}
Phoenicopterus_roseus, {{98, {{86, 5, 11, 42}, 0.0}}, {2, {{87, 5, 10, 42}, 0.0}}}
Rynochetus_jubatus, {{98, {{86, 5, 11, 42}, 0.0}}, {2, {{87, 5, 10, 42}, 0.0}}}
Meles_meles, {{42, {{88, 5, 10, 42}, 0.02}}, {24, {{87, 5, 11, 42}, 0.03}}, {22, {{88, 5, 10, 42}, 0.03}}, {12, {{87, 5, 11, 42}, 0.02}}}
Vulpes_vulpes, {{36, {{87, 5, 11, 42}, 0.0}}, {64, {{88, 5, 10, 42}, 0.0}}}
Remingtonocetus, {{17, {{87, 5, 11, 42}, 0.83}}, {40, {{88, 5, 10, 42}, 0.84}}, {24, {{88, 5, 10, 42}, 0.83}}, {19, {{87, 5, 11, 42}, 0.84}}}
Capreolus_capreolus, {{36, {{87, 5, 11, 42}, 0.0}}, {64, {{88, 5, 10, 42}, 0.0}}}
Serpianosaurus, {{36, {{87, 5, 11, 42}, 1.0}}, {64, {{88, 5, 10, 42}, 1.0}}}
Nothosaurus_giganteus, {{1, {{88, 5, 10, 42}, 0.81}}, {21, {{87, 5, 11, 42}, 0.83}}, {12, {{88, 5, 10, 42}, 0.82}}, {24, {{88, 5, 10, 42}, 0.84}}, {1, {{87, 5, 11, 42}, 0.85}}, {25, {{88, 5, 10, 42}, 0.83}}, {2, {{88, 5, 10, 42}, 0.85}}, {1, {{87, 5, 11, 42}, 0.81}}, {6, {{87, 5, 11, 42}, 0.82}}, {7, {{87, 5, 11, 42}, 0.84}}}
Nothosaurus_mirabilis, {{36, {{87, 5, 11, 42}, 1.0}}, {64, {{88, 5, 10, 42}, 1.0}}}
Plateosaurus, {{36, {{87, 5, 11, 42}, 0.0}}, {64, {{88, 5, 10, 42}, 0.0}}}
Spinosaurus_.11, {{7, {{88, 5, 10, 42}, 0.19}}, {12, {{88, 5, 10, 42}, 0.17}}, {10, {{88, 5, 10, 42}, 0.18}}, {5, {{87, 5, 11, 42}, 0.2}}, {1, {{87, 5, 11, 42}, 0.15}}, {1, {{87, 5, 11, 42}, 0.21}}, {3, {{87, 5, 11, 42}, 0.14}}, {12, {{88, 5, 10, 42}, 0.2}}, {4, {{87, 5, 11, 42}, 0.16}}, {4, {{88, 5, 10, 42}, 0.15}}, {6, {{88, 5, 10, 42}, 0.21}}, {9, {{87, 5, 11, 42}, 0.19}}, {3, {{88, 5, 10, 42}, 0.14}}, {3, {{87, 5, 11, 42}, 0.17}}, {1, {{87, 5, 11, 42}, 0.22}}, {10, {{88, 5, 10, 42}, 0.16}}, {9, {{87, 5, 11, 42}, 0.18}}}
Spinosaurus_.10, {{11, {{88, 5, 10, 42}, 0.26}}, {4, {{88, 5, 10, 42}, 0.22}}, {5, {{88, 5, 10, 42}, 0.23}}, {5, {{88, 5, 10, 42}, 0.28}}, {5, {{87, 5, 11, 42}, 0.24}}, {3, {{87, 5, 11, 42}, 0.25}}, {2, {{87, 5, 11, 42}, 0.21}}, {3, {{87, 5, 11, 42}, 0.29}}, {8, {{87, 5, 11, 42}, 0.27}}, {6, {{88, 5, 10, 42}, 0.24}}, {1, {{88, 5, 10, 42}, 0.2}}, {6, {{88, 5, 10, 42}, 0.25}}, {3, {{88, 5, 10, 42}, 0.21}}, {6, {{88, 5, 10, 42}, 0.29}}, {4, {{87, 5, 11, 42}, 0.26}}, {11, {{88, 5, 10, 42}, 0.27}}, {6, {{88, 5, 10, 42}, 0.3}}, {3, {{87, 5, 11, 42}, 0.22}}, {3, {{87, 5, 11, 42}, 0.23}}, {5, {{87, 5, 11, 42}, 0.28}}}
Spinosaurus_.9, {{36, {{87, 5, 11, 42}, 1.0}}, {64, {{88, 5, 10, 42}, 1.0}}}
Spinosaurus_.8, {{36, {{87, 5, 11, 42}, 1.0}}, {64, {{88, 5, 10, 42}, 1.0}}}
Spinosaurus_.7, {{36, {{87, 5, 11, 42}, 1.0}}, {64, {{88, 5, 10, 42}, 1.0}}}
Spinosaurus_.6, {{21, {{88, 5, 10, 42}, 0.98}}, {26, {{87, 5, 11, 42}, 0.97}}, {43, {{88, 5, 10, 42}, 0.97}}, {10, {{87, 5, 11, 42}, 0.98}}}
Spinosaurus_.5, {{36, {{87, 5, 11, 42}, 1.0}}, {64, {{88, 5, 10, 42}, 1.0}}}
Spinosaurus_.4, {{36, {{87, 5, 11, 42}, 1.0}}, {64, {{88, 5, 10, 42}, 1.0}}}
Spinosaurus_.3, {{36, {{87, 5, 11, 42}, 1.0}}, {64, {{88, 5, 10, 42}, 1.0}}}
Spinosaurus_.2, {{36, {{87, 5, 11, 42}, 1.0}}, {64, {{88, 5, 10, 42}, 1.0}}}
Spinosaurus_.1, {{38, {{88, 5, 10, 42}, 0.98}}, {18, {{87, 5, 11, 42}, 0.97}}, {26, {{88, 5, 10, 42}, 0.97}}, {18, {{87, 5, 11, 42}, 0.98}}}
Spinosaurus_, {{36, {{87, 5, 11, 42}, 1.0}}, {64, {{88, 5, 10, 42}, 1.0}}}
Baryonyx.3, {{17, {{87, 5, 11, 42}, 0.9}}, {18, {{87, 5, 11, 42}, 0.91}}, {8, {{88, 5, 10, 42}, 0.92}}, {1, {{87, 5, 11, 42}, 0.89}}, {24, {{88, 5, 10, 42}, 0.9}}, {30, {{88, 5, 10, 42}, 0.91}}, {2, {{88, 5, 10, 42}, 0.89}}}
Baryonyx.2, {{1, {{87, 5, 11, 42}, 1.0}}, {15, {{88, 5, 10, 42}, 1.0}}, {35, {{87, 5, 11, 42}, 0.99}}, {49, {{88, 5, 10, 42}, 0.99}}}
Baryonyx.1, {{36, {{87, 5, 11, 42}, 1.0}}, {64, {{88, 5, 10, 42}, 1.0}}}
Suchomimus.3, {{36, {{87, 5, 11, 42}, 0.01}}, {64, {{88, 5, 10, 42}, 0.01}}}
Suchomimus.2, {{13, {{87, 5, 11, 42}, 0.12}}, {27, {{88, 5, 10, 42}, 0.12}}, {1, {{87, 5, 11, 42}, 0.14}}, {3, {{87, 5, 11, 42}, 0.11}}, {19, {{87, 5, 11, 42}, 0.13}}, {6, {{88, 5, 10, 42}, 0.14}}, {9, {{88, 5, 10, 42}, 0.11}}, {22, {{88, 5, 10, 42}, 0.13}}}
Suchomimus.1, {{36, {{87, 5, 11, 42}, 0.01}}, {64, {{88, 5, 10, 42}, 0.01}}}
Suchomimus, {{10, {{87, 5, 11, 42}, 0.12}}, {25, {{88, 5, 10, 42}, 0.12}}, {1, {{87, 5, 11, 42}, 0.15}}, {6, {{87, 5, 11, 42}, 0.14}}, {1, {{88, 5, 10, 42}, 0.15}}, {1, {{87, 5, 11, 42}, 0.11}}, {18, {{87, 5, 11, 42}, 0.13}}, {17, {{88, 5, 10, 42}, 0.14}}, {21, {{88, 5, 10, 42}, 0.13}}}
Baryonyx, {{36, {{87, 5, 11, 42}, 1.0}}, {64, {{88, 5, 10, 42}, 1.0}}}
Torvosaurus, {{4, {{87, 5, 11, 42}, 0.78}}, {21, {{88, 5, 10, 42}, 0.8}}, {21, {{88, 5, 10, 42}, 0.79}}, {14, {{88, 5, 10, 42}, 0.81}}, {7, {{88, 5, 10, 42}, 0.78}}, {1, {{88, 5, 10, 42}, 0.77}}, {11, {{87, 5, 11, 42}, 0.8}}, {16, {{87, 5, 11, 42}, 0.79}}, {5, {{87, 5, 11, 42}, 0.81}}}
Oviraptor_caenagnathid, {{36, {{87, 5, 11, 42}, 0.0}}, {64, {{88, 5, 10, 42}, 0.0}}}
Rahonavis, {{36, {{87, 5, 11, 42}, 0.0}}, {64, {{88, 5, 10, 42}, 0.0}}}
Rhynchotus_rufescens_, {{36, {{87, 5, 11, 42}, 0.0}}, {64, {{88, 5, 10, 42}, 0.0}}}
Anas_erythroincha, {{36, {{87, 5, 11, 42}, 0.01}}, {64, {{88, 5, 10, 42}, 0.01}}}
Anas_discors, {{36, {{87, 5, 11, 42}, 0.0}}, {64, {{88, 5, 10, 42}, 0.0}}}
Atlantisia_rogersi, {{36, {{87, 5, 11, 42}, 0.0}}, {64, {{88, 5, 10, 42}, 0.0}}}
Porphyrio_Poliocephalus, {{36, {{87, 5, 11, 42}, 0.0}}, {64, {{88, 5, 10, 42}, 0.0}}}
Microgale_thomasi, {{8, {{89, 5, 10, 41}, 0.0}}, {77, {{88, 5, 11, 41}, 0.0}}, {15, {{88, 5, 11, 41}, 0.01}}}
Tamandua_tetradactyla, {{3, {{88, 5, 11, 41}, 0.95}}, {8, {{89, 5, 10, 41}, 0.96}}, {89, {{88, 5, 11, 41}, 0.96}}}
Nyctereutes_procyonoides, {{1, {{89, 5, 10, 41}, 0.02}}, {7, {{89, 5, 10, 41}, 0.03}}, {92, {{88, 5, 11, 41}, 0.03}}}
Lama_guanicoe, {{8, {{89, 5, 10, 41}, 0.0}}, {92, {{88, 5, 11, 41}, 0.0}}}
Cephalophus_silvicultor, {{92, {{88, 5, 11, 41}, 0.04}}, {1, {{89, 5, 10, 41}, 0.03}}, {7, {{89, 5, 10, 41}, 0.04}}}
Simosaurus, {{8, {{89, 5, 10, 41}, 1.0}}, {92, {{88, 5, 11, 41}, 1.0}}}
Rhaeticosaurus, {{8, {{89, 5, 10, 41}, 1.0}}, {92, {{88, 5, 11, 41}, 1.0}}}
Cryptoclidus, {{8, {{89, 5, 10, 41}, 1.0}}, {92, {{88, 5, 11, 41}, 1.0}}}
Nothosaurus_568, {{8, {{89, 5, 10, 41}, 1.0}}, {92, {{88, 5, 11, 41}, 1.0}}}
Scutellosaurus_lawleri, {{20, {{88, 5, 11, 41}, 0.27}}, {16, {{88, 5, 11, 41}, 0.3}}, {2, {{89, 5, 10, 41}, 0.26}}, {3, {{89, 5, 10, 41}, 0.28}}, {3, {{88, 5, 11, 41}, 0.26}}, {26, {{88, 5, 11, 41}, 0.28}}, {3, {{89, 5, 10, 41}, 0.27}}, {27, {{88, 5, 11, 41}, 0.29}}}
