Monodelphis_domestica, {{91, 0.94}, {9, 0.95}}
Microgale_thomasi, {{100, 0.0}}
Rattus_rattus, {{100, 0.0}}
Paguma_larvata, {{47, 0.04}, {53, 0.03}}
Okapia_johnstoni, {{100, 0.01}}
Rangifer_tarandus, {{100, 0.0}}
Champsosaurus, {{100, 1.0}}
Pistosaurus, {{100, 1.0}}
Spinosaurus_.11, {{19, 0.12}, {24, 0.11}, {22, 0.1}, {4, 0.09}, {18, 0.13}, {13, 0.14}}
Spinosaurus_.10, {{12, 0.21}, {3, 0.22}, {8, 0.18}, {2, 0.15}, {24, 0.2}, {19, 0.17}, {13, 0.16}, {2, 0.23}, {1, 0.14}, {16, 0.19}}
Spinosaurus_.9, {{100, 1.0}}
Spinosaurus_.8, {{100, 1.0}}
Spinosaurus_.7, {{100, 1.0}}
Spinosaurus_.6, {{58, 0.98}, {42, 0.99}}
Spinosaurus_.5, {{100, 1.0}}
Spinosaurus_.4, {{100, 1.0}}
Spinosaurus_.3, {{100, 1.0}}
Spinosaurus_.2, {{100, 1.0}}
Spinosaurus_.1, {{14, 0.98}, {86, 0.99}}
Spinosaurus_, {{100, 1.0}}
Baryonyx.3, {{78, 0.92}, {8, 0.91}, {14, 0.93}}
Baryonyx.2, {{100, 1.0}}
Baryonyx.1, {{100, 1.0}}
Suchomimus.3, {{100, 0.0}}
Suchomimus.2, {{17, 0.07}, {68, 0.06}, {14, 0.05}, {1, 0.08}}
Suchomimus.1, {{100, 0.0}}
Suchomimus, {{43, 0.07}, {51, 0.06}, {5, 0.08}, {1, 0.05}}
Baryonyx, {{100, 1.0}}
Allosaurus_, {{100, 0.0}}
Gallus_domesticus, {{100, 0.0}}
Columba_, {{100, 0.0}}
Goura_cristata, {{100, 0.0}}
Podica_senegalensis, {{100, 0.0}}
Trybonix_ventralis, {{100, 0.0}}
Phalacrocorax_harrisi, {{3, 0.07}, {17, 0.09}, {80, 0.08}}
Pelagodroma_marina, {{100, 0.0}}
Aptenodytes______, {{100, 1.0}}
Nanophoca_vitulinoides, {{100, 1.0}}
Ursus_maritimus, {{80, 0.0}, {20, 0.01}}
Giraffa_camelopardalis, {{100, 0.0}}
Syncerus_caffer, {{44, 0.47}, {3, 0.45}, {33, 0.46}, {19, 0.48}, {1, 0.49}}
Placodontia_indet_1, {{100, 1.0}}
Simosaurus, {{100, 1.0}}
Simosaurus_1, {{58, 0.99}, {42, 1.0}}
Caiman_yacare, {{100, 1.0}}
