Myrmecophaga_tridactyla, {{61, 0.73}, {4, 0.74}, {33, 0.72}, {2, 0.71}}
Castor_fiber, {{29, 0.66}, {9, 0.64}, {62, 0.65}}
Otaria_byronia, {{4, 0.96}, {96, 0.97}}
Indohyus, {{100, 1.0}}
Elomeryx_borbonicus_, {{100, 0.0}}
Anarosaurus, {{100, 1.0}}
Serpianosaurus, {{100, 1.0}}
Nothosaurus_mirabilis_1, {{100, 0.99}}
Lacerta_viridis, {{24, 0.3}, {22, 0.32}, {54, 0.31}}
Pogona_viceps, {{100, 0.0}}
Caiman_yacare, {{100, 1.0}}
Spinosaurus_.11, {{1, 0.09}, {18, 0.15}, {7, 0.16}, {18, 0.12}, {11, 0.11}, {21, 0.13}, {21, 0.14}, {3, 0.1}}
Spinosaurus_.10, {{12, 0.16}, {14, 0.22}, {2, 0.15}, {12, 0.2}, {1, 0.14}, {11, 0.18}, {15, 0.21}, {14, 0.19}, {1, 0.24}, {13, 0.17}, {5, 0.23}}
Spinosaurus_.9, {{100, 1.0}}
Spinosaurus_.8, {{100, 1.0}}
Spinosaurus_.7, {{81, 0.99}, {19, 1.0}}
Spinosaurus_.6, {{39, 0.95}, {4, 0.94}, {55, 0.96}, {2, 0.97}}
Spinosaurus_.5, {{100, 1.0}}
Spinosaurus_.4, {{100, 1.0}}
Spinosaurus_.3, {{100, 1.0}}
Spinosaurus_.2, {{29, 0.99}, {71, 1.0}}
Spinosaurus_.1, {{2, 0.95}, {50, 0.96}, {48, 0.97}}
Spinosaurus_, {{100, 1.0}}
Baryonyx.3, {{41, 0.85}, {16, 0.86}, {32, 0.84}, {9, 0.83}, {1, 0.82}, {1, 0.87}}
Baryonyx.2, {{100, 0.99}}
Baryonyx.1, {{100, 1.0}}
Suchomimus.3, {{7, 0.0}, {93, 0.01}}
Suchomimus.2, {{44, 0.07}, {5, 0.09}, {43, 0.08}, {8, 0.06}}
Suchomimus.1, {{100, 0.01}}
Suchomimus, {{22, 0.07}, {4, 0.1}, {26, 0.09}, {48, 0.08}}
Baryonyx, {{100, 1.0}}
Asfaltovenator, {{100, 0.0}}
Dromaius_, {{100, 0.0}}
Chauna_chavaria, {{100, 0.0}}
Goura_cristata, {{100, 0.0}}
Sarothrura_rufa, {{100, 0.02}}
Aptenodytes______, {{100, 1.0}}
Lutra_vulgaris, {{100, 0.99}}
Okapia_johnstoni, {{49, 0.04}, {51, 0.05}}
Psephoderma, {{100, 1.0}}
Pistosaurus, {{100, 1.0}}
Plesiosaurus, {{100, 1.0}}
Nothosaurus_102, {{100, 1.0}}
Mussaurus, {{10, 0.28}, {4, 0.22}, {14, 0.24}, {15, 0.26}, {14, 0.27}, {4, 0.29}, {24, 0.25}, {14, 0.23}, {1, 0.21}}
Masiakasaurus, {{10, 0.0}, {90, 0.01}}
Spinosaurus_.11, {{17, 0.26}, {13, 0.25}, {4, 0.28}, {9, 0.22}, {11, 0.2}, {2, 0.18}, {5, 0.27}, {7, 0.21}, {2, 0.19}, {13, 0.24}, {17, 0.23}}
Spinosaurus_.10, {{6, 0.3}, {15, 0.32}, {2, 0.26}, {8, 0.35}, {1, 0.25}, {15, 0.28}, {14, 0.34}, {9, 0.31}, {9, 0.33}, {6, 0.27}, {2, 0.37}, {7, 0.36}, {6, 0.29}}
Spinosaurus_.9, {{100, 1.0}}
Spinosaurus_.8, {{100, 1.0}}
Spinosaurus_.7, {{2, 0.99}, {98, 1.0}}
Spinosaurus_.6, {{52, 0.98}, {48, 0.97}}
Spinosaurus_.5, {{100, 1.0}}
Spinosaurus_.4, {{100, 1.0}}
Spinosaurus_.3, {{100, 1.0}}
Spinosaurus_.2, {{2, 0.99}, {98, 1.0}}
Spinosaurus_.1, {{49, 0.98}, {51, 0.97}}
Spinosaurus_, {{100, 1.0}}
Baryonyx.3, {{36, 0.92}, {1, 0.94}, {63, 0.93}}
Baryonyx.2, {{86, 0.99}, {14, 1.0}}
Baryonyx.1, {{100, 1.0}}
Suchomimus.3, {{52, 0.03}, {48, 0.02}}
Suchomimus.2, {{21, 0.22}, {2, 0.18}, {29, 0.2}, {2, 0.24}, {8, 0.23}, {25, 0.21}, {13, 0.19}}
Suchomimus.1, {{49, 0.03}, {51, 0.02}}
Suchomimus, {{22, 0.22}, {3, 0.18}, {28, 0.2}, {1, 0.24}, {5, 0.23}, {26, 0.21}, {15, 0.19}}
Baryonyx, {{100, 1.0}}
Eudromia_elegans, {{100, 0.0}}
Anas_aucklandica, {{100, 0.0}}
