Baryonyx.1, {{100, 1.0}}
Spinosaurus.3, {{100, 1.0}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.99}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Cygnus_olor, {{64, 0.36}, {36, 0.35}}
Xenicus_longipes, {{57, 0.15}, {43, 0.16}}
Phaeton_aethereus, {{14, 0.07}, {86, 0.06}}
Aptenodytes_patagonicus, {{100, 0.62}}
Tenrec_ecaudatus, {{93, 0.07}, {7, 0.06}}
Dugong_dugon, {{100, 1.0}}
Sciurus_vulgaris, {{100, 0.01}}
Castor_fiber, {{100, 0.98}}
Galemys_pyrenaicus, {{100, 0.0}}
Eidolon_helvum, {{100, 0.0}}
Tapirus_indicus, {{100, 0.01}}
Basilosaurus, {{100, 1.0}}
Bison_bonasus, {{100, 0.0}}
Aepyceros_melampus, {{12, 0.06}, {88, 0.05}}
Crocodylus_sp., {{1, 0.99}, {99, 1.0}}
Saltriovenator, {{52, 0.63}, {37, 0.64}, {1, 0.65}, {10, 0.62}}
Baryonyx.1, {{100, 0.99}}
Spinosaurus.3, {{85, 0.99}, {15, 1.0}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.99}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Porzana_carolina, {{100, 0.01}}
Dendrocopos_major, {{9, 0.06}, {91, 0.05}}
Buteo_buteo, {{100, 0.0}}
Ardea_cinerea, {{100, 0.0}}
Didelphis_sp., {{100, 0.0}}
Gorilla_gorilla, {{100, 0.0}}
Desmana_moschata, {{100, 0.94}}
Crocidura_russula, {{14, 0.01}, {86, 0.02}}
Ursus_maritimus, {{100, 0.01}}
Ursus_spelaeus, {{100, 0.96}}
Lutra_vulgaris, {{100, 0.96}}
Baryonyx.1, {{100, 0.99}}
Spinosaurus.3, {{100, 0.99}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{3, 0.98}, {97, 0.99}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Charcarodontosaurid, {{99, 0.95}, {1, 0.96}}
Lourinhanosaurus, {{3, 0.04}, {97, 0.05}}
Anas_discors, {{100, 0.02}}
Caloenas_nicobarica, {{95, 0.2}, {5, 0.21}}
Sarothrura_rufa, {{90, 0.28}, {9, 0.27}, {1, 0.29}}
Eudyptes_chrysocome, {{100, 0.96}}
Zaglossus_bruijni, {{100, 0.0}}
Monodelphis_domestica, {{3, 0.07}, {97, 0.06}}
Dasyprocta__punctata, {{100, 0.01}}
Diplomesodon_pulchellum, {{86, 0.2}, {14, 0.21}}
Tremarctos_ornatus, {{100, 0.65}}
Martes_martes, {{100, 0.04}}
Martes_foina, {{3, 0.07}, {97, 0.06}}
Rodhocetus, {{100, 0.99}}
Crocodylus_niloticus, {{100, 1.0}}
Plateosaurus, {{100, 0.0}}
Baryonyx.1, {{100, 0.99}}
Spinosaurus.3, {{100, 0.99}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.99}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Phalacrocorax_harris, {{40, 0.88}, {60, 0.89}}
Orycteropus_afer, {{100, 0.01}}
Microgale_thomasi, {{100, 0.03}}
Ashoroa_laticosta, {{100, 1.0}}
Galagoides_demidovii, {{100, 0.0}}
Cercopithecus_mona, {{100, 0.0}}
Myocastor_coypus, {{7, 0.04}, {93, 0.05}}
Apodemus_sp., {{100, 0.01}}
Noemys_fodies, {{5, 0.5}, {95, 0.49}}
Enhydra_lutris, {{100, 0.98}}
Camelus_bactrianus, {{74, 0.12}, {26, 0.13}}
Rangifer_tarandus, {{43, 0.5}, {57, 0.49}}
Ceresiosaurus, {{100, 1.0}}
Baryonyx.1, {{100, 0.99}}
Spinosaurus.3, {{100, 0.99}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{36, 0.98}, {64, 0.99}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Crypturellus_tataupa, {{30, 0.1}, {70, 0.09}}
Anseranas_semipalmata, {{11, 0.45}, {89, 0.46}}
Melanitta_nigra, {{8, 0.12}, {92, 0.11}}
Atlantisia_rogersi, {{49, 0.26}, {51, 0.25}}
Nestor_notabilis, {{100, 0.07}}
Corvus_corone, {{100, 0.0}}
Glareola_pratincula, {{2, 0.36}, {98, 0.35}}
Vombatus_ursinus, {{1, 0.91}, {99, 0.9}}
Trichechus_manatus, {{100, 1.0}}
Procavia_capensis, {{100, 0.03}}
Arvicola_amphibius, {{100, 0.01}}
Canis_lupus, {{93, 0.03}, {7, 0.04}}
Dorudon, {{100, 1.0}}
Nothosaurus_sp., {{100, 1.0}}
Neusticosaurus, {{100, 1.0}}
Baryonyx.1, {{100, 0.97}}
Spinosaurus.3, {{100, 0.97}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.96}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 0.99}}
Struthio_camelus, {{95, 0.17}, {5, 0.16}}
Chaunia_chavaria, {{100, 0.13}}
Anas_erythrorhyncha, {{100, 0.28}}
Psophia_crepitans, {{100, 0.1}}
Porphyrio_poliocephalus, {{78, 0.12}, {22, 0.13}}
Larus_argentatus, {{100, 0.01}}
Spheniscus_humboldti, {{100, 0.92}}
Hydromys_chrysogaster, {{43, 0.74}, {57, 0.75}}
Rousettus_aegyptiacus, {{100, 0.01}}
Panthera_leo_persica, {{100, 0.04}}
Vulpes_vulpes, {{100, 0.03}}
Giraffa_camelopardalis, {{56, 0.07}, {44, 0.06}}
Baryonyx.1, {{100, 0.99}}
Spinosaurus.3, {{100, 0.99}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{54, 0.98}, {46, 0.99}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Casuarius_casuarius, {{29, 0.04}, {71, 0.03}}
Aramus_guarana, {{95, 0.15}, {1, 0.16}, {4, 0.14}}
Podica_senegalensis, {{1, 0.59}, {99, 0.6}}
Morus_bassanus, {{100, 0.0}}
Pelecanus_sp., {{100, 0.0}}
Euroscaptor_micrura, {{100, 0.08}}
Erinaceus_europaeus, {{100, 0.01}}
Genetta_genetta, {{100, 0.02}}
Felis_silvestris, {{11, 0.03}, {89, 0.02}}
Taxidea_taxus, {{2, 0.12}, {98, 0.11}}
Neovison_vison, {{48, 0.1}, {52, 0.11}}
Tapirus_terrestris, {{94, 0.64}, {6, 0.65}}
Choeropsis_liberiensis, {{71, 0.4}, {29, 0.41}}
Capra_aegagrus, {{97, 0.58}, {3, 0.57}}
Serpianosaurus, {{100, 1.0}}
Baryonyx.1, {{100, 0.98}}
