{{71, {50, 11, 13, 38}}, {29, {51, 11, 12, 38}}}
{{100, {55, 9, 8, 40}}}
{{100, {55, 8, 8, 41}}}
{{100, {51, 13, 12, 36}}}
{{100, {49, 10, 14, 39}}}
{{100, {49, 9, 14, 40}}}
{{100, {53, 9, 10, 40}}}
{{100, {57, 7, 6, 42}}}
{{100, {51, 11, 12, 38}}}
{{100, {56, 15, 7, 34}}}
{{100, {56, 10, 7, 39}}}
{{100, {57, 13, 6, 36}}}
{{100, {55, 6, 8, 43}}}
{{100, {60, 9, 3, 40}}}
{{100, {49, 4, 14, 45}}}
{{100, {57, 10, 6, 39}}}
{{100, {58, 8, 5, 41}}}
{{100, {54, 11, 9, 38}}}
{{100, {57, 8, 6, 41}}}
{{7, {49, 14, 14, 35}}, {93, {48, 14, 15, 35}}}
{{100, {54, 11, 9, 38}}}
{{100, {56, 3, 7, 46}}}
{{100, {51, 10, 12, 39}}}
{{100, {54, 12, 9, 37}}}
{{100, {52, 8, 11, 41}}}
{{100, {55, 10, 8, 39}}}
{{100, {58, 10, 5, 39}}}
{{100, {54, 8, 9, 41}}}
{{100, {56, 10, 7, 39}}}
{{100, {51, 12, 12, 37}}}
{{100, {48, 12, 15, 37}}}
{{100, {47, 10, 16, 39}}}
{{100, {55, 12, 8, 37}}}
{{100, {52, 7, 11, 42}}}
{{100, {54, 9, 9, 40}}}
{{100, {50, 9, 13, 40}}}
{{100, {46, 11, 17, 38}}}
{{100, {55, 8, 8, 41}}}
{{100, {50, 16, 13, 33}}}
{{100, {56, 7, 7, 42}}}
{{36, {45, 13, 18, 36}}, {64, {44, 13, 19, 36}}}
{{74, {47, 11, 16, 38}}, {26, {46, 11, 17, 38}}}
{{100, {54, 6, 9, 43}}}
{{100, {56, 7, 7, 42}}}
{{100, {55, 11, 8, 38}}}
{{100, {56, 11, 7, 38}}}
{{100, {54, 11, 9, 38}}}
{{100, {52, 8, 11, 41}}}
{{100, {56, 8, 7, 41}}}
{{100, {55, 14, 8, 35}}}
{{100, {53, 9, 10, 40}}}
{{100, {54, 8, 9, 41}}}
{{1, {49, 13, 14, 36}}, {99, {50, 13, 13, 36}}}
