Ceresiosaurus, {{100, {{47, 9, 11, 33}, 1.0}}}
Crocodylus_sp., {{100, {{47, 9, 11, 33}, 0.97}}}
Baryonyx.1, {{100, {{47, 9, 11, 33}, 0.96}}}
Spinosaurus.3, {{100, {{47, 9, 11, 33}, 0.97}}}
Spinosaurus.2, {{100, {{47, 9, 11, 33}, 0.99}}}
Spinosaurus.1, {{93, {{47, 9, 11, 33}, 0.95}}, {7, {{47, 9, 11, 33}, 0.96}}}
Baryonyx, {{100, {{47, 9, 11, 33}, 0.99}}}
Spinosaurus, {{100, {{47, 9, 11, 33}, 0.99}}}
Struthio_camelus, {{100, {{47, 9, 11, 33}, 0.25}}}
Zaglossus_bruijni, {{97, {{47, 9, 11, 33}, 0.04}}, {3, {{47, 9, 11, 33}, 0.05}}}
Ashoroa_laticosta, {{100, {{47, 9, 11, 33}, 0.98}}}
Hydromys_chrysogaster, {{100, {{47, 9, 11, 33}, 0.8}}}
Panthera_leo_persica, {{100, {{47, 9, 11, 33}, 0.09}}}
Lutra_vulgaris, {{100, {{47, 9, 11, 33}, 0.91}}}
Equus_caballus, {{93, {{47, 9, 11, 33}, 0.5}}, {7, {{47, 9, 11, 33}, 0.49}}}
Balaenoptera_brydei, {{1, {{47, 9, 11, 33}, 0.36}}, {99, {{47, 9, 11, 33}, 0.37}}}
Orcinus_orca, {{100, {{47, 9, 11, 33}, 0.97}}}
Cervus_elaphus_canadensis, {{100, {{47, 9, 11, 33}, 0.07}}}
Baryonyx.1, {{100, {{49, 6, 9, 37}, 0.98}}}
Spinosaurus.3, {{100, {{49, 6, 9, 37}, 0.99}}}
Spinosaurus.2, {{100, {{49, 6, 9, 37}, 1.0}}}
Spinosaurus.1, {{100, {{49, 6, 9, 37}, 0.98}}}
Baryonyx, {{100, {{49, 6, 9, 37}, 1.0}}}
Spinosaurus, {{100, {{49, 6, 9, 37}, 1.0}}}
Ornithorhynchus_anatinus, {{100, {{49, 6, 9, 37}, 0.95}}}
Didelphis_sp., {{100, {{49, 6, 9, 37}, 0.01}}}
Gorilla_gorilla, {{100, {{49, 6, 9, 37}, 0.03}}}
Myocastor_coypus, {{100, {{49, 6, 9, 37}, 0.14}}}
Arvicola_amphibius, {{100, {{49, 6, 9, 37}, 0.02}}}
Apodemus_sp., {{100, {{49, 6, 9, 37}, 0.04}}}
Genetta_genetta, {{100, {{49, 6, 9, 37}, 0.06}}}
