Nothosaurus_sp., {{100, 1.0}}
Baryonyx.1, {{100, 0.96}}
Spinosaurus.3, {{100, 0.97}}
Spinosaurus.2, {{100, 0.99}}
Spinosaurus.1, {{95, 0.95}, {5, 0.96}}
Baryonyx, {{100, 0.99}}
Spinosaurus, {{100, 0.99}}
Zaglossus_bruijni, {{85, 0.04}, {15, 0.05}}
Choloepus_didactylus, {{100, 0.16}}
Microgale_thomasi, {{100, 0.16}}
Desmana_moschata, {{100, 0.87}}
Noemys_fodies, {{100, 0.57}}
Vulpes_vulpes, {{100, 0.07}}
Martes_martes, {{100, 0.16}}
Tapirus_terrestris, {{100, 0.76}}
Rhinocerus_unicornis, {{3, 0.85}, {97, 0.86}}
Ovis_aries, {{100, 0.25}}
Hemitragus_jayakari, {{94, 0.2}, {6, 0.21}}
Platecarpus_sp., {{45, 0.95}, {55, 0.94}}
Baryonyx.1, {{100, 0.97}}
Spinosaurus.3, {{100, 0.97}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.96}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{96, 0.99}, {4, 1.0}}
Spheniscus_humboldti, {{100, 0.94}}
Perameles_nasuta, {{32, 0.24}, {68, 0.25}}
Tenrec_ecaudatus, {{100, 0.33}}
Gorilla_gorilla, {{100, 0.04}}
Myocastor_coypus, {{100, 0.19}}
Erinaceus_europaeus, {{100, 0.1}}
Crocidura_russula, {{100, 0.12}}
Lutra_vulgaris, {{100, 0.93}}
Balaenoptera_brydei, {{69, 0.24}, {31, 0.25}}
Orcinus_orca, {{100, 0.97}}
Metriorhynchid_indet., {{100, 0.42}}
Crocodylus_niloticus, {{100, 0.99}}
Baryonyx.1, {{100, 0.98}}
Spinosaurus.3, {{100, 0.98}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.98}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Struthio_camelus, {{100, 0.19}}
Strigiops_habroptilus, {{100, 0.12}}
Phalacrocorax_harris, {{92, 0.86}, {8, 0.87}}
Monodelphis_domestica, {{27, 0.12}, {73, 0.13}}
Paleoparadoxia_sp, {{100, 1.0}}
Dasyprocta__punctata, {{100, 0.03}}
Ursus_spelaeus, {{100, 0.93}}
Camelus_bactrianus, {{2, 0.28}, {98, 0.29}}
Dorudon, {{100, 0.99}}
Delphinapterus_leucas, {{32, 0.96}, {68, 0.97}}
Neusticosaurus, {{100, 1.0}}
Baryonyx.1, {{100, 0.97}}
Spinosaurus.3, {{100, 0.97}}
Spinosaurus.2, {{100, 1.0}}
