Ceresiosaurus, {{100, 1.0}}
Crocodylus_sp., {{100, 0.97}}
Baryonyx.1, {{100, 0.96}}
Spinosaurus.3, {{100, 0.97}}
Spinosaurus.2, {{100, 0.99}}
Spinosaurus.1, {{93, 0.95}, {7, 0.96}}
Baryonyx, {{100, 0.99}}
Spinosaurus, {{100, 0.99}}
Struthio_camelus, {{100, 0.25}}
Zaglossus_bruijni, {{97, 0.04}, {3, 0.05}}
Ashoroa_laticosta, {{100, 0.98}}
Hydromys_chrysogaster, {{100, 0.8}}
Panthera_leo_persica, {{100, 0.09}}
Lutra_vulgaris, {{100, 0.91}}
Equus_caballus, {{93, 0.5}, {7, 0.49}}
Balaenoptera_brydei, {{99, 0.37}, {1, 0.36}}
Orcinus_orca, {{100, 0.97}}
Cervus_elaphus_canadensis, {{100, 0.07}}
Baryonyx.1, {{100, 0.98}}
Spinosaurus.3, {{100, 0.99}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.98}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Ornithorhynchus_anatinus, {{100, 0.95}}
Didelphis_sp., {{100, 0.01}}
Gorilla_gorilla, {{100, 0.03}}
Myocastor_coypus, {{100, 0.14}}
Arvicola_amphibius, {{100, 0.02}}
Apodemus_sp., {{100, 0.04}}
Genetta_genetta, {{100, 0.06}}
Phoca_vitulina, {{100, 0.0}}
Nanophoca_vitulinoides, {{100, 1.0}}
Neovison_vison, {{100, 0.21}}
Camelus_bactrianus, {{100, 0.32}}
Nothosaurus_sp., {{100, 1.0}}
Neusticosaurus, {{100, 1.0}}
Clidastes_sp., {{100, 0.86}}
Baryonyx.1, {{100, 0.95}}
Spinosaurus.3, {{12, 0.95}, {88, 0.96}}
Spinosaurus.2, {{100, 0.99}}
Spinosaurus.1, {{100, 0.94}}
Baryonyx, {{100, 0.99}}
Spinosaurus, {{100, 0.99}}
Atlantisia_rogersi, {{100, 0.41}}
Tachyglossus_aculeatus_setosus, {{100, 0.17}}
Behemotops_katsuiei, {{100, 0.95}}
Desmostylus_hesperus, {{100, 0.29}}
Cercopithecus_mona, {{100, 0.04}}
Dasyprocta__punctata, {{100, 0.06}}
Rattus_rattus, {{100, 0.39}}
Tremarctos_ornatus, {{100, 0.69}}
Capra_aegagrus, {{100, 0.69}}
Dallasaurus_turneri, {{28, 0.33}, {72, 0.32}}
Baryonyx.1, {{100, 0.99}}
Spinosaurus.3, {{100, 0.99}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{1, 0.98}, {99, 0.99}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Caloenas_nicobarica, {{100, 0.26}}
Eudyptes_chrysocome, {{100, 0.95}}
Dasyurus_maculatus, {{100, 0.4}}
Vombatus_ursinus, {{100, 0.9}}
Elephas_maximus, {{100, 0.01}}
Mammuthus_primigenius, {{100, 0.29}}
Galemys_pyrenaicus, {{60, 0.0}, {40, 0.01}}
Mustela_nivalis, {{100, 0.18}}
Tapirus_terrestris, {{100, 0.76}}
Monodon_monoceros, {{100, 0.74}}
Carentonosaurus_mineaui, {{100, 0.99}}
Baryonyx.1, {{100, 0.98}}
Spinosaurus.3, {{100, 0.98}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{99, 0.98}, {1, 0.97}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Monodelphis_domestica, {{100, 0.13}}
Perameles_nasuta, {{100, 0.21}}
Dugong_dugon, {{100, 1.0}}
Trichechus_manatus, {{100, 1.0}}
Sciurus_vulgaris, {{100, 0.1}}
Canis_lupus, {{2, 0.1}, {98, 0.11}}
Tapirus_indicus, {{100, 0.14}}
Rhinocerus_unicornis, {{100, 0.86}}
Bison_bison, {{100, 0.33}}
Bison_bonasus, {{100, 0.02}}
Mollesaurus, {{100, 0.82}}
Tylosaurus_sp., {{100, 0.87}}
Baryonyx.1, {{100, 0.97}}
Spinosaurus.3, {{100, 0.97}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.96}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 0.99}}
Spheniscus_humboldti, {{100, 0.94}}
Macropus_rufus, {{100, 0.53}}
Choloepus_didactylus, {{100, 0.08}}
Lepus_europaeus, {{100, 0.33}}
Erinaceus_europaeus, {{73, 0.1}, {27, 0.09}}
Diplomesodon_pulchellum, {{100, 0.32}}
Vulpes_vulpes, {{100, 0.04}}
Basilosaurus, {{100, 0.99}}
Rangifer_tarandus, {{100, 0.58}}
Baryonyx.1, {{52, 0.98}, {48, 0.97}}
Spinosaurus.3, {{100, 0.98}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.97}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Orycteropus_afer, {{100, 0.05}}
Rhynchocyon_petersi, {{100, 0.25}}
Tenrec_ecaudatus, {{100, 0.31}}
Paleoparadoxia_sp, {{17, 0.99}, {83, 1.0}}
Euroscaptor_micrura, {{100, 0.21}}
Crocidura_russula, {{100, 0.1}}
Taxidea_taxus, {{100, 0.33}}
Martes_foina, {{100, 0.16}}
Rhinoceros_sondaicus, {{100, 0.96}}
Sus_scrofa, {{100, 0.05}}
Choeropsis_liberiensis, {{44, 0.61}, {56, 0.62}}
Baryonyx.1, {{100, 0.96}}
Spinosaurus.3, {{100, 0.96}}
Spinosaurus.2, {{100, 0.99}}
Spinosaurus.1, {{100, 0.95}}
Baryonyx, {{100, 0.99}}
Spinosaurus, {{100, 0.99}}
Casuarius_casuarius, {{92, 0.24}, {8, 0.25}}
Strigiops_habroptilus, {{26, 0.15}, {74, 0.16}}
Procavia_capensis, {{100, 0.15}}
Castor_fiber, {{100, 0.91}}
Hemiechinus_azurites, {{100, 0.13}}
Enhydra_lutris, {{60, 0.94}, {40, 0.95}}
Lissodelphis_borealis, {{1, 0.58}, {99, 0.57}}
Giraffa_camelopardalis, {{100, 0.14}}
Capreolus_capreolus, {{100, 0.02}}
Aepyceros_melampus, {{100, 0.39}}
Hemitragus_jayakari, {{60, 0.2}, {40, 0.19}}
Crocodylus_niloticus, {{100, 0.98}}
Baryonyx.1, {{79, 0.96}, {21, 0.97}}
Spinosaurus.3, {{100, 0.97}}
Spinosaurus.2, {{100, 0.99}}
Spinosaurus.1, {{100, 0.96}}
Baryonyx, {{100, 0.99}}
Spinosaurus, {{100, 0.99}}
Apteryx_owenii, {{100, 0.54}}
Phalacrocorax_harris, {{100, 0.84}}
Myoprocta_pratti, {{100, 0.05}}
Felis_silvestris, {{100, 0.19}}
Callophoca_obscura, {{99, 0.66}, {1, 0.65}}
Martes_martes, {{13, 0.17}, {87, 0.16}}
Rodhocetus, {{100, 0.98}}
Dorudon, {{100, 0.99}}
Delphinapterus_leucas, {{100, 0.95}}
Ovis_aries, {{100, 0.22}}
Serpianosaurus, {{100, 1.0}}
Platecarpus_sp., {{100, 0.95}}
Metriorhynchid_indet., {{100, 0.42}}
Baryonyx.1, {{100, 0.98}}
Spinosaurus.3, {{100, 0.98}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.97}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Aptenodytes_patagonicus, {{95, 0.68}, {5, 0.67}}
Microgale_thomasi, {{68, 0.1}, {32, 0.11}}
Galagoides_demidovii, {{100, 0.01}}
Desmana_moschata, {{95, 0.88}, {5, 0.89}}
Noemys_fodies, {{100, 0.55}}
Ursus_spelaeus, {{100, 0.92}}
Ceratotherium_simum, {{100, 0.54}}
Hippopotamus_amphibius, {{100, 0.91}}
