Carentonosaurus_mineaui, {{100, 0.99}}
Baryonyx.1, {{100, 0.97}}
Spinosaurus.3, {{100, 0.98}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{3, 0.96}, {97, 0.97}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{87, 0.99}, {13, 1.0}}
Crocodylus_niloticus, {{100, 0.99}}
Baryonyx.1, {{100, 0.97}}
Spinosaurus.3, {{100, 0.98}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.97}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{16, 0.99}, {84, 1.0}}
Baryonyx.1, {{100, 0.97}}
Spinosaurus.3, {{100, 0.97}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.96}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 0.99}}
Diplomesodon_pulchellum, {{100, 0.32}}
Baryonyx.1, {{100, 0.97}}
Spinosaurus.3, {{100, 0.97}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.96}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 0.99}}
Euroscaptor_micrura, {{1, 0.22}, {99, 0.23}}
Baryonyx.1, {{100, 0.97}}
Spinosaurus.3, {{1, 0.98}, {99, 0.97}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.96}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 0.99}}
Hemiechinus_azurites, {{99, 0.1}, {1, 0.09}}
Baryonyx.1, {{100, 0.97}}
Spinosaurus.3, {{100, 0.98}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.97}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{57, 0.99}, {43, 1.0}}
Lutra_vulgaris, {{96, 0.92}, {4, 0.93}}
Baryonyx.1, {{100, 0.97}}
Spinosaurus.3, {{1, 0.98}, {99, 0.97}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.96}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 0.99}}
Monodelphis_domestica, {{100, 0.16}}
Baryonyx.1, {{100, 0.97}}
Spinosaurus.3, {{100, 0.97}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.96}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 0.99}}
Mustela_nivalis, {{100, 0.3}}
Baryonyx.1, {{100, 0.97}}
Spinosaurus.3, {{82, 0.98}, {18, 0.97}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{89, 0.96}, {11, 0.97}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 0.99}}
Noemys_fodies, {{92, 0.61}, {8, 0.6}}
Baryonyx.1, {{100, 0.97}}
Spinosaurus.3, {{4, 0.98}, {96, 0.97}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{96, 0.96}, {4, 0.97}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 0.99}}
Rhynchocyon_petersi, {{100, 0.27}}
Baryonyx.1, {{100, 0.97}}
Spinosaurus.3, {{67, 0.98}, {33, 0.97}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{47, 0.96}, {53, 0.97}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{99, 0.99}, {1, 1.0}}
Taxidea_taxus, {{100, 0.36}}
Baryonyx.1, {{100, 0.97}}
Spinosaurus.3, {{7, 0.98}, {93, 0.97}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{92, 0.96}, {8, 0.97}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 0.99}}
Tenrec_ecaudatus, {{98, 0.33}, {2, 0.32}}
Baryonyx.1, {{100, 0.97}}
Spinosaurus.3, {{89, 0.98}, {11, 0.97}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{40, 0.96}, {60, 0.97}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 0.99}}
Struthio_camelus, {{100, 0.21}}
Baryonyx.1, {{100, 0.97}}
Spinosaurus.3, {{1, 0.98}, {99, 0.97}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.96}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 0.99}}
Rattus_rattus, {{100, 0.33}}
Baryonyx.1, {{100, 0.97}}
Spinosaurus.3, {{100, 0.97}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.96}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 0.99}}
Microgale_thomasi, {{100, 0.16}}
Baryonyx.1, {{2, 0.98}, {98, 0.97}}
Spinosaurus.3, {{100, 0.98}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.97}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{4, 0.99}, {96, 1.0}}
Hydromys_chrysogaster, {{100, 0.81}}
Baryonyx.1, {{100, 0.97}}
Spinosaurus.3, {{72, 0.98}, {28, 0.97}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{48, 0.96}, {52, 0.97}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 0.99}}
Casuarius_casuarius, {{1, 0.22}, {99, 0.21}}
Baryonyx.1, {{100, 0.97}}
Spinosaurus.3, {{100, 0.98}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.97}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{44, 0.99}, {56, 1.0}}
Eudyptes_chrysocome, {{100, 0.92}}
Baryonyx.1, {{100, 0.97}}
Spinosaurus.3, {{100, 0.98}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.97}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{2, 0.99}, {98, 1.0}}
Aptenodytes_patagonicus, {{100, 0.68}}
Baryonyx.1, {{100, 0.97}}
Spinosaurus.3, {{100, 0.98}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.97}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{50, 0.99}, {50, 1.0}}
Ornithorhynchus_anatinus, {{100, 0.93}}
Baryonyx.1, {{100, 0.97}}
Spinosaurus.3, {{4, 0.98}, {96, 0.97}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{99, 0.96}, {1, 0.97}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 0.99}}
Tachyglossus_aculeatus_setosus, {{100, 0.13}}
Baryonyx.1, {{100, 0.97}}
Spinosaurus.3, {{2, 0.98}, {98, 0.97}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.96}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 0.99}}
Zaglossus_bruijni, {{10, 0.03}, {90, 0.02}}
Baryonyx.1, {{100, 0.97}}
Spinosaurus.3, {{5, 0.98}, {95, 0.97}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{95, 0.96}, {5, 0.97}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 0.99}}
Perameles_nasuta, {{100, 0.25}}
Baryonyx.1, {{100, 0.97}}
Spinosaurus.3, {{2, 0.98}, {98, 0.97}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.96}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 0.99}}
Didelphis_sp., {{85, 0.03}, {15, 0.02}}
Dallasaurus_turneri, {{100, 0.36}}
Baryonyx.1, {{100, 0.98}}
Spinosaurus.3, {{100, 0.98}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{7, 0.98}, {93, 0.97}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Baryonyx.1, {{100, 0.97}}
Spinosaurus.3, {{100, 0.98}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.97}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{33, 0.99}, {67, 1.0}}
Macropus_rufus, {{62, 0.58}, {38, 0.57}}
Baryonyx.1, {{18, 0.98}, {82, 0.97}}
Spinosaurus.3, {{100, 0.98}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.97}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Vombatus_ursinus, {{100, 0.89}}
Baryonyx.1, {{100, 0.97}}
Spinosaurus.3, {{4, 0.98}, {96, 0.97}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.96}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 0.99}}
Elephas_maximus, {{100, 0.04}}
Baryonyx.1, {{100, 0.97}}
Spinosaurus.3, {{100, 0.98}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.97}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{4, 0.99}, {96, 1.0}}
Dugong_dugon, {{100, 0.99}}
Baryonyx.1, {{100, 0.97}}
Spinosaurus.3, {{23, 0.98}, {77, 0.97}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{86, 0.96}, {14, 0.97}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 0.99}}
Choloepus_didactylus, {{100, 0.1}}
Baryonyx.1, {{100, 0.97}}
Spinosaurus.3, {{3, 0.98}, {97, 0.97}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.96}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 0.99}}
Galagoides_demidovii, {{100, 0.02}}
Baryonyx.1, {{100, 0.97}}
Spinosaurus.3, {{1, 0.98}, {99, 0.97}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.96}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 0.99}}
Cercopithecus_mona, {{4, 0.03}, {96, 0.02}}
Baryonyx.1, {{100, 0.97}}
Spinosaurus.3, {{4, 0.98}, {96, 0.97}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.96}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 0.99}}
Gorilla_gorilla, {{100, 0.05}}
Baryonyx.1, {{100, 0.97}}
Spinosaurus.3, {{100, 0.98}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.97}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{60, 0.99}, {40, 1.0}}
Castor_fiber, {{100, 0.93}}
Baryonyx.1, {{100, 0.97}}
Spinosaurus.3, {{100, 0.97}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.96}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 0.99}}
Apodemus_sp., {{94, 0.1}, {6, 0.09}}
Clidastes_sp., {{94, 0.88}, {6, 0.89}}
Baryonyx.1, {{100, 0.97}}
Spinosaurus.3, {{94, 0.98}, {6, 0.97}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{8, 0.96}, {92, 0.97}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{84, 0.99}, {16, 1.0}}
Baryonyx.1, {{100, 0.98}}
Spinosaurus.3, {{100, 0.98}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{47, 0.98}, {53, 0.97}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Arvicola_amphibius, {{96, 0.04}, {4, 0.03}}
Baryonyx.1, {{100, 0.97}}
Spinosaurus.3, {{1, 0.98}, {99, 0.97}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.96}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 0.99}}
Dasyprocta__punctata, {{100, 0.04}}
Baryonyx.1, {{100, 0.97}}
Spinosaurus.3, {{1, 0.98}, {99, 0.97}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.96}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 0.99}}
Myoprocta_pratti, {{100, 0.03}}
Baryonyx.1, {{100, 0.97}}
Spinosaurus.3, {{1, 0.98}, {99, 0.97}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.96}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 0.99}}
Sciurus_vulgaris, {{98, 0.13}, {2, 0.14}}
Baryonyx.1, {{100, 0.98}}
Spinosaurus.3, {{100, 0.98}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.97}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Myocastor_coypus, {{100, 0.18}}
Baryonyx.1, {{100, 0.97}}
Spinosaurus.3, {{21, 0.98}, {79, 0.97}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{73, 0.96}, {27, 0.97}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 0.99}}
Lepus_europaeus, {{100, 0.35}}
Baryonyx.1, {{100, 0.97}}
Spinosaurus.3, {{1, 0.98}, {99, 0.97}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.96}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 0.99}}
Erinaceus_europaeus, {{100, 0.1}}
Baryonyx.1, {{100, 0.97}}
Spinosaurus.3, {{100, 0.97}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.96}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 0.99}}
Crocidura_russula, {{100, 0.11}}
Baryonyx.1, {{100, 0.98}}
Spinosaurus.3, {{35, 0.98}, {65, 0.99}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.98}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Galemys_pyrenaicus, {{100, 0.01}}
Baryonyx.1, {{100, 0.97}}
Spinosaurus.3, {{100, 0.98}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.97}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{74, 0.99}, {26, 1.0}}
Enhydra_lutris, {{100, 0.96}}
Tylosaurus_sp., {{100, 0.87}}
Baryonyx.1, {{100, 0.97}}
Spinosaurus.3, {{73, 0.98}, {27, 0.97}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{37, 0.96}, {63, 0.97}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{87, 0.99}, {13, 1.0}}
Baryonyx.1, {{100, 0.97}}
Spinosaurus.3, {{1, 0.98}, {99, 0.97}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.96}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 0.99}}
Martes_martes, {{100, 0.13}}
Baryonyx.1, {{100, 0.97}}
Spinosaurus.3, {{2, 0.98}, {98, 0.97}}
