Crocodylus_sp., {{100, {{47, 6, 4, 25}, 1.0}}}
Crocodylus_niloticus, {{100, {{47, 6, 4, 25}, 1.0}}}
Baryonyx.1, {{1, {{47, 6, 4, 25}, 1.0}}, {99, {{47, 6, 4, 25}, 0.99}}}
Spinosaurus.3, {{39, {{47, 6, 4, 25}, 1.0}}, {61, {{47, 6, 4, 25}, 0.99}}}
Spinosaurus.2, {{100, {{47, 6, 4, 25}, 1.0}}}
Spinosaurus.1, {{100, {{47, 6, 4, 25}, 0.99}}}
Baryonyx, {{100, {{47, 6, 4, 25}, 1.0}}}
Spinosaurus, {{100, {{47, 6, 4, 25}, 1.0}}}
Casuarius_casuarius, {{99, {{47, 6, 4, 25}, 0.02}}, {1, {{47, 6, 4, 25}, 0.01}}}
Spheniscus_humboldti, {{100, {{47, 6, 4, 25}, 1.0}}}
Dasyurus_maculatus, {{6, {{47, 6, 4, 25}, 0.34}}, {93, {{47, 6, 4, 25}, 0.33}}, {1, {{47, 6, 4, 25}, 0.32}}}
Microgale_thomasi, {{2, {{47, 6, 4, 25}, 0.04}}, {98, {{47, 6, 4, 25}, 0.05}}}
Apodemus_sp., {{99, {{47, 6, 4, 25}, 0.02}}, {1, {{47, 6, 4, 25}, 0.01}}}
Vulpes_vulpes, {{100, {{47, 6, 4, 25}, 0.0}}}
Mustela_nivalis, {{2, {{47, 6, 4, 25}, 0.2}}, {97, {{47, 6, 4, 25}, 0.19}}, {1, {{47, 6, 4, 25}, 0.18}}}
Capra_aegagrus, {{100, {{47, 6, 4, 25}, 0.59}}}
Serpianosaurus, {{100, {{49, 5, 4, 25}, 1.0}}}
Baryonyx.1, {{59, {{49, 5, 4, 25}, 1.0}}, {41, {{49, 5, 4, 25}, 0.99}}}
Spinosaurus.3, {{100, {{49, 5, 4, 25}, 1.0}}}
Spinosaurus.2, {{100, {{49, 5, 4, 25}, 1.0}}}
Spinosaurus.1, {{100, {{49, 5, 4, 25}, 0.99}}}
Baryonyx, {{100, {{49, 5, 4, 25}, 1.0}}}
Spinosaurus, {{100, {{49, 5, 4, 25}, 1.0}}}
Orycteropus_afer, {{100, {{49, 5, 4, 25}, 0.0}}}
Rhynchocyon_petersi, {{100, {{49, 5, 4, 25}, 0.05}}}
Galemys_pyrenaicus, {{100, {{49, 5, 4, 25}, 0.0}}}
Hemiechinus_azurites, {{100, {{49, 5, 4, 25}, 0.0}}}
Nanophoca_vitulinoides, {{100, {{49, 5, 4, 25}, 1.0}}}
Camelus_bactrianus, {{100, {{49, 5, 4, 25}, 0.02}}}
Hippopotamus_amphibius, {{12, {{49, 5, 4, 25}, 0.92}}, {88, {{49, 5, 4, 25}, 0.93}}}
Giraffa_camelopardalis, {{100, {{49, 5, 4, 25}, 0.0}}}
Neusticosaurus, {{100, {{48, 6, 4, 24}, 1.0}}}
Baryonyx.1, {{100, {{48, 6, 4, 24}, 0.99}}}
Spinosaurus.3, {{100, {{48, 6, 4, 24}, 0.99}}}
Spinosaurus.2, {{100, {{48, 6, 4, 24}, 1.0}}}
Spinosaurus.1, {{100, {{48, 6, 4, 24}, 0.99}}}
Baryonyx, {{100, {{48, 6, 4, 24}, 1.0}}}
Spinosaurus, {{100, {{48, 6, 4, 24}, 1.0}}}
Atlantisia_rogersi, {{1, {{48, 6, 4, 24}, 0.31}}, {99, {{48, 6, 4, 24}, 0.32}}}
Vombatus_ursinus, {{100, {{48, 6, 4, 24}, 0.95}}}
Dugong_dugon, {{100, {{48, 6, 4, 24}, 1.0}}}
Galagoides_demidovii, {{100, {{48, 6, 4, 24}, 0.0}}}
Hydromys_chrysogaster, {{100, {{48, 6, 4, 24}, 0.93}}}
Felis_silvestris, {{99, {{48, 6, 4, 24}, 0.03}}, {1, {{48, 6, 4, 24}, 0.02}}}
Taxidea_taxus, {{65, {{48, 6, 4, 24}, 0.12}}, {35, {{48, 6, 4, 24}, 0.13}}}
Martes_martes, {{100, {{48, 6, 4, 24}, 0.02}}}
Dorudon, {{100, {{48, 6, 4, 24}, 1.0}}}
Baryonyx.1, {{35, {{51, 5, 3, 24}, 1.0}}, {65, {{50, 5, 4, 24}, 1.0}}}
Spinosaurus.3, {{35, {{51, 5, 3, 24}, 1.0}}, {65, {{50, 5, 4, 24}, 1.0}}}
Spinosaurus.2, {{35, {{51, 5, 3, 24}, 1.0}}, {65, {{50, 5, 4, 24}, 1.0}}}
Spinosaurus.1, {{35, {{51, 5, 3, 24}, 1.0}}, {65, {{50, 5, 4, 24}, 1.0}}}
Baryonyx, {{35, {{51, 5, 3, 24}, 1.0}}, {65, {{50, 5, 4, 24}, 1.0}}}
Spinosaurus, {{35, {{51, 5, 3, 24}, 1.0}}, {65, {{50, 5, 4, 24}, 1.0}}}
Apteryx_owenii, {{65, {{50, 5, 4, 24}, 0.4}}, {22, {{51, 5, 3, 24}, 0.4}}, {13, {{51, 5, 3, 24}, 0.39}}}
Aptenodytes_patagonicus, {{65, {{50, 5, 4, 24}, 0.68}}, {35, {{51, 5, 3, 24}, 0.68}}}
Phalacrocorax_harris, {{65, {{50, 5, 4, 24}, 0.97}}, {35, {{51, 5, 3, 24}, 0.97}}}
Ornithorhynchus_anatinus, {{35, {{51, 5, 3, 24}, 1.0}}, {65, {{50, 5, 4, 24}, 1.0}}}
Tachyglossus_aculeatus_setosus, {{65, {{50, 5, 4, 24}, 0.0}}, {35, {{51, 5, 3, 24}, 0.0}}}
Didelphis_sp., {{65, {{50, 5, 4, 24}, 0.0}}, {35, {{51, 5, 3, 24}, 0.0}}}
Cercopithecus_mona, {{65, {{50, 5, 4, 24}, 0.0}}, {35, {{51, 5, 3, 24}, 0.0}}}
Choeropsis_liberiensis, {{40, {{50, 5, 4, 24}, 0.27}}, {1, {{51, 5, 3, 24}, 0.25}}, {25, {{50, 5, 4, 24}, 0.26}}, {34, {{51, 5, 3, 24}, 0.26}}}
Rodhocetus, {{35, {{51, 5, 3, 24}, 1.0}}, {65, {{50, 5, 4, 24}, 1.0}}}
Baryonyx.1, {{100, {{46, 6, 5, 26}, 0.99}}}
Spinosaurus.3, {{100, {{46, 6, 5, 26}, 0.99}}}
Spinosaurus.2, {{100, {{46, 6, 5, 26}, 1.0}}}
Spinosaurus.1, {{100, {{46, 6, 5, 26}, 0.99}}}
Baryonyx, {{100, {{46, 6, 5, 26}, 1.0}}}
Spinosaurus, {{100, {{46, 6, 5, 26}, 1.0}}}
Caloenas_nicobarica, {{95, {{46, 6, 5, 26}, 0.11}}, {5, {{46, 6, 5, 26}, 0.1}}}
Strigiops_habroptilus, {{100, {{46, 6, 5, 26}, 0.02}}}
Zaglossus_bruijni, {{100, {{46, 6, 5, 26}, 0.0}}}
Euroscaptor_micrura, {{3, {{46, 6, 5, 26}, 0.09}}, {97, {{46, 6, 5, 26}, 0.1}}}
Crocidura_russula, {{100, {{46, 6, 5, 26}, 0.03}}}
Martes_foina, {{100, {{46, 6, 5, 26}, 0.03}}}
Lutra_vulgaris, {{2, {{46, 6, 5, 26}, 0.99}}, {98, {{46, 6, 5, 26}, 0.98}}}
Basilosaurus, {{100, {{46, 6, 5, 26}, 1.0}}}
Ovis_aries, {{100, {{46, 6, 5, 26}, 0.01}}}
Baryonyx.1, {{100, {{51, 3, 2, 27}, 1.0}}}
Spinosaurus.3, {{100, {{51, 3, 2, 27}, 1.0}}}
Spinosaurus.2, {{100, {{51, 3, 2, 27}, 1.0}}}
Spinosaurus.1, {{100, {{51, 3, 2, 27}, 1.0}}}
Baryonyx, {{100, {{51, 3, 2, 27}, 1.0}}}
Spinosaurus, {{100, {{51, 3, 2, 27}, 1.0}}}
Perameles_nasuta, {{91, {{51, 3, 2, 27}, 0.0}}, {9, {{51, 3, 2, 27}, 0.01}}}
Ashoroa_laticosta, {{100, {{51, 3, 2, 27}, 1.0}}}
Lepus_europaeus, {{61, {{51, 3, 2, 27}, 0.02}}, {39, {{51, 3, 2, 27}, 0.01}}}
Myocastor_coypus, {{100, {{51, 3, 2, 27}, 0.0}}}
Rattus_rattus, {{3, {{51, 3, 2, 27}, 0.05}}, {97, {{51, 3, 2, 27}, 0.06}}}
Neovison_vison, {{17, {{51, 3, 2, 27}, 0.02}}, {83, {{51, 3, 2, 27}, 0.01}}}
Tapirus_indicus, {{100, {{51, 3, 2, 27}, 0.0}}}
Cervus_elaphus_canadensis, {{100, {{51, 3, 2, 27}, 0.0}}}
Bison_bison, {{100, {{51, 3, 2, 27}, 0.0}}}
Baryonyx.1, {{100, {{48, 5, 4, 26}, 1.0}}}
Spinosaurus.3, {{100, {{48, 5, 4, 26}, 1.0}}}
Spinosaurus.2, {{100, {{48, 5, 4, 26}, 1.0}}}
Spinosaurus.1, {{100, {{48, 5, 4, 26}, 1.0}}}
Baryonyx, {{100, {{48, 5, 4, 26}, 1.0}}}
Spinosaurus, {{100, {{48, 5, 4, 26}, 1.0}}}
Monodelphis_domestica, {{100, {{48, 5, 4, 26}, 0.0}}}
Procavia_capensis, {{100, {{48, 5, 4, 26}, 0.0}}}
Dasyprocta__punctata, {{100, {{48, 5, 4, 26}, 0.0}}}
Myoprocta_pratti, {{100, {{48, 5, 4, 26}, 0.0}}}
