Crocodylus_niloticus, {{100, {{47, 6, 4, 25}, 1.0}}}
Baryonyx.1, {{100, {{47, 6, 4, 25}, 0.99}}}
Spinosaurus.3, {{100, {{47, 6, 4, 25}, 0.99}}}
Spinosaurus.2, {{100, {{47, 6, 4, 25}, 1.0}}}
Spinosaurus.1, {{100, {{47, 6, 4, 25}, 0.99}}}
Baryonyx, {{100, {{47, 6, 4, 25}, 1.0}}}
Spinosaurus, {{100, {{47, 6, 4, 25}, 1.0}}}
Caloenas_nicobarica, {{97, {{47, 6, 4, 25}, 0.09}}, {3, {{47, 6, 4, 25}, 0.08}}}
Eudyptes_chrysocome, {{100, {{47, 6, 4, 25}, 0.99}}}
Euroscaptor_micrura, {{100, {{47, 6, 4, 25}, 0.08}}}
Hemiechinus_azurites, {{16, {{47, 6, 4, 25}, 0.0}}, {84, {{47, 6, 4, 25}, 0.01}}}
Crocidura_russula, {{100, {{47, 6, 4, 25}, 0.02}}}
Equus_caballus, {{100, {{47, 6, 4, 25}, 0.08}}}
Tapirus_terrestris, {{49, {{47, 6, 4, 25}, 0.63}}, {51, {{47, 6, 4, 25}, 0.62}}}
Sus_scrofa, {{100, {{47, 6, 4, 25}, 0.0}}}
Giraffa_camelopardalis, {{100, {{47, 6, 4, 25}, 0.0}}}
Baryonyx.1, {{100, {{47, 6, 4, 26}, 0.99}}}
Spinosaurus.3, {{100, {{47, 6, 4, 26}, 0.99}}}
Spinosaurus.2, {{100, {{47, 6, 4, 26}, 1.0}}}
Spinosaurus.1, {{100, {{47, 6, 4, 26}, 0.99}}}
Baryonyx, {{100, {{47, 6, 4, 26}, 1.0}}}
Spinosaurus, {{100, {{47, 6, 4, 26}, 1.0}}}
Apteryx_owenii, {{13, {{47, 6, 4, 26}, 0.48}}, {87, {{47, 6, 4, 26}, 0.49}}}
Phalacrocorax_harris, {{62, {{47, 6, 4, 26}, 0.96}}, {38, {{47, 6, 4, 26}, 0.97}}}
Monodelphis_domestica, {{16, {{47, 6, 4, 26}, 0.03}}, {84, {{47, 6, 4, 26}, 0.02}}}
Tenrec_ecaudatus, {{96, {{47, 6, 4, 26}, 0.11}}, {4, {{47, 6, 4, 26}, 0.1}}}
Microgale_thomasi, {{1, {{47, 6, 4, 26}, 0.03}}, {99, {{47, 6, 4, 26}, 0.04}}}
Myoprocta_pratti, {{100, {{47, 6, 4, 26}, 0.0}}}
Noemys_fodies, {{30, {{47, 6, 4, 26}, 0.86}}, {70, {{47, 6, 4, 26}, 0.87}}}
Mustela_nivalis, {{10, {{47, 6, 4, 26}, 0.15}}, {90, {{47, 6, 4, 26}, 0.16}}}
Cervus_elaphus_canadensis, {{100, {{47, 6, 4, 26}, 0.0}}}
Baryonyx.1, {{100, {{49, 4, 3, 26}, 1.0}}}
Spinosaurus.3, {{100, {{49, 4, 3, 26}, 1.0}}}
Spinosaurus.2, {{100, {{49, 4, 3, 26}, 1.0}}}
Spinosaurus.1, {{100, {{49, 4, 3, 26}, 1.0}}}
Baryonyx, {{100, {{49, 4, 3, 26}, 1.0}}}
Spinosaurus, {{100, {{49, 4, 3, 26}, 1.0}}}
Casuarius_casuarius, {{100, {{49, 4, 3, 26}, 0.0}}}
Strigiops_habroptilus, {{100, {{49, 4, 3, 26}, 0.0}}}
Aptenodytes_patagonicus, {{100, {{49, 4, 3, 26}, 0.67}}}
Macropus_rufus, {{31, {{49, 4, 3, 26}, 0.14}}, {65, {{49, 4, 3, 26}, 0.13}}, {4, {{49, 4, 3, 26}, 0.12}}}
Myocastor_coypus, {{100, {{49, 4, 3, 26}, 0.0}}}
Apodemus_sp., {{100, {{49, 4, 3, 26}, 0.0}}}
Hydromys_chrysogaster, {{31, {{49, 4, 3, 26}, 0.96}}, {69, {{49, 4, 3, 26}, 0.97}}}
