Baryonyx.1, {{100, {{52, 4, 2, 24}, 1.0}}}
Spinosaurus.3, {{100, {{52, 4, 2, 24}, 1.0}}}
Spinosaurus.2, {{100, {{52, 4, 2, 24}, 1.0}}}
Spinosaurus.1, {{100, {{52, 4, 2, 24}, 1.0}}}
Baryonyx, {{100, {{52, 4, 2, 24}, 1.0}}}
Spinosaurus, {{100, {{52, 4, 2, 24}, 1.0}}}
Caloenas_nicobarica, {{100, {{52, 4, 2, 24}, 0.0}}}
Aptenodytes_patagonicus, {{100, {{52, 4, 2, 24}, 0.6}}}
Ornithorhynchus_anatinus, {{100, {{52, 4, 2, 24}, 1.0}}}
Microgale_thomasi, {{100, {{52, 4, 2, 24}, 0.0}}}
Dasyprocta__punctata, {{100, {{52, 4, 2, 24}, 0.0}}}
Hydromys_chrysogaster, {{51, {{52, 4, 2, 24}, 0.98}}, {49, {{52, 4, 2, 24}, 0.99}}}
Galemys_pyrenaicus, {{100, {{52, 4, 2, 24}, 0.0}}}
Panthera_leo_persica, {{100, {{52, 4, 2, 24}, 0.0}}}
Lutra_vulgaris, {{100, {{52, 4, 2, 24}, 1.0}}}
Tapirus_indicus, {{100, {{52, 4, 2, 24}, 0.0}}}
Baryonyx.1, {{100, {{48, 5, 4, 26}, 1.0}}}
Spinosaurus.3, {{100, {{48, 5, 4, 26}, 1.0}}}
Spinosaurus.2, {{100, {{48, 5, 4, 26}, 1.0}}}
Spinosaurus.1, {{100, {{48, 5, 4, 26}, 1.0}}}
Baryonyx, {{100, {{48, 5, 4, 26}, 1.0}}}
Spinosaurus, {{100, {{48, 5, 4, 26}, 1.0}}}
Atlantisia_rogersi, {{91, {{48, 5, 4, 26}, 0.14}}, {9, {{48, 5, 4, 26}, 0.13}}}
Spheniscus_humboldti, {{100, {{48, 5, 4, 26}, 1.0}}}
Rhynchocyon_petersi, {{90, {{48, 5, 4, 26}, 0.03}}, {10, {{48, 5, 4, 26}, 0.02}}}
Procavia_capensis, {{100, {{48, 5, 4, 26}, 0.0}}}
Paleoparadoxia_sp, {{100, {{48, 5, 4, 26}, 1.0}}}
Arvicola_amphibius, {{100, {{48, 5, 4, 26}, 0.0}}}
Taxidea_taxus, {{92, {{48, 5, 4, 26}, 0.05}}, {8, {{48, 5, 4, 26}, 0.04}}}
Equus_caballus, {{49, {{48, 5, 4, 26}, 0.07}}, {51, {{48, 5, 4, 26}, 0.08}}}
Rangifer_tarandus, {{90, {{48, 5, 4, 26}, 0.34}}, {10, {{48, 5, 4, 26}, 0.33}}}
Nothosaurus_sp., {{100, {{48, 6, 4, 24}, 1.0}}}
Neusticosaurus, {{100, {{48, 6, 4, 24}, 1.0}}}
Crocodylus_sp., {{100, {{48, 6, 4, 24}, 1.0}}}
Baryonyx.1, {{100, {{48, 6, 4, 24}, 0.98}}}
Spinosaurus.3, {{100, {{48, 6, 4, 24}, 0.98}}}
Spinosaurus.2, {{100, {{48, 6, 4, 24}, 1.0}}}
Spinosaurus.1, {{25, {{48, 6, 4, 24}, 0.97}}, {75, {{48, 6, 4, 24}, 0.98}}}
Baryonyx, {{100, {{48, 6, 4, 24}, 1.0}}}
Spinosaurus, {{100, {{48, 6, 4, 24}, 1.0}}}
Struthio_camelus, {{100, {{48, 6, 4, 24}, 0.05}}}
Didelphis_sp., {{100, {{48, 6, 4, 24}, 0.0}}}
Vombatus_ursinus, {{99, {{48, 6, 4, 24}, 0.92}}, {1, {{48, 6, 4, 24}, 0.93}}}
Dugong_dugon, {{100, {{48, 6, 4, 24}, 1.0}}}
Mustela_nivalis, {{59, {{48, 6, 4, 24}, 0.27}}, {41, {{48, 6, 4, 24}, 0.26}}}
Giraffa_camelopardalis, {{100, {{48, 6, 4, 24}, 0.01}}}
Bison_bonasus, {{100, {{48, 6, 4, 24}, 0.0}}}
Baryonyx.1, {{10, {{47, 5, 4, 27}, 1.0}}, {90, {{47, 5, 4, 27}, 0.99}}}
Spinosaurus.3, {{100, {{47, 5, 4, 27}, 1.0}}}
Spinosaurus.2, {{100, {{47, 5, 4, 27}, 1.0}}}
Spinosaurus.1, {{100, {{47, 5, 4, 27}, 0.99}}}
Baryonyx, {{100, {{47, 5, 4, 27}, 1.0}}}
Spinosaurus, {{100, {{47, 5, 4, 27}, 1.0}}}
Zaglossus_bruijni, {{100, {{47, 5, 4, 27}, 0.0}}}
Dasyurus_maculatus, {{6, {{47, 5, 4, 27}, 0.28}}, {93, {{47, 5, 4, 27}, 0.27}}, {1, {{47, 5, 4, 27}, 0.26}}}
Trichechus_manatus, {{100, {{47, 5, 4, 27}, 1.0}}}
Lepus_europaeus, {{32, {{47, 5, 4, 27}, 0.09}}, {68, {{47, 5, 4, 27}, 0.08}}}
Myoprocta_pratti, {{100, {{47, 5, 4, 27}, 0.0}}}
Crocidura_russula, {{90, {{47, 5, 4, 27}, 0.01}}, {10, {{47, 5, 4, 27}, 0.02}}}
Diplomesodon_pulchellum, {{70, {{47, 5, 4, 27}, 0.22}}, {30, {{47, 5, 4, 27}, 0.23}}}
Neovison_vison, {{76, {{47, 5, 4, 27}, 0.08}}, {24, {{47, 5, 4, 27}, 0.07}}}
Sus_scrofa, {{100, {{47, 5, 4, 27}, 0.0}}}
Baryonyx.1, {{100, {{49, 4, 3, 27}, 1.0}}}
Spinosaurus.3, {{100, {{49, 4, 3, 27}, 1.0}}}
Spinosaurus.2, {{100, {{49, 4, 3, 27}, 1.0}}}
Spinosaurus.1, {{100, {{49, 4, 3, 27}, 1.0}}}
Baryonyx, {{100, {{49, 4, 3, 27}, 1.0}}}
Spinosaurus, {{100, {{49, 4, 3, 27}, 1.0}}}
