Crocodylus_sp., {{100, 1.0}}
Crocodylus_niloticus, {{100, 1.0}}
Baryonyx.1, {{99, 0.99}, {1, 1.0}}
Spinosaurus.3, {{61, 0.99}, {39, 1.0}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.99}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Casuarius_casuarius, {{1, 0.01}, {99, 0.02}}
Spheniscus_humboldti, {{100, 1.0}}
Dasyurus_maculatus, {{93, 0.33}, {6, 0.34}, {1, 0.32}}
Microgale_thomasi, {{2, 0.04}, {98, 0.05}}
Apodemus_sp., {{1, 0.01}, {99, 0.02}}
Vulpes_vulpes, {{100, 0.0}}
Mustela_nivalis, {{1, 0.18}, {2, 0.2}, {97, 0.19}}
Capra_aegagrus, {{100, 0.59}}
Serpianosaurus, {{100, 1.0}}
Baryonyx.1, {{41, 0.99}, {59, 1.0}}
Spinosaurus.3, {{100, 1.0}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.99}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Orycteropus_afer, {{100, 0.0}}
Rhynchocyon_petersi, {{100, 0.05}}
Galemys_pyrenaicus, {{100, 0.0}}
Hemiechinus_azurites, {{100, 0.0}}
Nanophoca_vitulinoides, {{100, 1.0}}
Camelus_bactrianus, {{100, 0.02}}
Hippopotamus_amphibius, {{12, 0.92}, {88, 0.93}}
Giraffa_camelopardalis, {{100, 0.0}}
Neusticosaurus, {{100, 1.0}}
Baryonyx.1, {{100, 0.99}}
Spinosaurus.3, {{100, 0.99}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.99}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Atlantisia_rogersi, {{99, 0.32}, {1, 0.31}}
Vombatus_ursinus, {{100, 0.95}}
Dugong_dugon, {{100, 1.0}}
Galagoides_demidovii, {{100, 0.0}}
Hydromys_chrysogaster, {{100, 0.93}}
Felis_silvestris, {{99, 0.03}, {1, 0.02}}
Taxidea_taxus, {{65, 0.12}, {35, 0.13}}
Martes_martes, {{100, 0.02}}
Dorudon, {{100, 1.0}}
Baryonyx.1, {{100, 1.0}}
Spinosaurus.3, {{100, 1.0}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 1.0}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Apteryx_owenii, {{87, 0.4}, {13, 0.39}}
Aptenodytes_patagonicus, {{100, 0.68}}
Phalacrocorax_harris, {{100, 0.97}}
Ornithorhynchus_anatinus, {{100, 1.0}}
Tachyglossus_aculeatus_setosus, {{100, 0.0}}
Didelphis_sp., {{100, 0.0}}
Cercopithecus_mona, {{100, 0.0}}
Choeropsis_liberiensis, {{59, 0.26}, {40, 0.27}, {1, 0.25}}
Rodhocetus, {{100, 1.0}}
Baryonyx.1, {{100, 0.99}}
Spinosaurus.3, {{100, 0.99}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.99}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Caloenas_nicobarica, {{5, 0.1}, {95, 0.11}}
Strigiops_habroptilus, {{100, 0.02}}
Zaglossus_bruijni, {{100, 0.0}}
Euroscaptor_micrura, {{97, 0.1}, {3, 0.09}}
Crocidura_russula, {{100, 0.03}}
Martes_foina, {{100, 0.03}}
Lutra_vulgaris, {{98, 0.98}, {2, 0.99}}
Basilosaurus, {{100, 1.0}}
Ovis_aries, {{100, 0.01}}
Baryonyx.1, {{100, 1.0}}
Spinosaurus.3, {{100, 1.0}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 1.0}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Perameles_nasuta, {{91, 0.0}, {9, 0.01}}
Ashoroa_laticosta, {{100, 1.0}}
Lepus_europaeus, {{39, 0.01}, {61, 0.02}}
Myocastor_coypus, {{100, 0.0}}
Rattus_rattus, {{97, 0.06}, {3, 0.05}}
Neovison_vison, {{83, 0.01}, {17, 0.02}}
