Crocodylus_niloticus, {{100, 1.0}}
Baryonyx.1, {{100, 0.99}}
Spinosaurus.3, {{100, 0.99}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.99}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Caloenas_nicobarica, {{97, 0.09}, {3, 0.08}}
Eudyptes_chrysocome, {{100, 0.99}}
Euroscaptor_micrura, {{100, 0.08}}
Hemiechinus_azurites, {{16, 0.0}, {84, 0.01}}
Crocidura_russula, {{100, 0.02}}
Equus_caballus, {{100, 0.08}}
Tapirus_terrestris, {{49, 0.63}, {51, 0.62}}
Sus_scrofa, {{100, 0.0}}
Giraffa_camelopardalis, {{100, 0.0}}
Baryonyx.1, {{100, 0.99}}
Spinosaurus.3, {{100, 0.99}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.99}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Apteryx_owenii, {{13, 0.48}, {87, 0.49}}
Phalacrocorax_harris, {{62, 0.96}, {38, 0.97}}
Monodelphis_domestica, {{16, 0.03}, {84, 0.02}}
Tenrec_ecaudatus, {{4, 0.1}, {96, 0.11}}
Microgale_thomasi, {{99, 0.04}, {1, 0.03}}
Myoprocta_pratti, {{100, 0.0}}
Noemys_fodies, {{30, 0.86}, {70, 0.87}}
Mustela_nivalis, {{10, 0.15}, {90, 0.16}}
Cervus_elaphus_canadensis, {{100, 0.0}}
Baryonyx.1, {{100, 1.0}}
Spinosaurus.3, {{100, 1.0}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 1.0}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Casuarius_casuarius, {{100, 0.0}}
Strigiops_habroptilus, {{100, 0.0}}
Aptenodytes_patagonicus, {{100, 0.67}}
Macropus_rufus, {{4, 0.12}, {65, 0.13}, {31, 0.14}}
Myocastor_coypus, {{100, 0.0}}
Apodemus_sp., {{100, 0.0}}
Hydromys_chrysogaster, {{31, 0.96}, {69, 0.97}}
Galemys_pyrenaicus, {{100, 0.0}}
Tremarctos_ornatus, {{100, 0.59}}
Camelus_bactrianus, {{100, 0.0}}
Carentonosaurus_mineaui, {{100, 1.0}}
Baryonyx.1, {{100, 1.0}}
Spinosaurus.3, {{100, 1.0}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 1.0}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Procavia_capensis, {{100, 0.0}}
Cercopithecus_mona, {{100, 0.0}}
Gorilla_gorilla, {{100, 0.0}}
Arvicola_amphibius, {{100, 0.0}}
Genetta_genetta, {{100, 0.0}}
Martes_foina, {{100, 0.01}}
Basilosaurus, {{100, 1.0}}
Rangifer_tarandus, {{20, 0.33}, {80, 0.32}}
Nothosaurus_sp., {{100, 1.0}}
Neusticosaurus, {{100, 1.0}}
Serpianosaurus, {{100, 1.0}}
Baryonyx.1, {{100, 0.98}}
Spinosaurus.3, {{100, 0.98}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.98}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Rhynchocyon_petersi, {{39, 0.15}, {61, 0.16}}
Trichechus_manatus, {{100, 1.0}}
Castor_fiber, {{100, 0.97}}
Desmana_moschata, {{100, 0.96}}
Ursus_spelaeus, {{91, 0.92}, {9, 0.93}}
Tapirus_indicus, {{100, 0.03}}
Crocodylus_sp., {{100, 1.0}}
Baryonyx.1, {{100, 1.0}}
Spinosaurus.3, {{100, 1.0}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{65, 0.99}, {35, 1.0}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Ornithorhynchus_anatinus, {{1, 0.99}, {99, 1.0}}
Paleoparadoxia_sp, {{100, 1.0}}
Erinaceus_europaeus, {{100, 0.0}}
Panthera_leo_persica, {{100, 0.0}}
Taxidea_taxus, {{79, 0.07}, {21, 0.08}}
Martes_martes, {{100, 0.01}}
Hippopotamus_amphibius, {{1, 0.94}, {99, 0.93}}
Capra_aegagrus, {{100, 0.58}}
Baryonyx.1, {{100, 0.99}}
Spinosaurus.3, {{100, 0.99}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.99}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Struthio_camelus, {{100, 0.01}}
Perameles_nasuta, {{100, 0.05}}
Orycteropus_afer, {{100, 0.0}}
Sciurus_vulgaris, {{10, 0.01}, {90, 0.02}}
Rattus_rattus, {{49, 0.2}, {51, 0.19}}
Enhydra_lutris, {{5, 0.99}, {95, 1.0}}
Lutra_vulgaris, {{8, 0.98}, {92, 0.99}}
Rodhocetus, {{100, 1.0}}
Capreolus_capreolus, {{100, 0.0}}
Baryonyx.1, {{100, 1.0}}
Spinosaurus.3, {{100, 1.0}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 1.0}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Dasyurus_maculatus, {{75, 0.3}, {25, 0.31}}
Vombatus_ursinus, {{100, 0.98}}
Dugong_dugon, {{100, 1.0}}
Diplomesodon_pulchellum, {{61, 0.3}, {39, 0.29}}
Felis_silvestris, {{100, 0.01}}
Canis_lupus, {{100, 0.0}}
Nanophoca_vitulinoides, {{100, 1.0}}
Choeropsis_liberiensis, {{42, 0.32}, {58, 0.31}}
Ovis_aries, {{100, 0.0}}
Ceresiosaurus, {{100, 1.0}}
Baryonyx.1, {{100, 0.99}}
Spinosaurus.3, {{100, 0.99}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.99}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Spheniscus_humboldti, {{100, 0.99}}
Tachyglossus_aculeatus_setosus, {{93, 0.01}, {7, 0.02}}
Didelphis_sp., {{100, 0.0}}
Choloepus_didactylus, {{100, 0.0}}
Dasyprocta__punctata, {{100, 0.0}}
Vulpes_vulpes, {{100, 0.0}}
Neovison_vison, {{100, 0.1}}
Dorudon, {{100, 1.0}}
Baryonyx.1, {{100, 0.99}}
Spinosaurus.3, {{100, 0.99}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.99}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Atlantisia_rogersi, {{35, 0.28}, {65, 0.29}}
Zaglossus_bruijni, {{100, 0.0}}
Ashoroa_laticosta, {{100, 1.0}}
Galagoides_demidovii, {{100, 0.0}}
Lepus_europaeus, {{40, 0.12}, {60, 0.11}}
Bison_bison, {{100, 0.04}}
Bison_bonasus, {{100, 0.0}}
Aepyceros_melampus, {{92, 0.06}, {8, 0.05}}
Hemitragus_jayakari, {{100, 0.01}}
