Ornithorhynchus_anatinus, {{100, 0.99}}
Chironectes_minimus, {{99, 0.98}, {1, 0.99}}
Myrmecophaga_tridactyla, {{22, 0.76}, {78, 0.77}}
Mustela_nivalis, {{100, 0.02}}
Uncia_uncia, {{54, 0.06}, {46, 0.05}}
Pogona_viceps, {{100, 0.0}}
Protochampsidae, {{49, 0.1}, {13, 0.11}, {33, 0.09}, {5, 0.08}}
Mussaurus, {{22, 0.22}, {1, 0.18}, {18, 0.2}, {8, 0.24}, {18, 0.23}, {3, 0.25}, {22, 0.21}, {8, 0.19}}
Spinosaurus_.11, {{1, 0.26}, {4, 0.16}, {2, 0.25}, {15, 0.22}, {3, 0.15}, {14, 0.2}, {8, 0.18}, {12, 0.21}, {12, 0.19}, {6, 0.24}, {10, 0.17}, {13, 0.23}}
Spinosaurus_.10, {{13, 0.3}, {6, 0.32}, {11, 0.26}, {8, 0.25}, {6, 0.28}, {1, 0.22}, {2, 0.34}, {10, 0.31}, {5, 0.33}, {8, 0.27}, {2, 0.21}, {6, 0.24}, {8, 0.23}, {14, 0.29}}
Spinosaurus_.9, {{100, 1.0}}
Spinosaurus_.8, {{100, 1.0}}
Spinosaurus_.7, {{10, 0.99}, {90, 1.0}}
Spinosaurus_.6, {{44, 0.98}, {1, 0.96}, {55, 0.97}}
Spinosaurus_.5, {{100, 1.0}}
Spinosaurus_.4, {{100, 1.0}}
Spinosaurus_.3, {{100, 1.0}}
Spinosaurus_.2, {{24, 0.99}, {76, 1.0}}
Spinosaurus_.1, {{19, 0.98}, {9, 0.96}, {72, 0.97}}
Spinosaurus_, {{100, 1.0}}
Baryonyx.3, {{46, 0.92}, {4, 0.94}, {1, 0.91}, {49, 0.93}}
Baryonyx.2, {{83, 0.99}, {17, 1.0}}
Baryonyx.1, {{100, 1.0}}
Suchomimus.3, {{48, 0.03}, {52, 0.02}}
Suchomimus.2, {{11, 0.22}, {4, 0.18}, {28, 0.2}, {1, 0.24}, {5, 0.23}, {31, 0.21}, {20, 0.19}}
Suchomimus.1, {{28, 0.03}, {72, 0.02}}
Suchomimus, {{4, 0.22}, {11, 0.18}, {35, 0.2}, {2, 0.23}, {20, 0.21}, {28, 0.19}}
Baryonyx, {{100, 1.0}}
Troodon_formosus, {{1, 0.4}, {37, 0.37}, {22, 0.38}, {2, 0.34}, {11, 0.36}, {17, 0.35}, {10, 0.39}}
Avimaia, {{100, 0.0}}
Hesperornis, {{82, 0.95}, {18, 0.94}}
Goura_cristata, {{100, 0.0}}
Aramus_guarauna, {{100, 0.0}}
Psophia_crepitans_napensis, {{100, 0.0}}
Nestor_notabilis, {{100, 0.0}}
Phoenicopterus_roseus, {{100, 0.0}}
Rynochetus_jubatus, {{100, 0.0}}
Meles_meles, {{46, 0.03}, {54, 0.02}}
Vulpes_vulpes, {{100, 0.0}}
Remingtonocetus, {{59, 0.84}, {41, 0.83}}
Capreolus_capreolus, {{100, 0.0}}
Serpianosaurus, {{100, 1.0}}
Nothosaurus_giganteus, {{3, 0.85}, {2, 0.81}, {31, 0.84}, {18, 0.82}, {46, 0.83}}
Nothosaurus_mirabilis, {{100, 1.0}}
Plateosaurus, {{100, 0.0}}
Spinosaurus_.11, {{7, 0.21}, {1, 0.22}, {19, 0.18}, {5, 0.15}, {17, 0.2}, {15, 0.17}, {14, 0.16}, {6, 0.14}, {16, 0.19}}
Spinosaurus_.10, {{6, 0.3}, {15, 0.26}, {9, 0.25}, {10, 0.28}, {7, 0.22}, {1, 0.2}, {19, 0.27}, {5, 0.21}, {11, 0.24}, {8, 0.23}, {9, 0.29}}
Spinosaurus_.9, {{100, 1.0}}
Spinosaurus_.8, {{100, 1.0}}
Spinosaurus_.7, {{100, 1.0}}
Spinosaurus_.6, {{31, 0.98}, {69, 0.97}}
Spinosaurus_.5, {{100, 1.0}}
Spinosaurus_.4, {{100, 1.0}}
Spinosaurus_.3, {{100, 1.0}}
Spinosaurus_.2, {{100, 1.0}}
Spinosaurus_.1, {{56, 0.98}, {44, 0.97}}
Spinosaurus_, {{100, 1.0}}
Baryonyx.3, {{8, 0.92}, {48, 0.91}, {41, 0.9}, {3, 0.89}}
Baryonyx.2, {{84, 0.99}, {16, 1.0}}
Baryonyx.1, {{100, 1.0}}
Suchomimus.3, {{100, 0.01}}
Suchomimus.2, {{40, 0.12}, {12, 0.11}, {41, 0.13}, {7, 0.14}}
Suchomimus.1, {{100, 0.01}}
