Dasyurus_maculatus, {{15, 0.67}, {84, 0.66}, {1, 0.65}}
Myrmecophaga_tridactyla, {{11, 0.81}, {86, 0.82}, {3, 0.83}}
Tamandua_tetradactyla, {{100, 0.97}}
Desmana_moschata, {{100, 1.0}}
Mustela_nivalis, {{97, 0.01}, {3, 0.02}}
Meles_meles, {{100, 0.01}}
Maiacetus, {{100, 1.0}}
Simosaurus_1, {{100, 1.0}}
Nothosaurus_150, {{100, 1.0}}
Spinosaurus_.11, {{1, 0.16}, {1, 0.08}, {17, 0.12}, {16, 0.1}, {17, 0.09}, {20, 0.13}, {10, 0.14}, {18, 0.11}}
Spinosaurus_.10, {{1, 0.26}, {15, 0.16}, {11, 0.22}, {5, 0.15}, {17, 0.2}, {8, 0.18}, {16, 0.21}, {9, 0.19}, {2, 0.24}, {8, 0.17}, {8, 0.23}}
Spinosaurus_.9, {{100, 1.0}}
Spinosaurus_.8, {{100, 1.0}}
Spinosaurus_.7, {{100, 1.0}}
Spinosaurus_.6, {{100, 0.99}}
Spinosaurus_.5, {{100, 1.0}}
Spinosaurus_.4, {{100, 1.0}}
Spinosaurus_.3, {{100, 1.0}}
Spinosaurus_.2, {{100, 1.0}}
Spinosaurus_.1, {{100, 0.99}}
Spinosaurus_, {{100, 1.0}}
Baryonyx.3, {{63, 0.95}, {37, 0.96}}
Baryonyx.2, {{100, 1.0}}
Baryonyx.1, {{100, 1.0}}
Suchomimus.3, {{100, 0.0}}
Suchomimus.2, {{37, 0.07}, {50, 0.06}, {10, 0.08}, {3, 0.05}}
Suchomimus.1, {{100, 0.0}}
Suchomimus, {{54, 0.07}, {1, 0.09}, {17, 0.08}, {27, 0.06}, {1, 0.05}}
Baryonyx, {{100, 1.0}}
Tyrannotitan, {{23, 0.15}, {8, 0.16}, {6, 0.12}, {29, 0.13}, {34, 0.14}}
Hesperornis, {{32, 0.95}, {68, 0.96}}
Apteryx_australis, {{100, 0.0}}
Anas_aucklandica, {{100, 0.0}}
Columba_, {{100, 0.0}}
Psophia_crepitans_napensis, {{100, 0.0}}
Glareola_pratincola, {{100, 0.0}}
Rynochetus_jubatus, {{100, 0.0}}
Rhynchocyon_petersi, {{100, 0.0}}
Noemys_fodies, {{48, 0.59}, {47, 0.58}, {2, 0.57}, {3, 0.6}}
Taxidea_taxus, {{43, 0.28}, {55, 0.27}, {2, 0.29}}
Otaria_byronia, {{2, 0.95}, {98, 0.96}}
Bos_taurus, {{14, 0.37}, {57, 0.36}, {29, 0.35}}
Bison_bonasus, {{97, 0.0}, {3, 0.01}}
Alces_americanus, {{35, 0.03}, {65, 0.02}}
Serpianosaurus, {{100, 1.0}}
Fruitadens, {{4, 0.01}, {96, 0.02}}
Dysalotosaurus, {{14, 0.81}, {43, 0.82}, {43, 0.83}}
Spinosaurus_.11, {{14, 0.26}, {12, 0.25}, {4, 0.28}, {8, 0.22}, {17, 0.2}, {1, 0.18}, {14, 0.27}, {11, 0.21}, {3, 0.19}, {8, 0.24}, {7, 0.23}, {1, 0.29}}
Spinosaurus_.10, {{5, 0.3}, {10, 0.32}, {6, 0.26}, {12, 0.35}, {1, 0.25}, {5, 0.28}, {1, 0.38}, {13, 0.34}, {6, 0.31}, {14, 0.33}, {11, 0.27}, {4, 0.36}, {12, 0.29}}
Spinosaurus_.9, {{100, 1.0}}
Spinosaurus_.8, {{100, 1.0}}
