Mustela_nivalis, {{14, 0.03}, {86, 0.02}}
Uncia_uncia, {{13, 0.01}, {87, 0.02}}
Tapirus_terrestris, {{33, 0.07}, {4, 0.09}, {63, 0.08}}
Lama_guanicoe, {{100, 0.0}}
Basilosaurus, {{100, 1.0}}
Megaloceros_sp, {{100, 0.0}}
Pistosaurus, {{100, 1.0}}
Nothosaurus_mirabilis_1, {{100, 0.99}}
Alligator, {{100, 1.0}}
Spinosaurus_.11, {{23, 0.07}, {12, 0.1}, {3, 0.11}, {29, 0.09}, {25, 0.08}, {8, 0.06}}
Spinosaurus_.10, {{21, 0.15}, {1, 0.18}, {2, 0.17}, {22, 0.12}, {13, 0.11}, {16, 0.13}, {4, 0.1}, {16, 0.14}, {5, 0.16}}
Spinosaurus_.9, {{100, 1.0}}
Spinosaurus_.8, {{100, 1.0}}
Spinosaurus_.7, {{2, 0.99}, {98, 1.0}}
Spinosaurus_.6, {{6, 0.95}, {48, 0.96}, {46, 0.97}}
Spinosaurus_.5, {{100, 1.0}}
Spinosaurus_.4, {{100, 1.0}}
Spinosaurus_.3, {{100, 1.0}}
Spinosaurus_.2, {{100, 1.0}}
Spinosaurus_.1, {{14, 0.98}, {7, 0.96}, {79, 0.97}}
Spinosaurus_, {{100, 1.0}}
Baryonyx.3, {{32, 0.85}, {10, 0.86}, {1, 0.81}, {30, 0.84}, {5, 0.82}, {21, 0.83}, {1, 0.87}}
Baryonyx.2, {{100, 0.99}}
Baryonyx.1, {{100, 1.0}}
Suchomimus.3, {{100, 0.0}}
Suchomimus.2, {{7, 0.03}, {78, 0.04}, {15, 0.05}}
Suchomimus.1, {{100, 0.0}}
Suchomimus, {{51, 0.04}, {4, 0.06}, {45, 0.05}}
Baryonyx, {{100, 1.0}}
Australovenator, {{100, 0.0}}
Gobiraptor_, {{100, 0.0}}
Hesperornis, {{54, 0.92}, {46, 0.93}}
Meleagris, {{100, 0.0}}
Gallus_domesticus, {{100, 0.0}}
Trybonix_ventralis, {{100, 0.0}}
Strigiops_habroptilus, {{100, 0.0}}
Rynochetus_jubatus, {{100, 0.0}}
Hemiechinus_azurites, {{97, 0.78}, {3, 0.77}}
Euroscaptor_micrura, {{4, 0.28}, {41, 0.26}, {46, 0.27}, {9, 0.25}}
Lutra_vulgaris, {{100, 0.99}}
Sus_scrofa, {{100, 0.0}}
Rangifer_tarandus, {{100, 0.0}}
Neusticosaurus, {{100, 1.0}}
Nothosaurus_giganteus, {{2, 0.85}, {10, 0.81}, {13, 0.84}, {43, 0.83}, {30, 0.82}, {2, 0.8}}
Syntarsus_, {{100, 0.0}}
Spinosaurus_.11, {{15, 0.15}, {15, 0.18}, {3, 0.2}, {19, 0.17}, {21, 0.16}, {3, 0.12}, {14, 0.13}, {9, 0.14}, {1, 0.19}}
Spinosaurus_.10, {{14, 0.26}, {13, 0.25}, {1, 0.28}, {20, 0.22}, {11, 0.2}, {6, 0.27}, {5, 0.21}, {6, 0.19}, {14, 0.24}, {8, 0.23}, {2, 0.29}}
Spinosaurus_.9, {{100, 1.0}}
Spinosaurus_.8, {{100, 1.0}}
Spinosaurus_.7, {{100, 1.0}}
Spinosaurus_.6, {{80, 0.98}, {20, 0.97}}
Spinosaurus_.5, {{100, 1.0}}
Spinosaurus_.4, {{100, 1.0}}
Spinosaurus_.3, {{100, 1.0}}
Spinosaurus_.2, {{100, 1.0}}
Spinosaurus_.1, {{96, 0.98}, {4, 0.97}}
Spinosaurus_, {{100, 1.0}}
Baryonyx.3, {{35, 0.92}, {55, 0.91}, {9, 0.9}, {1, 0.93}}
Baryonyx.2, {{100, 1.0}}
Baryonyx.1, {{100, 1.0}}
Suchomimus.3, {{100, 0.01}}
Suchomimus.2, {{51, 0.1}, {17, 0.11}, {25, 0.09}, {6, 0.12}, {1, 0.08}}
Suchomimus.1, {{100, 0.01}}
Suchomimus, {{40, 0.1}, {41, 0.11}, {9, 0.09}, {3, 0.13}, {7, 0.12}}
Baryonyx, {{100, 1.0}}
Torvosaurus, {{16, 0.78}, {37, 0.79}, {9, 0.81}, {3, 0.77}, {35, 0.8}}
Tinamou, {{100, 0.0}}
Chauna_chavaria, {{100, 0.0}}
Anser_fabalis, {{100, 0.0}}
Anas_discors, {{100, 0.0}}
Raphus, {{100, 0.01}}
Podica_senegalensis, {{100, 0.0}}
Porzana_carolina, {{100, 0.0}}
Ornithorhynchus_anatinus, {{100, 1.0}}
Micropotamogale_euwenzorii, {{100, 0.99}}
Tenrec_ecaudatus, {{100, 0.96}}
Indohyus, {{100, 1.0}}
Remingtonocetus, {{69, 0.85}, {28, 0.86}, {3, 0.84}}
Maiacetus, {{100, 1.0}}
Hippopotamus_amphibius, {{100, 0.98}}
Giraffa_camelopardalis, {{100, 0.0}}
Cephalophus_silvicultor, {{21, 0.04}, {79, 0.05}}
Anarosaurus, {{100, 1.0}}
Serpianosaurus, {{100, 1.0}}
Cryptoclidus, {{100, 1.0}}
Spinosaurus_.11, {{3, 0.21}, {11, 0.15}, {15, 0.18}, {15, 0.2}, {12, 0.17}, {10, 0.16}, {3, 0.23}, {6, 0.13}, {10, 0.14}, {15, 0.19}}
Spinosaurus_.10, {{1, 0.32}, {10, 0.26}, {7, 0.25}, {16, 0.28}, {8, 0.22}, {10, 0.2}, {2, 0.31}, {9, 0.27}, {6, 0.21}, {3, 0.19}, {10, 0.24}, {13, 0.23}, {5, 0.29}}
Spinosaurus_.9, {{100, 1.0}}
Spinosaurus_.8, {{100, 1.0}}
Spinosaurus_.7, {{4, 0.99}, {96, 1.0}}
Spinosaurus_.6, {{31, 0.98}, {9, 0.96}, {60, 0.97}}
Spinosaurus_.5, {{100, 1.0}}
Spinosaurus_.4, {{100, 1.0}}
Spinosaurus_.3, {{100, 1.0}}
Spinosaurus_.2, {{1, 0.99}, {99, 1.0}}
Spinosaurus_.1, {{42, 0.98}, {4, 0.96}, {54, 0.97}}
Spinosaurus_, {{100, 1.0}}
Baryonyx.3, {{12, 0.92}, {55, 0.91}, {31, 0.9}, {1, 0.89}, {1, 0.93}}
Baryonyx.2, {{88, 0.99}, {12, 1.0}}
Baryonyx.1, {{100, 1.0}}
Suchomimus.3, {{97, 0.01}, {3, 0.02}}
Suchomimus.2, {{6, 0.15}, {21, 0.12}, {5, 0.16}, {39, 0.13}, {4, 0.11}, {25, 0.14}}
Suchomimus.1, {{93, 0.01}, {7, 0.02}}
Suchomimus, {{9, 0.15}, {19, 0.12}, {6, 0.16}, {33, 0.13}, {1, 0.11}, {32, 0.14}}
Baryonyx, {{100, 1.0}}
Gorgosaurus, {{24, 0.58}, {20, 0.59}, {2, 0.61}, {8, 0.56}, {1, 0.54}, {6, 0.55}, {28, 0.57}, {11, 0.6}}
Deinonychus, {{2, 0.1}, {25, 0.11}, {50, 0.12}, {20, 0.13}, {3, 0.14}}
Goura_cristata, {{100, 0.0}}
Fregata_aquila, {{100, 0.0}}
Dasyurus_maculatus, {{96, 0.73}, {4, 0.72}}
Microgale_thomasi, {{53, 0.0}, {47, 0.01}}
Paguma_larvata, {{1, 0.07}, {56, 0.06}, {43, 0.05}}
Rodhocetus, {{100, 1.0}}
Chapsosaurus_, {{100, 1.0}}
Nothosaurus_150, {{100, 1.0}}
Cricosaurus, {{100, 1.0}}
Caiman_yacare, {{100, 1.0}}
Ramphorynchus, {{37, 0.18}, {2, 0.2}, {32, 0.17}, {3, 0.16}, {26, 0.19}}
Fruitadens, {{100, 0.01}}
Spinosaurus_.11, {{9, 0.14}, {2, 0.15}, {14, 0.1}, {26, 0.12}, {24, 0.13}, {15, 0.11}, {9, 0.09}, {1, 0.16}}
Spinosaurus_.10, {{3, 0.22}, {12, 0.18}, {14, 0.15}, {15, 0.2}, {1, 0.24}, {19, 0.17}, {6, 0.16}, {1, 0.23}, {13, 0.21}, {16, 0.19}}
Spinosaurus_.9, {{100, 1.0}}
Spinosaurus_.8, {{100, 1.0}}
Spinosaurus_.7, {{100, 1.0}}
Spinosaurus_.6, {{16, 0.98}, {9, 0.96}, {75, 0.97}}
Spinosaurus_.5, {{100, 1.0}}
Spinosaurus_.4, {{100, 1.0}}
Spinosaurus_.3, {{100, 1.0}}
Spinosaurus_.2, {{100, 1.0}}
Spinosaurus_.1, {{86, 0.98}, {14, 0.97}}
Spinosaurus_, {{100, 1.0}}
Baryonyx.3, {{24, 0.88}, {6, 0.85}, {23, 0.86}, {2, 0.89}, {45, 0.87}}
Baryonyx.2, {{61, 0.99}, {39, 1.0}}
Baryonyx.1, {{100, 1.0}}
Suchomimus.3, {{100, 0.0}}
Suchomimus.2, {{4, 0.04}, {3, 0.07}, {24, 0.06}, {69, 0.05}}
Suchomimus.1, {{99, 0.0}, {1, 0.01}}
Suchomimus, {{10, 0.07}, {63, 0.06}, {26, 0.05}, {1, 0.08}}
Baryonyx, {{100, 1.0}}
Rahonavis, {{100, 0.0}}
Troodon_formosus, {{20, 0.22}, {32, 0.24}, {3, 0.26}, {30, 0.23}, {14, 0.25}, {1, 0.21}}
Apteryx_australis, {{77, 0.0}, {23, 0.01}}
Anas_erythroincha, {{100, 0.01}}
Sarothrura_rufa, {{56, 0.01}, {44, 0.02}}
Phalacrocorax_harrisi, {{23, 0.15}, {13, 0.13}, {64, 0.14}}
Chironectes_minimus, {{100, 0.99}}
Hydromys_chrysogaster, {{30, 0.22}, {7, 0.24}, {63, 0.23}}
Diplomesodon_pulchellum, {{72, 0.83}, {28, 0.82}}
Nanophoca_vitulinoides, {{100, 1.0}}
Nyctereutes_procyonoides, {{48, 0.03}, {52, 0.02}}
Rupicapra_rupicapra, {{100, 0.0}}
Bos_taurus, {{41, 0.28}, {6, 0.26}, {49, 0.27}, {4, 0.29}}
Nothosaurus_mirabilis, {{100, 1.0}}
Nothosaurus_102, {{100, 1.0}}
Pterosaur_Tremp, {{100, 0.0}}
Mussaurus, {{16, 0.15}, {28, 0.12}, {11, 0.11}, {21, 0.13}, {2, 0.16}, {22, 0.14}}
Spinosaurus_.11, {{10, 0.16}, {3, 0.22}, {12, 0.15}, {16, 0.2}, {8, 0.14}, {16, 0.18}, {1, 0.13}, {5, 0.21}, {14, 0.19}, {14, 0.17}, {1, 0.23}}
Spinosaurus_.10, {{5, 0.3}, {2, 0.32}, {9, 0.26}, {11, 0.25}, {16, 0.28}, {7, 0.22}, {3, 0.2}, {1, 0.31}, {11, 0.27}, {8, 0.21}, {11, 0.24}, {11, 0.23}, {5, 0.29}}
Spinosaurus_.9, {{100, 1.0}}
Spinosaurus_.8, {{100, 1.0}}
Spinosaurus_.7, {{100, 1.0}}
Spinosaurus_.6, {{62, 0.98}, {1, 0.96}, {37, 0.97}}
Spinosaurus_.5, {{100, 1.0}}
Spinosaurus_.4, {{100, 1.0}}
Spinosaurus_.3, {{100, 1.0}}
Spinosaurus_.2, {{100, 1.0}}
Spinosaurus_.1, {{75, 0.98}, {25, 0.97}}
Spinosaurus_, {{100, 1.0}}
Baryonyx.3, {{59, 0.92}, {35, 0.91}, {2, 0.9}, {4, 0.93}}
Baryonyx.2, {{24, 0.99}, {76, 1.0}}
Baryonyx.1, {{100, 1.0}}
Suchomimus.3, {{98, 0.01}, {2, 0.02}}
Suchomimus.2, {{15, 0.15}, {14, 0.12}, {5, 0.16}, {41, 0.13}, {25, 0.14}}
Suchomimus.1, {{95, 0.01}, {5, 0.02}}
Suchomimus, {{16, 0.15}, {10, 0.12}, {6, 0.16}, {31, 0.13}, {37, 0.14}}
Baryonyx, {{100, 1.0}}
Condorraptor, {{100, 0.0}}
Anseranas_semipalmata, {{100, 0.0}}
Tribonyx_mortieri, {{96, 0.0}, {4, 0.01}}
Turdus_olivator, {{100, 0.0}}
Phoenicopterus_roseus, {{100, 0.0}}
Rhynchocyon_petersi, {{100, 0.0}}
Mus_musculus, {{100, 0.0}}
Meles_meles, {{100, 0.03}}
Procyon_lotor, {{10, 0.07}, {4, 0.09}, {86, 0.08}}
Phocanella_pumila, {{100, 1.0}}
Ursus_maritimus, {{20, 0.01}, {80, 0.02}}
Okapia_johnstoni, {{89, 0.03}, {11, 0.02}}
Simosaurus, {{100, 1.0}}
Rhaeticosaurus, {{100, 1.0}}
Poposaurus, {{100, 0.0}}
Lepidus, {{100, 0.0}}
Spinosaurus_.11, {{16, 0.22}, {14, 0.18}, {15, 0.2}, {3, 0.24}, {1, 0.17}, {19, 0.23}, {3, 0.25}, {21, 0.21}, {8, 0.19}}
Spinosaurus_.10, {{12, 0.3}, {18, 0.32}, {11, 0.26}, {2, 0.25}, {1, 0.35}, {18, 0.28}, {2, 0.34}, {13, 0.31}, {3, 0.33}, {7, 0.27}, {13, 0.29}}
Spinosaurus_.9, {{100, 1.0}}
Spinosaurus_.8, {{100, 1.0}}
Spinosaurus_.7, {{100, 1.0}}
Spinosaurus_.6, {{79, 0.98}, {21, 0.97}}
Spinosaurus_.5, {{100, 1.0}}
Spinosaurus_.4, {{100, 1.0}}
Spinosaurus_.3, {{100, 1.0}}
Spinosaurus_.2, {{100, 1.0}}
Spinosaurus_.1, {{96, 0.98}, {4, 0.97}}
Spinosaurus_, {{100, 1.0}}
Baryonyx.3, {{71, 0.92}, {19, 0.91}, {10, 0.93}}
Baryonyx.2, {{19, 0.99}, {81, 1.0}}
Baryonyx.1, {{100, 1.0}}
Suchomimus.3, {{90, 0.01}, {10, 0.02}}
Suchomimus.2, {{38, 0.15}, {4, 0.17}, {9, 0.16}, {11, 0.13}, {38, 0.14}}
Suchomimus.1, {{80, 0.01}, {20, 0.02}}
Suchomimus, {{40, 0.15}, {1, 0.18}, {8, 0.17}, {24, 0.16}, {3, 0.13}, {24, 0.14}}
Baryonyx, {{100, 1.0}}
Allosaurus_, {{83, 0.0}, {17, 0.01}}
Rhynchotus_rufescens_, {{100, 0.0}}
Columba_, {{100, 0.0}}
Caloenas_nicobarica, {{100, 0.0}}
Psophia_crepitans_napensis, {{100, 0.0}}
Noemys_fodies, {{11, 0.52}, {39, 0.5}, {42, 0.51}, {8, 0.49}}
Desmana_moschata, {{100, 1.0}}
Capreolus_capreolus, {{100, 0.0}}
Alces_americanus, {{29, 0.01}, {71, 0.02}}
Simosaurus_1, {{47, 0.95}, {46, 0.94}, {7, 0.93}}
Sphenodon_punctatus, {{55, 0.85}, {45, 0.84}}
Lacerta_viridis, {{52, 0.18}, {42, 0.17}, {3, 0.16}, {3, 0.19}}
Spinosaurus_.11, {{13, 0.16}, {3, 0.25}, {15, 0.22}, {2, 0.15}, {13, 0.2}, {12, 0.18}, {16, 0.21}, {13, 0.19}, {1, 0.24}, {5, 0.17}, {7, 0.23}}
Spinosaurus_.10, {{19, 0.3}, {2, 0.32}, {11, 0.26}, {14, 0.25}, {13, 0.28}, {7, 0.22}, {1, 0.34}, {4, 0.31}, {1, 0.33}, {6, 0.27}, {1, 0.21}, {6, 0.24}, {7, 0.29}, {8, 0.23}}
Spinosaurus_.9, {{100, 1.0}}
Spinosaurus_.8, {{100, 1.0}}
Spinosaurus_.7, {{79, 0.99}, {21, 1.0}}
Spinosaurus_.6, {{3, 0.95}, {41, 0.96}, {56, 0.97}}
Spinosaurus_.5, {{100, 1.0}}
Spinosaurus_.4, {{100, 1.0}}
