Baryonyx.1, {{100, {{82, 5, 10, 25}, 0.99}}}
Spinosaurus.3, {{100, {{82, 5, 10, 25}, 0.99}}}
Spinosaurus.2, {{100, {{82, 5, 10, 25}, 1.0}}}
Spinosaurus.1, {{100, {{82, 5, 10, 25}, 0.99}}}
Baryonyx, {{100, {{82, 5, 10, 25}, 1.0}}}
Spinosaurus, {{100, {{82, 5, 10, 25}, 1.0}}}
Lourinhanosaurus, {{83, {{82, 5, 10, 25}, 0.05}}, {17, {{82, 5, 10, 25}, 0.04}}}
Goura_cristata, {{100, {{82, 5, 10, 25}, 0.0}}}
Phaenicopterus_roseus, {{18, {{82, 5, 10, 25}, 0.31}}, {82, {{82, 5, 10, 25}, 0.3}}}
Larus_argentatus, {{100, {{82, 5, 10, 25}, 0.0}}}
Phalacrocorax_harris, {{100, {{82, 5, 10, 25}, 0.88}}}
Ornithorhynchus_anatinus, {{100, {{82, 5, 10, 25}, 0.96}}}
Didelphis_sp., {{100, {{82, 5, 10, 25}, 0.0}}}
Pipistrellus_pipistrellus, {{100, {{82, 5, 10, 25}, 0.0}}}
Felis_silvestris, {{14, {{82, 5, 10, 25}, 0.03}}, {86, {{82, 5, 10, 25}, 0.04}}}
Lutra_vulgaris, {{100, {{82, 5, 10, 25}, 0.95}}}
Sus_scrofa, {{100, {{82, 5, 10, 25}, 0.01}}}
Basilosaurus, {{100, {{82, 5, 10, 25}, 1.0}}}
Giraffa_camelopardalis, {{100, {{82, 5, 10, 25}, 0.02}}}
Capra_aegagrus, {{30, {{82, 5, 10, 25}, 0.65}}, {70, {{82, 5, 10, 25}, 0.64}}}
Baryonyx.1, {{100, {{82, 5, 9, 27}, 0.99}}}
Spinosaurus.3, {{100, {{82, 5, 9, 27}, 0.99}}}
Spinosaurus.2, {{100, {{82, 5, 9, 27}, 1.0}}}
Spinosaurus.1, {{100, {{82, 5, 9, 27}, 0.98}}}
Baryonyx, {{100, {{82, 5, 9, 27}, 1.0}}}
Spinosaurus, {{100, {{82, 5, 9, 27}, 1.0}}}
Struthio_camelus, {{93, {{82, 5, 9, 27}, 0.04}}, {7, {{82, 5, 9, 27}, 0.05}}}
Melanitta_nigra, {{96, {{82, 5, 9, 27}, 0.09}}, {4, {{82, 5, 9, 27}, 0.08}}}
Anas_erythrorhyncha, {{59, {{82, 5, 9, 27}, 0.21}}, {41, {{82, 5, 9, 27}, 0.2}}}
Dendrocopos_major, {{100, {{82, 5, 9, 27}, 0.08}}}
Nestor_notabilis, {{100, {{82, 5, 9, 27}, 0.06}}}
Corvus_corone, {{100, {{82, 5, 9, 27}, 0.0}}}
Glareola_pratincula, {{3, {{82, 5, 9, 27}, 0.37}}, {97, {{82, 5, 9, 27}, 0.38}}}
Pelagodroma_marina, {{93, {{82, 5, 9, 27}, 0.14}}, {7, {{82, 5, 9, 27}, 0.13}}}
Microgale_thomasi, {{9, {{82, 5, 9, 27}, 0.07}}, {91, {{82, 5, 9, 27}, 0.06}}}
Ashoroa_laticosta, {{100, {{82, 5, 9, 27}, 0.99}}}
Diplomesodon_pulchellum, {{52, {{82, 5, 9, 27}, 0.22}}, {48, {{82, 5, 9, 27}, 0.23}}}
Neovison_vison, {{86, {{82, 5, 9, 27}, 0.14}}, {14, {{82, 5, 9, 27}, 0.13}}}
Capreolus_capreolus, {{100, {{82, 5, 9, 27}, 0.0}}}
Baryonyx.1, {{100, {{81, 5, 9, 27}, 0.99}}}
Spinosaurus.3, {{100, {{81, 5, 9, 27}, 0.99}}}
Spinosaurus.2, {{100, {{81, 5, 9, 27}, 1.0}}}
Spinosaurus.1, {{99, {{81, 5, 9, 27}, 0.98}}, {1, {{81, 5, 9, 27}, 0.99}}}
Baryonyx, {{100, {{81, 5, 9, 27}, 1.0}}}
Spinosaurus, {{100, {{81, 5, 9, 27}, 1.0}}}
Casuarius_casuarius, {{100, {{81, 5, 9, 27}, 0.06}}}
Anas_discors, {{100, {{81, 5, 9, 27}, 0.02}}}
Podica_senegalensis, {{100, {{81, 5, 9, 27}, 0.59}}}
Sarothrura_rufa, {{76, {{81, 5, 9, 27}, 0.26}}, {24, {{81, 5, 9, 27}, 0.25}}}
Phaeton_aethereus, {{74, {{81, 5, 9, 27}, 0.15}}, {26, {{81, 5, 9, 27}, 0.14}}}
Fulmarus_glacialis, {{100, {{81, 5, 9, 27}, 0.0}}}
Ardea_cinerea, {{100, {{81, 5, 9, 27}, 0.0}}}
Choloepus_didactylus, {{100, {{81, 5, 9, 27}, 0.01}}}
Tenrec_ecaudatus, {{10, {{81, 5, 9, 27}, 0.15}}, {90, {{81, 5, 9, 27}, 0.16}}}
Desmana_moschata, {{97, {{81, 5, 9, 27}, 0.94}}, {3, {{81, 5, 9, 27}, 0.95}}}
Mustela_nivalis, {{8, {{81, 5, 9, 27}, 0.15}}, {92, {{81, 5, 9, 27}, 0.16}}}
Camelus_bactrianus, {{81, {{81, 5, 9, 27}, 0.09}}, {19, {{81, 5, 9, 27}, 0.08}}}
Choeropsis_liberiensis, {{92, {{81, 5, 9, 27}, 0.47}}, {8, {{81, 5, 9, 27}, 0.48}}}
Ovis_aries, {{100, {{81, 5, 9, 27}, 0.04}}}
Saltriovenator, {{29, {{80, 5, 9, 28}, 0.63}}, {20, {{80, 5, 9, 28}, 0.61}}, {51, {{80, 5, 9, 28}, 0.62}}}
Baryonyx.1, {{100, {{80, 5, 9, 28}, 0.99}}}
Spinosaurus.3, {{100, {{80, 5, 9, 28}, 0.99}}}
Spinosaurus.2, {{100, {{80, 5, 9, 28}, 1.0}}}
Spinosaurus.1, {{100, {{80, 5, 9, 28}, 0.99}}}
Baryonyx, {{100, {{80, 5, 9, 28}, 1.0}}}
Spinosaurus, {{100, {{80, 5, 9, 28}, 1.0}}}
Aramus_guarana, {{7, {{80, 5, 9, 28}, 0.16}}, {93, {{80, 5, 9, 28}, 0.17}}}
Psophia_crepitans, {{100, {{80, 5, 9, 28}, 0.03}}}
Porphyrio_poliocephalus, {{100, {{80, 5, 9, 28}, 0.05}}}
Dacelo_novaeguineae, {{100, {{80, 5, 9, 28}, 0.0}}}
Xenicus_longipes, {{30, {{80, 5, 9, 28}, 0.23}}, {70, {{80, 5, 9, 28}, 0.24}}}
