Baryonyx.1, {{100, 1.0}}
Spinosaurus.3, {{100, 1.0}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{63, 0.99}, {37, 1.0}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Apteryx_owenii, {{14, 0.3}, {7, 0.32}, {79, 0.31}}
Chaunia_chavaria, {{22, 0.01}, {78, 0.02}}
Xenicus_longipes, {{36, 0.12}, {64, 0.13}}
Turdus_olivater, {{13, 0.74}, {87, 0.75}}
Pelagodroma_marina, {{100, 0.05}}
Fulmarus_glacialis, {{100, 0.0}}
Spheniscus_humboldti, {{96, 0.98}, {4, 0.99}}
Didelphis_sp., {{100, 0.0}}
Gorilla_gorilla, {{100, 0.0}}
Galemys_pyrenaicus, {{100, 0.0}}
Lutra_vulgaris, {{100, 0.97}}
Neovison_vison, {{7, 0.06}, {93, 0.05}}
Rodhocetus, {{100, 1.0}}
Cervus_elaphus_canadensis, {{100, 0.0}}
Nothosaurus_sp., {{100, 1.0}}
Baryonyx.1, {{100, 0.98}}
Spinosaurus.3, {{100, 0.98}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{38, 0.98}, {62, 0.97}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Goura_cristata, {{100, 0.01}}
Eudyptes_chrysocome, {{100, 0.95}}
Monodelphis_domestica, {{90, 0.1}, {10, 0.09}}
Vombatus_ursinus, {{100, 0.9}}
Rhynchocyon_petersi, {{27, 0.18}, {73, 0.17}}
Tenrec_ecaudatus, {{13, 0.22}, {87, 0.23}}
Ashoroa_laticosta, {{100, 0.99}}
Lepus_europaeus, {{77, 0.24}, {23, 0.23}}
Castor_fiber, {{100, 0.95}}
Hydromys_chrysogaster, {{100, 0.85}}
Diplomesodon_pulchellum, {{8, 0.28}, {92, 0.27}}
Camelus_bactrianus, {{43, 0.13}, {57, 0.14}}
Crocodylus_sp., {{89, 0.99}, {11, 1.0}}
Saltriovenator, {{48, 0.63}, {44, 0.64}, {8, 0.65}}
Baryonyx.1, {{100, 0.99}}
Spinosaurus.3, {{100, 0.99}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.99}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Caloenas_nicobarica, {{2, 0.18}, {5, 0.2}, {93, 0.19}}
Glareola_pratincula, {{67, 0.34}, {33, 0.33}}
Aptenodytes_patagonicus, {{4, 0.68}, {96, 0.69}}
Zaglossus_bruijni, {{100, 0.0}}
Paleoparadoxia_sp, {{100, 1.0}}
Sciurus_vulgaris, {{93, 0.03}, {7, 0.04}}
Erinaceus_europaeus, {{100, 0.02}}
Pteropus_giganteus, {{100, 0.0}}
Panthera_leo_persica, {{100, 0.01}}
Ursus_maritimus, {{100, 0.01}}
Taxidea_taxus, {{56, 0.18}, {44, 0.17}}
Equus_caballus, {{27, 0.26}, {73, 0.27}}
Baryonyx.1, {{100, 0.99}}
Spinosaurus.3, {{100, 0.99}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.99}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Lourinhanosaurus, {{100, 0.05}}
Anas_erythrorhyncha, {{16, 0.22}, {84, 0.23}}
Podica_senegalensis, {{25, 0.61}, {75, 0.6}}
Dacelo_novaeguineae, {{42, 0.0}, {58, 0.01}}
Nestor_notabilis, {{97, 0.07}, {3, 0.08}}
Orycteropus_afer, {{100, 0.01}}
Trichechus_manatus, {{100, 1.0}}
Galagoides_demidovii, {{100, 0.0}}
Euroscaptor_micrura, {{93, 0.1}, {7, 0.11}}
Pipistrellus_pipistrellus, {{100, 0.0}}
Tremarctos_ornatus, {{100, 0.66}}
Nanophoca_vitulinoides, {{100, 1.0}}
Dorudon, {{100, 1.0}}
Ovis_aries, {{65, 0.06}, {35, 0.05}}
Baryonyx.1, {{100, 0.99}}
Spinosaurus.3, {{100, 0.99}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.99}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Struthio_camelus, {{100, 0.02}}
Tachyeres_ciconia, {{100, 0.96}}
Anas_discors, {{100, 0.01}}
Sarothrura_rufa, {{69, 0.24}, {30, 0.23}, {1, 0.25}}
Buteo_buteo, {{100, 0.0}}
Morus_bassanus, {{100, 0.0}}
Macropus_rufus, {{46, 0.33}, {54, 0.32}}
Choloepus_didactylus, {{100, 0.0}}
Microgale_thomasi, {{90, 0.04}, {10, 0.03}}
Dugong_dugon, {{100, 1.0}}
Genetta_genetta, {{78, 0.01}, {22, 0.02}}
Tapirus_indicus, {{100, 0.01}}
Choeropsis_liberiensis, {{65, 0.38}, {35, 0.39}}
Capra_aegagrus, {{5, 0.56}, {95, 0.57}}
Carentonosaurus_mineaui, {{100, 1.0}}
Baryonyx.1, {{100, 0.99}}
Spinosaurus.3, {{100, 0.99}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.99}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Atlantisia_rogersi, {{80, 0.2}, {19, 0.21}, {1, 0.19}}
Strigiops_habroptilus, {{93, 0.03}, {7, 0.02}}
Corvus_corone, {{100, 0.0}}
Tachyglossus_aculeatus_setosus, {{100, 0.02}}
Myoprocta_pratti, {{100, 0.0}}
Arvicola_amphibius, {{7, 0.0}, {93, 0.01}}
Rattus_rattus, {{24, 0.13}, {76, 0.14}}
Apodemus_sp., {{81, 0.01}, {19, 0.02}}
Eidolon_helvum, {{100, 0.0}}
Tapirus_terrestris, {{100, 0.66}}
Hippopotamus_amphibius, {{69, 0.92}, {31, 0.91}}
Basilosaurus, {{100, 1.0}}
Rangifer_tarandus, {{5, 0.4}, {2, 0.42}, {93, 0.41}}
Baryonyx.1, {{100, 0.99}}
Spinosaurus.3, {{100, 0.99}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.99}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Casuarius_casuarius, {{3, 0.04}, {97, 0.05}}
Cygnus_olor, {{51, 0.42}, {49, 0.41}}
Porzana_carolina, {{1, 0.0}, {99, 0.01}}
Dendrocopos_major, {{20, 0.04}, {80, 0.05}}
Pelecanus_sp., {{100, 0.0}}
Ornithorhynchus_anatinus, {{100, 0.97}}
Dasyurus_maculatus, {{18, 0.28}, {82, 0.27}}
Dasyprocta__punctata, {{100, 0.0}}
Myocastor_coypus, {{100, 0.04}}
Noemys_fodies, {{93, 0.56}, {7, 0.57}}
Felis_silvestris, {{21, 0.03}, {79, 0.02}}
Martes_foina, {{100, 0.03}}
