Neusticosaurus, {{100, 1.0}}
Saltriovenator, {{27, 0.76}, {14, 0.74}, {59, 0.75}}
Baryonyx.1, {{100, 0.99}}
Spinosaurus.3, {{96, 0.99}, {4, 1.0}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.99}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Tachyeres_ciconia, {{98, 0.92}, {2, 0.93}}
Sarothrura_rufa, {{86, 0.17}, {14, 0.16}}
Nestor_notabilis, {{33, 0.06}, {67, 0.05}}
Hydromys_chrysogaster, {{75, 0.76}, {25, 0.75}}
Eidolon_helvum, {{100, 0.0}}
Felis_silvestris, {{100, 0.04}}
Ursus_maritimus, {{100, 0.02}}
Taxidea_taxus, {{1, 0.18}, {99, 0.19}}
Lutra_vulgaris, {{97, 0.94}, {3, 0.93}}
Neovison_vison, {{87, 0.12}, {13, 0.11}}
Bison_bison, {{60, 0.24}, {40, 0.23}}
Ovis_aries, {{100, 0.07}}
Baryonyx.1, {{100, 0.99}}
Spinosaurus.3, {{100, 0.99}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.99}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Charcarodontosaurid, {{93, 0.96}, {7, 0.97}}
Crypturellus_tataupa, {{100, 0.08}}
Larus_argentatus, {{100, 0.0}}
Fulmarus_glacialis, {{100, 0.0}}
Zaglossus_bruijni, {{100, 0.0}}
Choloepus_didactylus, {{100, 0.02}}
Trichechus_manatus, {{100, 1.0}}
Ashoroa_laticosta, {{100, 1.0}}
Rousettus_aegyptiacus, {{100, 0.0}}
Genetta_genetta, {{100, 0.03}}
Tremarctos_ornatus, {{100, 0.68}}
Giraffa_camelopardalis, {{100, 0.02}}
Rangifer_tarandus, {{8, 0.54}, {92, 0.55}}
Crocodylus_niloticus, {{100, 1.0}}
Baryonyx.1, {{100, 1.0}}
Spinosaurus.3, {{100, 1.0}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.99}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Dacelo_novaeguineae, {{100, 0.0}}
Strigiops_habroptilus, {{100, 0.02}}
Spheniscus_humboldti, {{96, 0.98}, {4, 0.99}}
Perameles_nasuta, {{90, 0.06}, {10, 0.05}}
Macropus_rufus, {{27, 0.4}, {73, 0.39}}
Vombatus_ursinus, {{50, 0.94}, {50, 0.93}}
Galemys_pyrenaicus, {{100, 0.0}}
Vulpes_vulpes, {{100, 0.0}}
Nanophoca_vitulinoides, {{100, 1.0}}
Equus_caballus, {{43, 0.18}, {57, 0.19}}
Hippopotamus_amphibius, {{86, 0.95}, {14, 0.94}}
Rodhocetus, {{100, 1.0}}
Basilosaurus, {{100, 1.0}}
Carentonosaurus_mineaui, {{100, 1.0}}
Baryonyx.1, {{100, 0.99}}
Spinosaurus.3, {{100, 0.99}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.99}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Anas_discors, {{100, 0.01}}
Anas_erythrorhyncha, {{52, 0.13}, {48, 0.14}}
Otis_tarda, {{100, 0.0}}
Phaenicopterus_roseus, {{30, 0.22}, {70, 0.23}}
Phaeton_aethereus, {{8, 0.1}, {92, 0.09}}
Arvicola_amphibius, {{100, 0.0}}
Apodemus_sp., {{100, 0.01}}
Erinaceus_europaeus, {{100, 0.01}}
Panthera_leo_persica, {{100, 0.0}}
